Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 7,1:00PM ET,boxscore,L,,0-1,,Pittsburgh Steelers,32.0,34.0,23.0,394.0,212.0,182.0,1.0,19.0,271.0,218.0,53.0,,10.83,-11.44,-5.41
2,Sun,September 14,1:00PM ET,boxscore,L,,0-2,,Buffalo Bills,10.0,30.0,11.0,154.0,54.0,100.0,1.0,25.0,403.0,179.0,224.0,,-9.9,-14.17,4.13
3,Sun,September 21,1:00PM ET,boxscore,L,,0-3,@,Tampa Bay Buccaneers,27.0,29.0,21.0,267.0,168.0,99.0,2.0,19.0,347.0,225.0,122.0,,-10.01,-0.89,9.29
4,Mon,September 29,7:15PM ET,boxscore,L,,0-4,@,Miami Dolphins,21.0,27.0,23.0,404.0,207.0,197.0,3.0,19.0,300.0,177.0,123.0,,8.88,-10.59,-4.42
5,Sun,October 5,1:00PM ET,boxscore,L,,0-5,,Dallas Cowboys,22.0,37.0,25.0,378.0,234.0,144.0,1.0,22.0,416.0,236.0,180.0,,0.46,-18.19,0.46
6,Sun,October 12,9:30AM ET,boxscore,L,,0-6,,Denver Broncos,11.0,13.0,8.0,82.0,-10.0,92.0,,12.0,246.0,168.0,78.0,1.0,-23.4,9.34,10.64
7,Sun,October 19,1:00PM ET,boxscore,L,,0-7,,Carolina Panthers,6.0,13.0,12.0,220.0,139.0,81.0,2.0,17.0,302.0,177.0,125.0,,-13.77,4.79,-0.53
8,Sun,October 26,1:00PM ET,preview,,,,@,Cincinnati Bengals,,,,,,,,,,,,,,,
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 9,1:00PM ET,preview,,,,,Cleveland Browns,,,,,,,,,,,,,,,
11,Thu,November 13,8:15PM ET,preview,,,,@,New England Patriots,,,,,,,,,,,,,,,
12,Sun,November 23,1:00PM ET,preview,,,,@,Baltimore Ravens,,,,,,,,,,,,,,,
13,Sun,November 30,1:00PM ET,preview,,,,,Atlanta Falcons,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,,Miami Dolphins,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,@,Jacksonville Jaguars,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,@,New Orleans Saints,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,,New England Patriots,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Buffalo Bills,,,,,,,,,,,,,,,
