Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Blaine Bishop,30.0,SS,16,16,0,0,0,0,7,1,0,0,0,0,2.5,84.0,57.0,27.0,8.0,0,"PB,AP-2"
2.0,Eddie George,27.0,RB,16,16,0,0,0,0,0,0,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP MVP-3,AP OPoY-2"
3.0,Randall Godfrey,27.0,MLB,16,16,2,25,1,24,8,5,0,1,0,0,3.0,121.0,98.0,23.0,10.0,0,AP-2
4.0,Jevon Kearse,24.0,LDE,16,16,0,0,0,0,6,4,0,0,0,0,11.5,53.0,37.0,16.0,11.0,0,PB
5.0,Kevin Long,25.0,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
6.0,Fred Miller,27.0,RT,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
7.0,Eddie Robinson,30.0,RLB,16,16,0,0,0,0,3,0,0,3,0,0,4.0,60.0,49.0,11.0,10.0,0,
8.0,John Thornton,24.0,LDT,16,16,0,0,0,0,1,0,0,1,0,0,4.0,28.0,19.0,9.0,6.0,0,
9.0,Frank Wycheck,29.0,TE,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
10.0,Greg Favors,26.0,LLB,16,15,0,0,0,0,1,2,0,0,0,0,5.5,39.0,30.0,9.0,7.0,0,
11.0,Jason Fisk,28.0,RDT,15,15,0,0,0,0,1,2,0,0,0,0,2.0,40.0,30.0,10.0,6.0,0,
12.0,Steve McNair,27.0,QB,16,15,0,0,0,0,0,0,12,3,-31,0,0.0,0.0,0.0,0.0,0.0,0,PB
13.0,Marcus Robertson,31.0,FS,15,15,0,0,0,0,5,3,0,1,0,0,0.0,72.0,62.0,10.0,0.0,0,
14.0,Samari Rolle,24.0,RCB,15,15,7,140,1,81,16,0,0,1,0,0,1.5,39.0,35.0,4.0,1.0,0,"PB,AP-1"
15.0,Chris Sanders,28.0,WR,16,14,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
16.0,Denard Walker,27.0,LCB,15,14,2,4,0,4,16,0,1,0,0,0,0.0,45.0,44.0,1.0,2.0,0,
17.0,Kenny Holmes,27.0,RDE,14,13,0,0,0,0,3,5,0,0,0,0,8.0,37.0,32.0,5.0,9.0,0,
18.0,Derrick Mason,26.0,WR,16,10,0,0,0,0,0,0,1,1,0,0,0.0,,,,,0,"PB,AP-1"
19.0,Erron Kinney,23.0,TE,16,9,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
20.0,Henry Ford,29.0,DT,14,3,0,0,0,0,0,0,0,1,30,1,2.0,32.0,20.0,12.0,9.0,0,
21.0,Dainon Sidney,25.0,DB,11,2,3,19,0,19,4,0,0,2,0,0,0.0,24.0,21.0,3.0,0.0,0,
22.0,Michael Booker,25.0,DB,15,1,1,2,0,2,7,0,0,0,0,0,0.0,19.0,15.0,4.0,0.0,0,
23.0,Keith Bulluck,23.0,LB,16,1,1,8,1,8,1,1,0,0,0,0,0.0,35.0,27.0,8.0,1.0,0,
24.0,Bobby Myers,24.0,DB,16,1,0,0,0,0,1,0,0,0,0,0,0.0,12.0,11.0,1.0,0.0,0,
25.0,Joe Salave'a,25.0,DT,15,1,0,0,0,0,2,0,0,0,0,0,4.0,20.0,16.0,4.0,9.0,0,
26.0,Frank Chamberlin,22.0,LB,12,0,0,0,0,0,0,1,0,0,0,0,0.0,11.0,9.0,2.0,0.0,0,
27.0,Chris Coleman,23.0,WR,13,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0,8.0,3.0,0.0,0,
28.0,Keith Embray,31.0,DE,14,0,0,0,0,0,1,0,0,0,0,0,3.5,10.0,7.0,3.0,4.0,0,
29.0,Craig Hentrich,29.0,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0,
30.0,Terry Killens,26.0,LB,16,0,0,0,0,0,0,1,0,0,0,0,1.0,14.0,14.0,0.0,1.0,0,
31.0,Mike Leach,24.0,LS,15,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
32.0,George McCullough,25.0,DB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,18.0,16.0,2.0,1.0,0,
33.0,Aric Morris,23.0,DB,15,0,0,0,0,0,0,0,0,1,0,0,0.0,12.0,11.0,1.0,0.0,0,
34.0,Perry Phenix,26.0,DB,16,0,1,87,1,87,4,0,0,1,0,0,0.0,36.0,27.0,9.0,1.0,0,
35.0,Peter Sirmon,23.0,LB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
36.0,Robaire Smith,23.0,DE,7,0,0,0,0,0,1,0,0,0,0,0,2.5,6.0,5.0,1.0,2.0,0,
37.0,Rodney Thomas,27.0,RB,16,0,0,0,0,0,0,0,1,1,0,0,0.0,8.0,8.0,0.0,0.0,0,
,Team Totals,,,16,16,17,285,4,87,88,25,24,23,-1,1,55.0,893.0,714.0,179.0,98.0,0,
