Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Keith Bulluck,25.0,RLB,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,14,9.0,5.0,0.0,0.0,
2.0,Kevin Carter,29.0,LDE,2,2,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0.0,5,3.0,2.0,0.0,0.0,
3.0,Samari Rolle,26.0,RCB,2,2,1.0,16.0,0.0,16.0,1,0,0,1,0,0,0.0,6,6.0,0.0,0.0,0.0,
4.0,Lance Schulters,27.0,FS,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,9,9.0,0.0,0.0,0.0,
5.0,Tank Williams,22.0,SS,2,2,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0.0,9,8.0,1.0,0.0,0.0,
6.0,Rich Coady,26.0,DB,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,0.0,
7.0,Andre Dyson,23.0,LCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,
8.0,Eddie George,29.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,,,,0.0,
9.0,Randall Godfrey,29.0,MLB,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,6.0,2.0,1.0,0.0,
10.0,Carlos Hall,23.0,RDE,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,4.0,1.0,3.0,0.0,
11.0,Albert Haynesworth,21.0,DT,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,
12.0,Jevon Kearse,26.0,DE,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,3.0,0.0,1.0,0.0,
13.0,Donald Mitchell,26.0,CB,2,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,11,10.0,1.0,1.0,0.0,
14.0,Peter Sirmon,25.0,LLB,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,5.0,2.0,0.0,0.0,
15.0,Eddie Berlin,24.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
16.0,Rocky Boiman,22.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
17.0,Frank Chamberlin,24.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,1.0,,
18.0,Henry Ford,31.0,RDT,1,0,,,,,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,,
19.0,Robert Holcombe,27.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
20.0,Brad Kassell,22.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
21.0,Aric Morris,25.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,8,5.0,3.0,0.0,,
22.0,Joe Nedney,29.0,K,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,0.0,
23.0,Dainon Sidney,27.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,9,8.0,1.0,0.0,,
24.0,John Simon,24.0,RB,2,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,1,0.0,1.0,0.0,0.0,
25.0,Robaire Smith,25.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,,
,Team Totals,,,2,2,1.0,16.0,0.0,16.0,8,2,4,1,0,0,1.0,113,89.0,24.0,7.0,0.0,
