Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Chris Johnson,27.0,RB,16,15,276,1243,6,46,41.7,94.0,4.5,77.7,17.3,49,36,232,6.4,0,7,36.7,22.0,2.3,14.5,73.5,4.7,312,4.7,1475,6,5,
2.0,Nate Washington,29.0,WR,16,14,0,0,0,0,,,,0.0,0.0,89,46,746,16.2,4,30,42.7,71.0,2.9,46.6,51.7,8.4,46,16.2,746,4,1,
3.0,Kendall Wright,23.0,WR,15,5,1,4,0,0,100.0,4.0,4.0,0.3,0.1,104,64,626,9.8,4,38,49.0,38.0,4.3,41.7,61.5,6.0,65,9.7,630,4,1,
4.0,Kenny Britt,24.0,WR,14,11,0,0,0,0,,,,0.0,0.0,90,45,589,13.1,4,25,41.1,46.0,3.2,42.1,50.0,6.5,45,13.1,589,4,2,
5.0,Jared Cook,25.0,TE,13,5,0,0,0,0,,,,0.0,0.0,73,44,523,11.9,4,24,47.9,61.0,3.4,40.2,60.3,7.2,44,11.9,523,4,1,
6.0,Damian Williams,24.0,WR,13,2,0,0,0,0,,,,0.0,0.0,45,30,324,10.8,0,18,48.9,27.0,2.3,24.9,66.7,7.2,30,10.8,324,0,0,
7.0,Jake Locker,24.0,QB,11,11,41,291,1,14,48.8,32.0,7.1,26.5,3.7,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,41,7.1,291,1,4,
8.0,Craig Stevens,28.0,TE,15,15,0,0,0,0,,,,0.0,0.0,33,23,275,12.0,1,14,51.5,46.0,1.5,18.3,69.7,8.3,23,12.0,275,1,2,
9.0,Darius Reynaud,28.0,WR,16,0,16,33,0,1,12.5,11.0,2.1,2.1,1.0,10,5,35,7.0,0,4,50.0,9.0,0.3,2.2,50.0,3.5,21,3.2,68,0,1,
10.0,Lavelle Hawkins,26.0,WR,7,1,0,0,0,0,,,,0.0,0.0,11,5,62,12.4,0,2,27.3,42.0,0.7,8.9,45.5,5.6,5,12.4,62,0,0,
11.0,Michael Preston,23.0,WR,4,0,0,0,0,0,,,,0.0,0.0,6,5,59,11.8,0,2,33.3,21.0,1.3,14.8,83.3,9.8,5,11.8,59,0,0,
12.0,Taylor Thompson,23.0,TE,16,4,0,0,0,0,,,,0.0,0.0,14,6,46,7.7,0,0,0.0,12.0,0.4,2.9,42.9,3.3,6,7.7,46,0,0,
13.0,Quinn Johnson,26.0,FB,16,8,4,5,0,2,50.0,3.0,1.3,0.3,0.3,8,5,40,8.0,0,2,25.0,17.0,0.3,2.5,62.5,5.0,9,5.0,45,0,0,
14.0,Jamie Harper,23.0,RB,10,0,19,30,3,4,36.8,13.0,1.6,3.0,1.9,1,1,8,8.0,0,0,0.0,8.0,0.1,0.8,100.0,8.0,20,1.9,38,3,0,
15.0,Matt Hasselbeck,37.0,QB,8,5,13,38,0,2,23.1,16.0,2.9,4.8,1.6,0,0,0,,0,0,,,0.0,0.0,,,13,2.9,38,0,3,
16.0,Javon Ringer,25.0,RB,2,0,2,14,0,0,0.0,9.0,7.0,7.0,1.0,5,3,12,4.0,0,0,0.0,6.0,1.5,6.0,60.0,2.4,5,5.2,26,0,0,
17.0,Collin Mooney,26.0,RB,2,0,5,19,0,2,40.0,8.0,3.8,9.5,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,3.8,19,0,0,
18.0,Jordan Babineaux,30.0,SS/FS,16,12,1,10,0,1,100.0,10.0,10.0,0.6,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,10.0,10,0,0,
,Team Totals,,,16,16,378,1687,10,72,40.5,94.0,4.5,105.4,23.6,539,318,3577,11.2,17,166,42.7,71.0,19.9,223.6,59.0,6.6,696,7.6,5264,27,20,
