Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jurrell Casey,26.0,RDE,16,16,0,0,0,0,3,0,0,0,0,0,7.0,54,34,20,11.0,13.0,0,PB
2.0,DaQuan Jones,24.0,LDE,16,16,0,0,0,0,0,0,0,1,0,0,0.0,45,25,20,3.0,3.0,0,
3.0,Brian Orakpo,29.0,ROLB,16,16,0,0,0,0,5,1,0,0,0,0,7.0,51,38,13,12.0,10.0,0,
4.0,Coty Sensabaugh,27.0,RCB,16,15,2,42,1,26,8,0,0,0,0,0,0.0,60,44,16,0.0,0.0,0,
5.0,Avery Williamson,23.0,RILB,15,15,1,0,0,0,1,0,0,0,0,0,3.5,102,63,39,5.0,6.0,0,
6.0,Michael Griffin,30.0,FS,15,14,1,29,0,29,3,0,0,0,0,0,1.0,101,66,35,4.0,1.0,0,
7.0,Perrish Cox,28.0,LCB,13,13,1,27,0,27,7,0,0,0,0,0,0.0,30,26,4,0.0,0.0,0,
8.0,Da'Norris Searcy,27.0,SS,15,13,1,5,0,5,4,0,0,0,0,0,0.5,55,42,13,0.0,1.0,0,
9.0,Harry Douglas,31.0,WR,14,12,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,0,
10.0,Marcus Mariota,22.0,QB,12,12,0,0,0,0,0,0,10,3,-10,0,0.0,0,0,0,,,0,
11.0,Wesley Woodyard,29.0,LILB,16,12,0,0,0,0,0,1,0,1,3,1,5.0,87,54,33,5.0,6.0,0,
12.0,Antonio Andrews,23.0,RB,14,10,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
13.0,Derrick Morgan,26.0,LOLB,10,9,0,0,0,0,2,1,0,0,0,0,4.5,24,17,7,5.0,10.0,0,
14.0,Al Woods,28.0,NT,14,9,0,0,0,0,0,0,0,0,0,0,0.0,22,14,8,3.0,1.0,0,
15.0,Andy Gallik,24.0,C,12,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
16.0,David Bass,25.0,LOLB,16,7,1,8,0,8,4,0,0,2,0,0,1.5,36,23,13,4.0,4.0,0,
17.0,Zach Brown,26.0,LILB,16,5,2,45,0,45,3,0,0,0,0,0,0.5,77,55,22,4.0,2.0,0,
18.0,Sammie Lee Hill,29.0,NT,10,5,0,0,0,0,0,0,0,0,0,0,0.0,12,6,6,,,0,
19.0,Jason McCourty,28.0,DB,4,4,0,0,0,0,1,0,0,0,0,0,0.0,15,10,5,0.0,0.0,0,
20.0,Zach Mettenberger,24.0,QB,7,4,0,0,0,0,0,0,4,1,-6,0,0.0,0,0,0,0.0,0.0,0,
21.0,Bishop Sankey,23.0,RB,13,3,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
22.0,Blidi Wreh-Wilson,26.0,DB,10,3,0,0,0,0,3,0,0,0,0,0,0.0,20,19,1,0.0,0.0,0,
23.0,Dexter McCluster,26.0,WR,11,2,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0.0,0.0,0,
24.0,Daimion Stafford,24.0,DB,16,2,0,0,0,0,5,0,0,1,0,0,1.0,25,20,5,1.0,1.0,0,
25.0,B.W. Webb,25.0,DB,9,2,1,0,0,0,2,0,0,0,0,0,0.0,22,20,2,1.0,0.0,0,
26.0,David Cobb,22.0,RB,7,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
27.0,Phillip Supernaw,25.0,TE,16,1,0,0,0,0,0,1,1,0,0,0,0.0,10,6,4,0.0,0.0,0,
28.0,Angelo Blackson,23.0,DT,16,0,0,0,0,0,0,1,0,0,0,0,2.5,15,8,7,2.0,3.0,0,
29.0,Beau Brinkley,25.0,TE,16,0,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0.0,0.0,0,
30.0,Jalston Fowler,25.0,RB,16,0,0,0,0,0,0,1,0,1,0,0,0.0,4,4,0,0.0,0.0,0,
31.0,Marqueston Huff,23.0,DB,16,0,0,0,0,0,2,0,0,0,0,0,0.0,15,11,4,1.0,0.0,0,
32.0,Steven Johnson,27.0,LB,16,0,0,0,0,0,0,0,0,2,0,0,0.0,7,5,2,0.0,0.0,0,
33.0,Karl Klug,27.0,DT,16,0,0,0,0,0,0,1,0,0,0,0,4.0,20,13,7,3.0,10.0,0,
34.0,Mike Martin,25.0,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,0.0,0,
35.0,Tre McBride,23.0,WR,7,0,0,0,0,0,0,1,0,0,0,0,0.0,5,5,0,0.0,0.0,0,
36.0,Deiontrez Mount,22.0,LB,4,0,1,8,0,8,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,
37.0,Ropati Pitoitua,30.0,DE,5,0,0,0,0,0,0,1,0,0,0,0,0.0,3,2,1,0.0,0.0,0,
38.0,Cody Riggs,24.0,DB,11,0,0,0,0,0,2,1,0,1,0,0,0.0,14,14,0,1.0,0.0,0,
39.0,Justin Staples,26.0,DE,12,0,0,0,0,0,2,0,0,0,0,0,0.0,5,3,2,0.0,0.0,0,
40.0,J.R. Tavai,22.0,LB,4,0,0,0,0,0,0,1,0,0,0,0,1.0,3,3,0,0.0,0.0,0,
41.0,Terrance West,24.0,RB,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
,Team Totals,,,16,16,11,164,1,45,58,11,25,17,-13,1,39.0,948,657,291,65.0,71.0,0,
