Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 13,4:25PM ET,boxscore,W,,1-0,@,Tampa Bay Buccaneers,42.0,14.0,20.0,309.0,185.0,124.0,1.0,16.0,273.0,181.0,92.0,2.0,14.47,14.33,-2.78
2,Sun,September 20,1:02PM ET,boxscore,L,,1-1,@,Cleveland Browns,14.0,28.0,21.0,385.0,219.0,166.0,3.0,13.0,274.0,158.0,116.0,,-4.24,-2.15,-10.23
3,Sun,September 27,1:03PM ET,boxscore,L,,1-2,,Indianapolis Colts,33.0,35.0,28.0,433.0,345.0,88.0,2.0,20.0,378.0,245.0,133.0,2.0,-0.42,0.93,-5.11
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 11,1:03PM ET,boxscore,L,,1-3,,Buffalo Bills,13.0,14.0,17.0,276.0,179.0,97.0,1.0,13.0,209.0,82.0,127.0,1.0,-2.28,1.53,-0.63
6,Sun,October 18,1:03PM ET,boxscore,L,,1-4,,Miami Dolphins,10.0,38.0,22.0,299.0,236.0,63.0,4.0,26.0,434.0,254.0,180.0,2.0,-16.22,-13.01,3.74
7,Sun,October 25,1:02PM ET,boxscore,L,,1-5,,Atlanta Falcons,7.0,10.0,15.0,256.0,179.0,77.0,2.0,21.0,378.0,251.0,127.0,2.0,-13.17,7.18,4.23
8,Sun,November 1,1:02PM ET,boxscore,L,,1-6,@,Houston Texans,6.0,20.0,15.0,211.0,125.0,86.0,3.0,14.0,270.0,214.0,56.0,,-19.62,9.05,-0.57
9,Sun,November 8,1:02PM ET,boxscore,W,OT,2-6,@,New Orleans Saints,34.0,28.0,25.0,483.0,371.0,112.0,1.0,30.0,416.0,355.0,61.0,2.0,16.45,-17.63,8.59
10,Sun,November 15,1:03PM ET,boxscore,L,,2-7,,Carolina Panthers,10.0,27.0,11.0,242.0,178.0,64.0,2.0,24.0,336.0,217.0,119.0,,-4.63,-10.28,-0.15
11,Thu,November 19,8:26PM ET,boxscore,L,,2-8,@,Jacksonville Jaguars,13.0,19.0,22.0,316.0,212.0,104.0,1.0,18.0,308.0,218.0,90.0,2.0,0.45,4.03,-6.8
12,Sun,November 29,1:02PM ET,boxscore,L,,2-9,,Oakland Raiders,21.0,24.0,19.0,249.0,205.0,44.0,2.0,22.0,407.0,323.0,84.0,2.0,-3.85,-10.31,8.37
13,Sun,December 6,1:02PM ET,boxscore,W,,3-9,,Jacksonville Jaguars,42.0,39.0,26.0,467.0,257.0,210.0,2.0,20.0,383.0,302.0,81.0,1.0,22.28,-12.41,-0.88
14,Sun,December 13,1:02PM ET,boxscore,L,,3-10,@,New York Jets,8.0,30.0,15.0,292.0,268.0,24.0,1.0,24.0,439.0,256.0,183.0,,-8.7,-14.1,2.71
15,Sun,December 20,1:02PM ET,boxscore,L,,3-11,@,New England Patriots,16.0,33.0,15.0,282.0,223.0,59.0,3.0,17.0,346.0,253.0,93.0,1.0,-15.56,-4.76,4.63
16,Sun,December 27,1:02PM ET,boxscore,L,,3-12,,Houston Texans,6.0,34.0,13.0,257.0,227.0,30.0,4.0,19.0,330.0,202.0,128.0,1.0,-22.08,-0.49,-2.81
17,Sun,January 3,1:02PM ET,boxscore,L,,3-13,@,Indianapolis Colts,24.0,30.0,14.0,231.0,94.0,137.0,1.0,20.0,327.0,200.0,127.0,1.0,-10.39,1.03,2.18
