Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Derrick Henry,23.0,RB,2,2,35,184,1,6,48.6,35.0,5.3,92.0,17.5,6,5,56,11.2,0,1,33.3,29,2.5,28.0,83.3,9.3,40,6.0,240,1,1,
2.0,Delanie Walker,33.0,TE,2,2,0,0,0,0,,,,0.0,0.0,14,9,123,13.7,0,5,50.0,36,4.5,61.5,64.3,8.8,9,13.7,123,0,0,
3.0,Eric Decker,30.0,WR,2,1,0,0,0,0,,,,0.0,0.0,12,8,106,13.3,1,5,41.7,22,4.0,53.0,66.7,8.8,8,13.3,106,1,0,
4.0,Corey Davis,22.0,WR,2,2,0,0,0,0,,,,0.0,0.0,15,9,98,10.9,2,7,60.0,17,4.5,49.0,60.0,6.5,9,10.9,98,2,0,
5.0,Marcus Mariota,24.0,QB,2,2,12,83,0,6,58.3,17.0,6.9,41.5,6.0,1,1,6,6.0,1,1,100.0,6,0.5,3.0,100.0,6.0,13,6.8,89,1,0,
6.0,Rishard Matthews,28.0,WR,2,2,0,0,0,0,,,,0.0,0.0,10,4,42,10.5,0,3,40.0,15,2.0,21.0,40.0,4.2,4,10.5,42,0,0,
7.0,Jonnu Smith,22.0,TE,2,1,0,0,0,0,,,,0.0,0.0,5,3,19,6.3,0,1,20.0,10,1.5,9.5,60.0,3.8,3,6.3,19,0,0,
8.0,Taywan Taylor,22.0,WR,2,0,0,0,0,0,,,,0.0,0.0,4,2,9,4.5,0,0,0.0,5,1.0,4.5,50.0,2.3,2,4.5,9,0,0,
,Team Totals,,,2,2,47,267,1,12,51.1,35.0,5.7,133.5,23.5,67,41,459,11.2,4,23,43.3,36,20.5,229.5,61.2,6.9,88,8.3,726,5,1,
