Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Mike Caldwell,30.0,LLB,16,16,0,0,0,0,7,2,0,0,0,0,3.0,101,77,24,7,0,
2.0,Donovan McNabb,25.0,QB,16,16,0,0,0,0,0,0,8,3,-7,0,0.0,0,0,0,0,0,PB
3.0,Damon Moore,25.0,SS,16,16,2,2,0,2,4,2,0,2,10,1,1.0,87,65,22,5,0,
4.0,Jon Runyan,28.0,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
5.0,Corey Simon,24.0,LDT,16,16,0,0,0,0,3,4,0,0,0,0,7.5,50,39,11,12,0,
6.0,Jeremiah Trotter,24.0,MLB,16,16,2,64,1,50,10,2,0,1,0,0,3.5,115,93,22,14,0,"PB,AP-2"
7.0,Brian Dawkins,28.0,FS,15,15,2,15,0,15,17,2,0,2,49,1,1.5,70,58,12,5,0,"PB,AP-1"
8.0,Hugh Douglas,30.0,RDE,15,15,0,0,0,0,2,2,0,0,0,0,9.5,47,39,8,11,0,PB
9.0,Carlos Emmons,28.0,RLB,16,15,0,0,0,0,1,0,0,0,0,0,1.0,79,61,18,5,0,
10.0,Hank Fraley,24.0,C,16,15,0,0,0,0,0,0,1,0,-17,0,0.0,0,0,0,0,0,
11.0,Chad Lewis,30.0,TE,15,15,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,PB
12.0,Cecil Martin,26.0,FB,16,15,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
13.0,James Thrash,26.0,WR,15,15,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
14.0,Troy Vincent,31.0,LCB,15,15,3,0,0,0,27,1,0,1,0,0,1.5,69,58,11,3,0,"PB,AP-2"
15.0,Bobby Taylor,28.0,RCB,16,14,1,5,0,5,17,2,0,3,0,0,1.0,39,36,3,4,0,
16.0,Hollis Thomas,27.0,RDT,14,14,0,0,0,0,1,1,0,1,0,0,0.0,52,43,9,2,0,
17.0,Brandon Whiting,25.0,LDE,13,12,0,0,0,0,1,0,0,3,0,0,2.5,26,15,11,3,0,
18.0,Duce Staley,26.0,RB,13,10,0,0,0,0,0,0,3,1,-5,0,0.0,0,0,0,0,0,
19.0,Correll Buckhalter,23.0,RB,15,6,0,0,0,0,0,0,2,2,0,0,0.0,7,7,0,0,0,
20.0,Derrick Burgess,23.0,DE,16,4,0,0,0,0,0,0,0,1,0,0,6.0,32,25,7,11,0,
21.0,Rashard Cook,24.0,DB,16,3,1,11,0,11,2,3,0,1,0,0,1.0,30,26,4,2,0,
22.0,Paul Grasmanis,27.0,DT,14,2,0,0,0,0,0,0,0,0,0,0,2.0,19,14,5,6,0,
23.0,Al Harris,27.0,DB,16,2,2,22,0,14,12,0,0,0,0,0,0.0,22,20,2,0,0,
24.0,N.D. Kalu,26.0,DE,14,1,0,0,0,0,0,0,0,0,0,0,3.0,13,12,1,4,0,
25.0,Freddie Mitchell,23.0,WR,15,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
26.0,David Akers,27.0,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0,0,"PB,AP-1"
27.0,Mike Bartrum,31.0,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,0,
28.0,Quinton Caver,23.0,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,16,12,4,2,0,
29.0,Darrel Crutchfield,22.0,DB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,
30.0,Dameane Douglas,25.0,WR,16,0,0,0,0,0,0,0,0,0,0,0,0.0,16,14,2,0,0,
31.0,Barry Gardner,25.0,LB,16,0,0,0,0,0,0,1,0,0,0,0,0.0,30,24,6,1,0,
32.0,Uhuru Hamiter,28.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
33.0,William Hampton,26.0,DB,13,0,1,33,1,33,1,0,0,1,0,0,0.0,11,10,1,0,0,
34.0,Tim Hauck,35.0,DB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,22,17,5,0,0,
35.0,Brian Mitchell,33.0,RB,16,0,0,0,0,0,0,0,3,1,0,0,0.0,2,2,0,0,0,
36.0,Jamie Reader,27.0,FB,16,0,0,0,0,0,0,1,0,1,0,0,0.0,8,8,0,0,0,
37.0,Ike Reese,28.0,LB,16,0,0,0,0,0,3,3,0,0,0,0,0.0,28,21,7,0,0,
38.0,Rod Smart,24.0,RB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
39.0,Jeff Thomason,32.0,TE,14,0,0,0,0,0,0,0,0,1,0,0,0.0,9,9,0,0,0,
40.0,Darwin Walker,24.0,DT,10,0,0,0,0,0,0,0,0,0,0,0,1.0,5,4,1,0,0,
,Team Totals,,,16,16,14,152,2,50,108,26,20,29,30,2,45.0,1024,824,200,97,0,
