Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,N.D. Kalu,28.0,RDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,3.0,3.0,0.0,0.0,
2.0,Michael Lewis,23.0,SS,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,12,9.0,3.0,0.0,0.0,
3.0,Ike Reese,30.0,LB,2,2,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1.0,7,7.0,0.0,1.0,0.0,
4.0,Corey Simon,26.0,LDT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,4.0,2.0,1.0,0.0,
5.0,Mark Simoneau,26.0,MLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,15,11.0,4.0,0.0,0.0,
6.0,Bobby Taylor,30.0,RCB,2,2,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,7,7.0,0.0,0.0,0.0,
7.0,Darwin Walker,26.0,RDT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,5.0,1.0,0.0,0.0,
8.0,Nate Wayne,28.0,LLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,16,11.0,5.0,0.0,0.0,
9.0,Brandon Whiting,27.0,LDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
10.0,Sheldon Brown,24.0,DB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,5.0,0.0,1.0,0.0,
11.0,Brian Dawkins,30.0,FS,1,1,1.0,35.0,0.0,35.0,1,0,0,0,0,0,0.0,8,8.0,0.0,0.0,0.0,
12.0,Donovan McNabb,27.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,,,,0.0,
13.0,Duce Staley,28.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0.0,0,,,,0.0,
14.0,Troy Vincent,33.0,LCB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,6,4.0,2.0,0.0,0.0,
15.0,Keith Adams,24.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,,
16.0,David Akers,29.0,K,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
17.0,Marco Coleman,34.0,DE,2,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
18.0,Justin Ena,26.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
19.0,Clinton Hart,26.0,FS,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
20.0,Roderick Hood,22.0,DB,1,0,,,,,1,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
21.0,Dirk Johnson,28.0,P,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
22.0,Greg Lewis,23.0,WR,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
23.0,Jerome McDougle,25.0,DE,2,0,,,,,1,0,0,0,0,0,0.0,2,1.0,1.0,0.0,,
24.0,Quintin Mikell,23.0,DB,2,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,2,2.0,0.0,0.0,0.0,
25.0,Sean Morey,27.0,WR,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
26.0,Sam Rayburn,23.0,DT,2,0,,,,,0,0,0,0,0,0,0.0,2,0.0,2.0,0.0,,
27.0,Lito Sheppard,22.0,RCB,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
,Team Totals,,,2,2,1.0,35.0,0.0,35.0,9,1,4,2,0,0,1.0,119,95.0,24.0,3.0,0.0,
