Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Brian Westbrook,25.0,RB,3,3,43,210,0,12,39.5,36.0,4.9,70.0,14.3,26,17,146,8.6,2,8,46.2,24.0,5.7,48.7,65.4,5.6,60,5.9,356,2,1,
2.0,Greg Lewis,24.0,WR,3,1,1,10,0,1,100.0,10.0,10.0,3.3,0.3,11,8,182,22.8,1,6,72.7,52.0,2.7,60.7,72.7,16.5,9,21.3,192,1,0,
3.0,Todd Pinkston,27.0,WR,3,3,0,0,0,0,,,,0.0,0.0,13,8,141,17.6,0,7,61.5,40.0,2.7,47.0,61.5,10.8,8,17.6,141,0,0,
4.0,Terrell Owens,31.0,WR,1,1,0,0,0,0,,,,0.0,0.0,14,9,122,13.6,0,5,64.3,36.0,9.0,122.0,64.3,8.7,9,13.6,122,0,0,
5.0,L.J. Smith,24.0,TE,3,2,0,0,0,0,,,,0.0,0.0,17,9,100,11.1,1,6,47.1,21.0,3.0,33.3,52.9,5.9,9,11.1,100,1,2,
6.0,Freddie Mitchell,26.0,WR,3,2,0,0,0,0,,,,0.0,0.0,15,8,96,12.0,1,6,46.7,30.0,2.7,32.0,53.3,6.4,8,12.0,96,1,1,
7.0,Dorsey Levens,34.0,RB,3,0,17,55,1,3,47.1,11.0,3.2,18.3,5.7,7,3,7,2.3,0,0,14.3,5.0,1.0,2.3,42.9,1.0,20,3.1,62,1,0,
8.0,Donovan McNabb,28.0,QB,3,3,14,35,0,3,42.9,8.0,2.5,11.7,4.7,0,0,0,,0,0,,,0.0,0.0,,,14,2.5,35,0,2,
9.0,Chad Lewis,33.0,TE,1,1,0,0,0,0,,,,0.0,0.0,5,4,20,5.0,2,3,60.0,12.0,4.0,20.0,80.0,4.0,4,5.0,20,2,0,
10.0,Josh Parry,26.0,RB,3,2,0,0,0,0,,,,0.0,0.0,3,3,12,4.0,0,0,33.3,7.0,1.0,4.0,100.0,4.0,3,4.0,12,0,1,
,Team Totals,,,3,3,75,310,1,19,42.7,36.0,4.1,103.3,25.0,111,69,826,12.0,7,41,51.4,52.0,23.0,275.3,62.2,7.4,144,7.9,1136,8,7,
