Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Darren Sproles,33.0,RB,15,5,94,438,2,22,52.1,25.0,4.7,29.2,6.3,71,52,427,8.2,2,19,45.1,73.0,3.5,28.5,73.2,6.0,146,5.9,865,4,1,PB
2.0,Zach Ertz,26.0,TE,14,12,0,0,0,0,,,,0.0,0.0,106,78,816,10.5,4,42,57.5,30.0,5.6,58.3,73.6,7.7,78,10.5,816,4,0,
3.0,Jordan Matthews,24.0,WR,14,13,0,0,0,0,,,,0.0,0.0,117,73,804,11.0,3,38,48.7,54.0,5.2,57.4,62.4,6.9,73,11.0,804,3,1,
4.0,Ryan Mathews,29.0,RB,13,8,155,661,8,40,51.0,30.0,4.3,50.8,11.9,14,13,115,8.8,1,7,57.1,27.0,1.0,8.8,92.9,8.2,168,4.6,776,9,3,
5.0,Dorial Green-Beckham,23.0,WR,15,7,0,0,0,0,,,,0.0,0.0,74,36,392,10.9,2,25,44.6,26.0,2.4,26.1,48.6,5.3,36,10.9,392,2,0,
6.0,Nelson Agholor,23.0,WR,15,14,5,14,0,0,40.0,5.0,2.8,0.9,0.3,69,36,365,10.1,2,15,39.1,40.0,2.4,24.3,52.2,5.3,41,9.2,379,2,1,
7.0,Wendell Smallwood,22.0,RB,13,3,77,312,1,20,46.8,19.0,4.1,24.0,5.9,13,6,55,9.2,0,1,38.5,18.0,0.5,4.2,46.2,4.2,83,4.4,367,1,1,
8.0,Trey Burton,25.0,TE,15,4,0,0,0,0,,,,0.0,0.0,60,37,327,8.8,1,21,43.3,32.0,2.5,21.8,61.7,5.5,37,8.8,327,1,0,
9.0,Kenjon Barner,27.0,RB,13,0,27,129,2,9,51.9,19.0,4.8,9.9,2.1,11,5,42,8.4,0,3,27.3,15.0,0.4,3.2,45.5,3.8,32,5.3,171,2,0,
10.0,Carson Wentz,24.0,QB,16,16,46,150,2,17,47.8,17.0,3.3,9.4,2.9,1,1,7,7.0,0,0,100.0,7.0,0.1,0.4,100.0,7.0,47,3.3,157,2,14,
11.0,Brent Celek,31.0,TE,16,8,0,0,0,0,,,,0.0,0.0,19,14,155,11.1,0,8,68.4,24.0,0.9,9.7,73.7,8.2,14,11.1,155,0,1,
12.0,Paul Turner,23.0,WR,4,2,0,0,0,0,,,,0.0,0.0,14,9,126,14.0,0,6,50.0,41.0,2.3,31.5,64.3,9.0,9,14.0,126,0,0,
13.0,Bryce Treggs,22.0,WR,9,1,2,7,0,2,100.0,4.0,3.5,0.8,0.2,12,3,80,26.7,0,3,25.0,58.0,0.3,8.9,25.0,6.7,5,17.4,87,0,0,
14.0,Josh Huff,25.0,WR,7,2,3,10,0,1,33.3,10.0,3.3,1.4,0.4,17,13,72,5.5,1,4,41.2,14.0,1.9,10.3,76.5,4.2,16,5.1,82,1,0,
15.0,Byron Marshall,22.0,RB,3,0,19,64,0,6,42.1,12.0,3.4,21.3,6.3,5,3,10,3.3,0,1,20.0,7.0,1.0,3.3,60.0,2.0,22,3.4,74,0,0,
16.0,Terrell Watson,23.0,RB,1,0,9,28,1,2,55.6,8.0,3.1,28.0,9.0,1,1,5,5.0,0,0,0.0,5.0,1.0,5.0,100.0,5.0,10,3.3,33,1,0,
17.0,Donnie Jones,36.0,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,1,
,Team Totals,,,16,16,438,1813,16,119,49.8,30.0,4.1,113.3,27.4,604,380,3798,10.0,16,193,47.0,73.0,23.8,237.4,62.9,6.3,818,6.9,5611,32,23,
