Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,James Bradberry,29.0,LCB,17,17,3,54,1,27,17,0,0,0,0,0,0.0,44,39,5,2,0,0,AP-2
2.0,Fletcher Cox,32.0,RDE/LDE,17,17,0,0,0,0,0,1,0,1,0,0,7.0,43,23,20,7,14,0,
3.0,Landon Dickerson,24.0,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,PB
4.0,T.J. Edwards,26.0,RLB,17,17,0,0,0,0,7,0,0,1,0,0,2.0,159,99,60,10,5,0,
5.0,Marcus Epps,26.0,SS,17,17,0,0,0,0,6,1,0,0,0,0,0.0,94,70,24,4,0,0,
6.0,Javon Hargrave,29.0,LDT,17,17,0,0,0,0,2,1,0,2,0,0,11.0,60,37,23,10,16,0,
7.0,Jason Kelce,35.0,C,17,17,0,0,0,0,0,0,1,1,-8,0,0.0,0,0,0,0,0,0,"PB,AP-1"
8.0,Haason Reddick,28.0,LLB,17,17,0,0,0,0,3,5,0,3,1,0,16.0,49,35,14,11,26,0,"PB,AP-2,AP DPoY-4"
9.0,Darius Slay,31.0,RCB,17,17,3,17,0,19,14,0,0,0,0,0,0.0,55,40,15,0,0,0,PB
10.0,DeVonta Smith,24.0,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
11.0,A.J. Brown,25.0,WR,17,16,0,0,0,0,0,0,2,0,0,0,0.0,2,2,0,0,0,0,"PB,AP-2,AP MVP-9,AP OPoY-11"
12.0,Jordan Mailata,25.0,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
13.0,Josh Sweat,25.0,LDE/RDE,16,16,1,42,1,42,1,1,0,0,0,0,11.0,48,31,17,15,23,0,
14.0,Jalen Hurts,24.0,QB,15,15,0,0,0,0,0,0,9,2,-13,0,0.0,2,2,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-3"
15.0,Miles Sanders,25.0,RB,17,15,0,0,0,0,0,0,2,3,2,0,0.0,0,0,0,0,0,0,PB
16.0,C.J. Gardner-Johnson,25.0,FS,12,12,6,54,0,25,8,0,0,0,0,0,1.0,67,61,6,5,2,0,
17.0,Dallas Goedert,27.0,TE,12,12,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,
18.0,Jack Stoll,24.0,TE,17,11,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
19.0,Linval Joseph,34.0,RDT,8,8,0,0,0,0,0,0,0,0,0,0,0.5,20,8,12,0,1,0,
20.0,Avonte Maddox,26.0,DB,9,8,1,2,0,2,3,3,0,1,10,0,1.0,43,28,15,3,2,0,
21.0,Quez Watkins,24.0,WR,17,8,0,0,0,0,0,0,1,0,0,0,0.0,3,3,0,0,0,0,
22.0,Kyzir White,26.0,DB,17,8,0,0,0,0,7,0,0,0,0,0,1.5,110,66,44,3,3,0,
23.0,Jordan Davis,22.0,DT,13,5,0,0,0,0,1,0,0,0,0,0,0.0,18,8,10,1,0,0,
24.0,Reed Blankenship,23.0,FS,10,4,1,4,0,4,2,0,0,0,0,0,0.0,34,20,14,0,0,0,
25.0,Josiah Scott,23.0,CB,16,4,2,13,0,13,8,0,0,0,0,0,0.0,26,19,7,2,0,0,
26.0,Gardner Minshew II,26.0,QB,5,2,0,0,0,0,0,0,4,3,20,0,0.0,1,1,0,0,0,0,
27.0,Zach Pascal,28.0,WR,17,2,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0,0,0,
28.0,Boston Scott,27.0,RB,15,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
29.0,Brandon Graham,34.0,DE,17,1,0,0,0,0,1,2,0,0,0,0,11.0,35,19,16,11,16,0,AP CPoY-4
30.0,Marlon Tuipulotu,23.0,DT,9,1,0,0,0,0,0,0,0,1,0,0,1.0,16,8,8,1,2,0,
31.0,K'Von Wallace,25.0,S,17,1,0,0,0,0,2,0,0,0,0,0,0.0,28,21,7,1,0,0,
32.0,Shaun Bradley,25.0,LB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
33.0,Andre Chachere,26.0,S,7,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
34.0,Britain Covey,25.0,WR,17,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,
35.0,Nakobe Dean,22.0,LB,17,0,0,0,0,0,0,0,0,0,0,0,0.0,13,9,4,1,0,0,
36.0,Christian Elliss,23.0,LB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,11,9,2,0,0,0,
37.0,Josh Jobe,24.0,CB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
38.0,Kyron Johnson,24.0,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,0,
39.0,Patrick Johnson,24.0,DE,16,0,0,0,0,0,0,1,0,1,0,0,0.0,11,7,4,0,3,0,
40.0,Rick Lovato,30.0,LS,17,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
41.0,Zech McPhearson,24.0,CB,17,0,0,0,0,0,1,0,0,0,0,0,1.0,14,12,2,1,1,0,
42.0,Robert Quinn,32.0,DE,6,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,0,
43.0,Arryn Siposs,30.0,P,13,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
44.0,Ndamukong Suh,35.0,DT,8,0,0,0,0,0,0,0,0,0,0,0,1.0,10,4,6,0,2,0,
45.0,Milton Williams,23.0,DT,17,0,0,0,0,0,2,0,0,0,0,0,4.0,36,19,17,9,6,0,
46.0,Marvin Wilson,24.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
,Team Totals,,,17,17,17,186,2,42,85,15,23,22,12,0,69.0,1098,734,364,97,124,0,
