Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Zack Baun,28.0,LLB,4,4,2,16,0,16,3,1,0,2,0,0,0.0,33,20,13,2,1,0,
2.0,Reed Blankenship,25.0,FS,4,4,0,0,0,0,0,1,0,1,0,0,0.0,27,18,9,0,0,0,
3.0,Jordan Davis,24.0,RDT,4,4,0,0,0,0,1,0,0,0,0,0,2.0,6,4,2,2,2,0,
4.0,Cooper DeJean,21.0,DB,4,4,1,38,1,38,4,0,1,1,0,0,0.0,18,12,6,0,0,0,
5.0,Quinyon Mitchell,23.0,LCB,4,4,2,0,0,0,4,0,0,0,0,0,0.0,14,12,2,0,0,0,
6.0,Darius Slay,33.0,RCB,4,4,1,0,0,0,5,0,0,0,0,0,0.0,14,12,2,0,0,0,
7.0,Josh Sweat,27.0,RLB,4,4,0,0,0,0,0,0,0,0,0,0,2.5,10,5,5,3,3,0,
8.0,Oren Burks,29.0,LB,4,3,0,0,0,0,1,2,0,0,0,0,1.0,25,16,9,3,2,0,
9.0,Jalen Carter,23.0,LDT,3,3,0,0,0,0,3,1,0,0,0,0,2.0,9,3,6,2,5,0,
10.0,C.J. Gardner-Johnson,27.0,SS,3,3,0,0,0,0,0,0,0,0,0,0,0.0,14,9,5,1,0,0,
11.0,Nolan Smith,23.0,LOLB,3,3,0,0,0,0,0,1,0,0,0,0,4.0,16,7,9,4,3,0,
12.0,Nakobe Dean,24.0,MLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,2,0,0,
13.0,Jalen Hurts,26.0,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,SB MVP
14.0,Sydney Brown,24.0,S,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
15.0,Kenneth Gainwell,25.0,RB,4,0,0,0,0,0,0,0,0,2,0,0,0.0,3,3,0,0,0,0,
16.0,Brandon Graham,36.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
17.0,Jalyx Hunt,23.0,OLB,4,0,0,0,0,0,0,0,0,0,0,0,1.5,10,7,3,1,3,0,
18.0,Rick Lovato,32.0,LS,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
19.0,Avonte Maddox,28.0,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
20.0,Braden Mann,27.0,P,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
21.0,Tristin McCollum,25.0,S,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
22.0,Nicholas Morrow,29.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
23.0,Moro Ojomo,23.0,DT,4,0,0,0,0,0,0,0,0,0,0,0,1.0,7,5,2,2,1,0,
24.0,Isaiah Rodgers,26.0,CB,2,0,0,0,0,0,2,0,0,1,40,0,0.0,6,5,1,0,0,0,
25.0,Will Shipley,22.0,RB,3,0,0,0,0,0,0,1,0,0,0,0,0.0,4,1,3,0,0,0,
26.0,Jeremiah Trotter Jr.,22.0,LB,4,0,0,0,0,0,0,0,0,1,0,0,0.0,5,4,1,0,0,0,
27.0,Milton Williams,25.0,DT,3,0,0,0,0,0,2,1,0,1,0,0,2.0,7,5,2,2,2,0,
,Team Totals,,,4,4,6,54,1,38,25,8,2,9,40,0,16.0,247,155,92,24,22,0,
