Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Brent Alexander,32.0,FS,16,16,4,63,0,34,6,0,0,2,2,0,1.0,85.0,62.0,23.0,2.0,0,
2.0,Kendrell Bell,25.0,RILB,16,16,1,61,0,42,3,1,0,1,0,0,5.0,100.0,81.0,19.0,17.0,0,
3.0,Plaxico Burress,26.0,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
4.0,James Farrior,28.0,LILB,16,16,1,9,0,9,4,0,1,1,0,0,0.0,141.0,96.0,45.0,11.0,0,
5.0,Jason Gildon,31.0,LOLB,16,16,1,1,0,1,6,1,1,1,0,0,6.0,62.0,43.0,19.0,6.0,0,
6.0,Casey Hampton,26.0,NT,16,16,0,0,0,0,2,0,0,0,0,0,1.0,39.0,27.0,12.0,4.0,0,PB
7.0,Tommy Maddox,32.0,QB,16,16,0,0,0,0,0,0,5,1,-6,0,0.0,0.0,0.0,0.0,0.0,0,
8.0,Kendall Simmons,24.0,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
9.0,Aaron Smith,27.0,LDE,16,16,0,0,0,0,7,1,0,0,0,0,2.0,45.0,36.0,9.0,8.0,0,
10.0,Kimo von Oelhoffen,32.0,RDE,16,16,0,0,0,0,0,1,0,1,0,0,8.0,35.0,27.0,8.0,8.0,0,
11.0,Hines Ward,27.0,WR,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
12.0,Mike Logan,29.0,SS,16,15,0,0,0,0,5,1,0,3,14,0,1.0,94.0,71.0,23.0,7.0,0,
13.0,Joey Porter,26.0,ROLB,14,14,0,0,0,0,4,1,0,1,0,0,5.0,66.0,50.0,16.0,10.0,0,
14.0,Chad Scott,29.0,LCB,12,12,3,50,1,26,9,1,0,0,0,0,0.0,56.0,44.0,12.0,1.0,0,
15.0,Dewayne Washington,31.0,RCB,16,12,1,7,0,7,8,0,1,0,0,0,0.0,60.0,53.0,7.0,3.0,0,
16.0,Jerome Bettis,31.0,RB,16,10,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
17.0,Deshea Townsend,28.0,LCB,16,8,3,24,1,25,14,1,0,1,0,0,1.0,46.0,39.0,7.0,2.0,0,
18.0,Clark Haggans,26.0,LB,16,2,0,0,0,0,1,1,0,0,0,0,1.0,33.0,24.0,9.0,0.0,0,
19.0,Antwaan Randle El,24.0,WR,16,1,0,0,0,0,0,0,5,2,-7,0,0.0,0.0,0.0,0.0,0.0,0,
20.0,Ike Taylor,23.0,DB,16,1,0,0,0,0,2,0,1,0,0,0,0.0,32.0,26.0,6.0,0.0,0,
21.0,Rodney Bailey,24.0,DE,16,0,0,0,0,0,0,0,0,0,0,0,2.0,10.0,7.0,3.0,4.0,0,
22.0,Charlie Batch,29.0,QB,4,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
23.0,Kendrick Clancy,25.0,DT,12,0,0,0,0,0,0,0,0,1,0,0,0.0,5.0,5.0,0.0,0.0,0,
24.0,Chris Doering,30.0,WR,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
25.0,Larry Foote,23.0,LB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,6.0,5.0,1.0,0.0,0,
26.0,Verron Haynes,24.0,RB,12,0,0,0,0,0,0,0,2,1,0,0,0.0,2.0,2.0,0.0,0.0,0,
27.0,Chris Hope,23.0,DB,16,0,0,0,0,0,1,0,0,0,0,0,0.0,30.0,25.0,5.0,0.0,0,
28.0,Chidi Iwuoma,25.0,DB,15,0,0,0,0,0,0,0,0,1,0,0,0.0,14.0,11.0,3.0,0.0,0,
29.0,Clint Kriewaldt,27.0,LB,15,0,0,0,0,0,0,1,0,1,0,0,0.0,22.0,19.0,3.0,1.0,0,
30.0,Lee Mays,25.0,WR,16,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,8.0,4.0,0.0,0,
31.0,Josh Miller,33.0,P,16,0,0,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
32.0,Troy Polamalu,22.0,DB,16,0,0,0,0,0,4,1,0,0,0,0,2.0,48.0,35.0,13.0,2.0,0,
33.0,Jeff Reed,24.0,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
34.0,Mike Schneck,26.0,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
35.0,Russell Stuvaints,23.0,DB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
,Team Totals,,,16,16,14,215,2,42,76,11,24,23,3,0,35.0,1050.0,801.0,249.0,86.0,0,
