Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 7,1:04PM ET,boxscore,W,,1-0,,Baltimore Ravens,34.0,15.0,21.0,339.0,251.0,88.0,1.0,17.0,231.0,143.0,88.0,2.0,6.28,13.75,-2.58
2,Sun,September 14,1:00PM ET,boxscore,L,,1-1,@,Kansas City Chiefs,20.0,41.0,16.0,380.0,320.0,60.0,4.0,19.0,282.0,123.0,159.0,2.0,-18.24,-0.99,-2.99
3,Sun,September 21,1:02PM ET,boxscore,W,,2-1,@,Cincinnati Bengals,17.0,10.0,22.0,376.0,238.0,138.0,1.0,11.0,182.0,125.0,57.0,1.0,10.64,6.33,-4.89
4,Sun,September 28,1:01PM ET,boxscore,L,,2-2,,Tennessee Titans,13.0,30.0,25.0,376.0,307.0,69.0,2.0,9.0,198.0,158.0,40.0,,-12.57,1.5,-4.96
5,Sun,October 5,8:35PM ET,boxscore,L,,2-3,,Cleveland Browns,13.0,33.0,11.0,209.0,149.0,60.0,3.0,22.0,324.0,200.0,124.0,2.0,-23.56,-5.82,9.62
6,Sun,October 12,4:15PM ET,boxscore,L,,2-4,@,Denver Broncos,14.0,17.0,17.0,215.0,130.0,85.0,1.0,15.0,242.0,165.0,77.0,3.0,-11.34,7.37,-0.79
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 26,1:02PM ET,boxscore,L,,2-5,,St. Louis Rams,21.0,33.0,11.0,245.0,151.0,94.0,4.0,26.0,448.0,359.0,89.0,,-16.63,-8.47,12.32
9,Sun,November 2,4:06PM ET,boxscore,L,,2-6,@,Seattle Seahawks,16.0,23.0,19.0,320.0,215.0,105.0,,19.0,289.0,191.0,98.0,,-5.35,-4.26,-1.0
10,Sun,November 9,1:02PM ET,boxscore,W,,3-6,,Arizona Cardinals,28.0,15.0,11.0,246.0,159.0,87.0,1.0,19.0,379.0,283.0,96.0,1.0,-3.87,8.91,13.24
11,Mon,November 17,9:09PM ET,boxscore,L,,3-7,@,San Francisco 49ers,14.0,30.0,21.0,349.0,305.0,44.0,2.0,17.0,423.0,254.0,169.0,,-2.3,-9.93,-2.95
12,Sun,November 23,1:02PM ET,boxscore,W,,4-7,@,Cleveland Browns,13.0,6.0,11.0,168.0,59.0,109.0,,19.0,303.0,213.0,90.0,5.0,-15.85,24.23,1.07
13,Sun,November 30,1:01PM ET,boxscore,L,,4-8,,Cincinnati Bengals,20.0,24.0,23.0,384.0,299.0,85.0,2.0,18.0,379.0,266.0,113.0,,6.82,-11.06,2.03
14,Sun,December 7,1:01PM ET,boxscore,W,,5-8,,Oakland Raiders,27.0,7.0,21.0,399.0,266.0,133.0,2.0,9.0,161.0,39.0,122.0,3.0,3.2,23.4,-0.71
15,Sun,December 14,1:03PM ET,boxscore,L,,5-9,@,New York Jets,0.0,6.0,16.0,231.0,137.0,94.0,,15.0,319.0,144.0,175.0,1.0,-8.4,4.67,-2.99
16,Sun,December 21,4:05PM ET,boxscore,W,,6-9,,San Diego Chargers,40.0,24.0,21.0,341.0,160.0,181.0,,21.0,344.0,228.0,116.0,3.0,14.22,3.12,0.85
17,Sun,December 28,8:36PM ET,boxscore,L,OT,6-10,@,Baltimore Ravens,10.0,13.0,9.0,214.0,158.0,56.0,5.0,14.0,279.0,151.0,128.0,2.0,-24.82,16.59,6.88
