Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Jerome Bettis,32.0,RB,2,2,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,0.0,0.0,0.0,0.0,
2.0,Clark Haggans,27.0,LOLB,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2.0,7,3.0,4.0,1.0,0.0,
3.0,Chris Hoke,28.0,NT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,5,2.0,3.0,1.0,0.0,
4.0,Troy Polamalu,23.0,SS,2,2,1.0,14.0,0.0,14.0,1,0,0,0,0,0,0.0,7,4.0,3.0,1.0,0.0,
5.0,Aaron Smith,28.0,LDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,3,3.0,0.0,2.0,0.0,
6.0,James Farrior,29.0,LILB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9,4.0,5.0,1.0,0.0,
7.0,Larry Foote,24.0,RILB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
8.0,Chris Hope,24.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,5.0,5.0,0.0,0.0,
9.0,Joey Porter,27.0,ROLB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,3,2.0,1.0,0.0,0.0,
10.0,Ben Roethlisberger,22.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
11.0,Deshea Townsend,29.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,2.0,2.0,0.0,0.0,
12.0,Kimo von Oelhoffen,33.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
13.0,Willie Williams,34.0,LCB,1,1,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,11,10.0,1.0,1.0,0.0,
14.0,James Harrison,26.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
15.0,Verron Haynes,25.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,0.0,
16.0,Brett Keisel,26.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
17.0,Travis Kirschke,30.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,3,1.0,2.0,0.0,,
18.0,Lee Mays,26.0,WR,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
19.0,Sean Morey,28.0,WR,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
20.0,Chad Scott,30.0,LCB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
21.0,Russell Stuvaints,24.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
22.0,Ike Taylor,24.0,DB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
,Team Totals,,,2,2,1.0,14.0,0.0,14.0,6,0,3,0,0,0,5.0,82,51.0,31.0,7.0,0.0,
