Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Alan Faneca,31.0,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1"
2.0,James Farrior,32.0,LILB,16,16,1,0,0,0,8,2,0,0,0,0,6.5,96.0,65.0,31.0,9.0,15.0,0,
3.0,Larry Foote,27.0,RILB,16,16,1,14,0,14,5,3,0,0,0,0,3.0,85.0,46.0,39.0,5.0,4.0,0,
4.0,Clark Haggans,30.0,LOLB,16,16,0,0,0,0,1,0,0,1,0,0,4.0,58.0,37.0,21.0,4.0,7.0,0,
5.0,James Harrison,29.0,ROLB,16,16,1,20,0,20,2,7,0,3,0,0,8.5,98.0,76.0,22.0,12.0,17.0,0,"PB,AP-2,AP DPoY-7"
6.0,Brett Keisel,29.0,RDE,16,16,0,0,0,0,6,0,0,0,0,0,2.0,38.0,22.0,16.0,2.0,7.0,0,
7.0,Heath Miller,25.0,TE,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
8.0,Kendall Simmons,28.0,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
9.0,Ike Taylor,27.0,LCB,16,16,3,56,1,51,16,1,0,1,0,0,1.0,80.0,69.0,11.0,1.0,1.0,0,
10.0,Deshea Townsend,32.0,RCB,16,16,2,44,0,23,16,0,0,0,0,0,0.0,52.0,45.0,7.0,3.0,1.0,0,
11.0,Casey Hampton,30.0,NT,15,15,0,0,0,0,0,0,0,0,0,0,0.5,36.0,19.0,17.0,2.0,3.0,0,PB
12.0,Willie Parker,27.0,RB,15,15,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,PB
13.0,Ben Roethlisberger,25.0,QB,15,15,0,0,0,0,0,0,9,4,-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP CPoY-3"
14.0,Santonio Holmes,23.0,WR,13,13,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
15.0,Troy Polamalu,26.0,SS,11,11,0,0,0,0,9,3,0,1,13,0,0.0,58.0,45.0,13.0,2.0,0.0,0,"PB,AP-2"
16.0,Aaron Smith,31.0,LDE,11,11,0,0,0,0,0,0,0,2,0,0,2.5,31.0,22.0,9.0,3.0,6.0,0,
17.0,Anthony Smith,24.0,FS,16,10,2,50,0,50,2,1,0,1,0,0,0.0,68.0,52.0,16.0,1.0,1.0,0,
18.0,Carey Davis,26.0,FB,16,7,0,0,0,0,0,0,0,1,0,0,0.0,17.0,11.0,6.0,0.0,0.0,0,
19.0,Ryan Clark,28.0,FS,6,6,0,0,0,0,3,1,0,0,0,0,1.0,22.0,17.0,5.0,0.0,2.0,0,
20.0,Tyrone Carter,31.0,SS,16,5,0,0,0,0,2,3,0,0,0,0,0.5,63.0,45.0,18.0,2.0,2.0,0,
21.0,Travis Kirschke,33.0,DE,16,4,0,0,0,0,0,0,0,0,0,0,2.0,48.0,30.0,18.0,6.0,8.0,0,
22.0,Najeh Davenport,28.0,RB,15,1,0,0,0,0,0,0,1,1,0,0,0.0,8.0,5.0,3.0,0.0,0.0,0,
23.0,Nick Eason,27.0,DT,16,1,0,0,0,0,0,0,0,0,0,0,0.0,17.0,13.0,4.0,0.0,0.0,0,
24.0,Chris Hoke,31.0,DT,16,1,0,0,0,0,0,0,0,0,0,0,0.5,9.0,5.0,4.0,1.0,1.0,0,
25.0,Ricardo Colclough,24.0,DB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,
26.0,Marquis Cooper,25.0,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0.0,0,
27.0,Andre Frazier,25.0,LB,8,0,0,0,0,0,0,0,0,1,0,0,0.0,10.0,8.0,2.0,0.0,0.0,0,
28.0,William Gay,22.0,DB,16,0,0,0,0,0,2,0,1,1,0,0,0.0,25.0,19.0,6.0,1.0,4.0,0,
29.0,Arnold Harrison,25.0,LB,13,0,0,0,0,0,0,1,0,0,0,0,0.0,13.0,8.0,5.0,0.0,0.0,0,
30.0,Verron Haynes,28.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,
31.0,Clint Kriewaldt,31.0,LB,14,0,0,0,0,0,0,0,0,0,0,0,0.0,9.0,3.0,6.0,0.0,1.0,0,
32.0,Anthony Madison,26.0,DB,9,0,0,0,0,0,0,0,0,1,0,0,0.0,11.0,10.0,1.0,0.0,0.0,0,
33.0,Grant Mason,24.0,DB,5,0,0,0,0,0,0,1,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,0,
34.0,Bryant McFadden,26.0,DB,13,0,1,50,1,50,3,0,0,1,0,0,0.0,27.0,23.0,4.0,1.0,1.0,0,
35.0,Jeff Reed,28.0,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0.0,0,
36.0,Willie Reid,25.0,WR,6,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,,0,
37.0,Allen Rossum,32.0,DB,15,0,0,0,0,0,0,0,3,0,0,0,0.0,5.0,3.0,2.0,0.0,0.0,0,
38.0,Gary Russell,21.0,RB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,
39.0,Daniel Sepulveda,23.0,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,
40.0,Lawrence Timmons,21.0,LB,16,0,0,0,0,0,0,0,0,2,5,0,0.0,15.0,13.0,2.0,2.0,0.0,0,
41.0,Greg Warren,26.0,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0.0,0,
42.0,LaMarr Woodley,23.0,LB,13,0,0,0,0,0,0,1,0,0,0,0,4.0,19.0,17.0,2.0,3.0,7.0,0,
,Team Totals,,,16,16,11,234,2,51,75,24,21,25,2,0,36.0,1032.0,740.0,292.0,60.0,88.0,0,
