Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Antonio Brown,25.0,WR,16,14,7,4,0,2,57.1,10.0,0.6,0.3,0.4,167,110,1499,13.6,8,70,53.3,56.0,6.9,93.7,65.9,9.0,117,12.8,1503,8,1,"PB,AP-2"
2.0,Le'Veon Bell,21.0,RB,13,13,244,860,8,53,45.5,43.0,3.5,66.2,18.8,66,45,399,8.9,0,15,43.9,43.0,3.5,30.7,68.2,6.0,289,4.4,1259,8,1,
3.0,Emmanuel Sanders,26.0,WR,16,10,1,25,0,1,100.0,25.0,25.0,1.6,0.1,113,67,740,11.0,6,37,46.9,55.0,4.2,46.3,59.3,6.5,68,11.3,765,6,1,
4.0,Jerricho Cotchery,31.0,WR,16,6,1,-5,0,0,0.0,-5.0,-5.0,-0.3,0.1,76,46,602,13.1,10,38,55.3,36.0,2.9,37.6,60.5,7.9,47,12.7,597,10,0,
5.0,Heath Miller,31.0,TE,14,14,0,0,0,0,,,,0.0,0.0,79,58,593,10.2,1,30,58.2,31.0,4.1,42.4,73.4,7.5,58,10.2,593,1,1,
6.0,Jonathan Dwyer,24.0,RB,15,0,49,197,0,16,42.9,30.0,4.0,13.1,3.3,11,8,64,8.0,0,3,45.5,23.0,0.5,4.3,72.7,5.8,57,4.6,261,0,0,
7.0,Felix Jones,26.0,RB,16,2,48,184,0,9,37.5,14.0,3.8,11.5,3.0,13,9,63,7.0,0,2,53.8,15.0,0.6,3.9,69.2,4.8,57,4.3,247,0,1,
8.0,Ben Roethlisberger,31.0,QB,16,16,27,99,1,5,33.3,19.0,3.7,6.2,1.7,0,0,5,,0,0,,5.0,0.0,0.3,,,27,3.9,104,1,9,
9.0,David Paulson,24.0,TE,16,4,0,0,0,0,,,,0.0,0.0,10,6,102,17.0,0,3,50.0,34.0,0.4,6.4,60.0,10.2,6,17.0,102,0,1,
10.0,David Johnson,26.0,TE,5,2,0,0,0,0,,,,0.0,0.0,6,4,70,17.5,0,3,66.7,32.0,0.8,14.0,66.7,11.7,4,17.5,70,0,0,
11.0,Markus Wheaton,22.0,WR,12,1,0,0,0,0,,,,0.0,0.0,13,6,64,10.7,0,5,38.5,21.0,0.5,5.3,46.2,4.9,6,10.7,64,0,0,
12.0,Will Johnson,24.0,RB,15,5,0,0,0,0,,,,0.0,0.0,11,8,41,5.1,1,3,54.5,9.0,0.5,2.7,72.7,3.7,8,5.1,41,1,0,
13.0,LaRod Stephens-Howling,26.0,RB,1,0,6,19,0,0,0.0,5.0,3.2,19.0,6.0,3,2,11,5.5,0,0,0.0,7.0,2.0,11.0,66.7,3.7,8,3.8,30,0,0,
14.0,Isaac Redman,29.0,RB,3,1,10,12,0,0,10.0,8.0,1.2,4.0,3.3,5,4,14,3.5,0,1,40.0,7.0,1.3,4.7,80.0,2.8,14,1.9,26,0,1,
15.0,Derek Moye,25.0,WR,7,0,0,0,0,0,,,,0.0,0.0,6,2,20,10.0,1,2,33.3,19.0,0.3,2.9,33.3,3.3,2,10.0,20,1,0,
16.0,Matt Spaeth,30.0,TE,4,2,0,0,0,0,,,,0.0,0.0,2,1,11,11.0,1,1,50.0,11.0,0.3,2.8,50.0,5.5,1,11.0,11,1,0,
17.0,Michael Palmer,25.0,TE,16,0,0,0,0,0,,,,0.0,0.0,1,1,8,8.0,0,0,0.0,8.0,0.1,0.5,100.0,8.0,1,8.0,8,0,0,
18.0,Shaun Suisham,32.0,K,16,0,1,-12,0,0,0.0,-12.0,-12.0,-0.8,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,-12.0,-12,0,0,
,Team Totals,,,16,16,394,1383,9,86,41.9,43.0,3.5,86.4,24.6,582,377,4306,11.4,28,213,50.9,56.0,23.6,269.1,64.8,7.4,771,7.4,5689,37,16,
