Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Martavis Bryant,24.0,WR,2,2,3,84,0,2,66.7,44.0,28.0,42.0,1.5,21,14,183,13.1,1,6,47.6,52.0,7.0,91.5,66.7,8.7,17,15.7,267,1,0,
2.0,Fitzgerald Toussaint,25.0,RB,2,1,29,97,1,5,51.7,15.0,3.3,48.5,14.5,11,7,62,8.9,0,4,36.4,27.0,3.5,31.0,63.6,5.6,36,4.4,159,1,1,
3.0,Antonio Brown,27.0,WR,1,1,0,0,0,0,,,,0.0,0.0,12,7,119,17.0,0,4,50.0,60.0,7.0,119.0,58.3,9.9,7,17.0,119,0,0,
4.0,Jordan Todman,25.0,RB,2,0,16,71,0,3,31.3,25.0,4.4,35.5,8.0,0,0,0,,0,0,,,0.0,0.0,,,16,4.4,71,0,1,
5.0,Darrius Heyward-Bey,28.0,WR,2,1,0,0,0,0,,,,0.0,0.0,4,2,64,32.0,0,1,50.0,58.0,1.0,32.0,50.0,16.0,2,32.0,64,0,0,
6.0,Sammie Coates,22.0,WR,1,0,0,0,0,0,,,,0.0,0.0,3,2,61,30.5,0,2,66.7,37.0,2.0,61.0,66.7,20.3,2,30.5,61,0,0,
7.0,Markus Wheaton,24.0,WR,2,2,0,0,0,0,,,,0.0,0.0,13,7,53,7.6,0,2,30.8,24.0,3.5,26.5,53.8,4.1,7,7.6,53,0,2,
8.0,Jesse James,21.0,TE,1,0,0,0,0,0,,,,0.0,0.0,1,1,22,22.0,0,1,100.0,22.0,1.0,22.0,100.0,22.0,1,22.0,22,0,0,
9.0,Heath Miller,33.0,TE,2,2,0,0,0,0,,,,0.0,0.0,6,3,14,4.7,0,0,0.0,5.0,1.5,7.0,50.0,2.3,3,4.7,14,0,0,
10.0,Matt Spaeth,32.0,TE,1,1,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,0,0,0.0,1.0,1.0,1.0,100.0,1.0,1,1.0,1,0,0,
,Team Totals,,,2,2,48,252,1,10,45.8,44.0,5.3,126.0,24.0,72,44,579,13.2,1,20,40.3,60.0,22.0,289.5,61.1,8.0,92,9.0,831,2,4,
