Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 3,4:15PM ET,boxscore,W,,1-0,,San Diego Chargers,9.0,6.0,13.0,233.0,166.0,67.0,,17.0,255.0,179.0,76.0,4.0,-14.39,19.54,-1.47
2,Sun,September 10,1:00PM ET,boxscore,W,,2-0,@,Indianapolis Colts,38.0,31.0,21.0,359.0,207.0,152.0,,28.0,462.0,351.0,111.0,3.0,18.08,-14.23,2.67
3,Sun,September 17,4:05PM ET,boxscore,L,,2-1,,Denver Broncos,24.0,33.0,16.0,263.0,140.0,123.0,4.0,25.0,387.0,207.0,180.0,1.0,-9.0,-4.5,5.3
4,Sun,September 24,4:17PM ET,boxscore,W,,3-1,,Cleveland Browns,36.0,10.0,18.0,292.0,179.0,113.0,,14.0,230.0,141.0,89.0,2.0,3.6,19.59,6.58
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 8,4:00PM ET,boxscore,W,OT,4-1,@,San Francisco 49ers,34.0,28.0,31.0,471.0,307.0,164.0,2.0,28.0,472.0,336.0,136.0,2.0,13.43,-10.79,2.16
7,Sun,October 15,1:00PM ET,boxscore,W,,5-1,@,Kansas City Chiefs,20.0,17.0,23.0,391.0,230.0,161.0,1.0,20.0,346.0,288.0,58.0,1.0,9.73,-2.63,1.46
8,Sun,October 22,4:05PM ET,boxscore,W,,6-1,,Seattle Seahawks,31.0,3.0,17.0,380.0,174.0,206.0,1.0,17.0,283.0,146.0,137.0,3.0,11.34,16.55,-1.2
9,Sun,October 29,8:35PM ET,boxscore,W,,7-1,@,San Diego Chargers,15.0,13.0,19.0,228.0,145.0,83.0,1.0,18.0,224.0,195.0,29.0,2.0,-4.95,3.76,2.13
10,Sun,November 5,1:15PM ET,boxscore,W,,8-1,,Kansas City Chiefs,49.0,31.0,31.0,473.0,242.0,231.0,,31.0,513.0,474.0,39.0,3.0,34.25,-15.22,-3.18
11,Mon,November 13,9:09PM ET,boxscore,L,,8-2,@,Denver Broncos,24.0,27.0,25.0,411.0,373.0,38.0,3.0,18.0,329.0,258.0,71.0,2.0,1.36,-4.26,1.76
12,Sun,November 19,1:02PM ET,boxscore,W,,9-2,@,New Orleans Saints,31.0,22.0,19.0,293.0,134.0,159.0,1.0,19.0,333.0,200.0,133.0,1.0,8.89,0.65,0.83
13,Sun,November 26,4:05PM ET,boxscore,W,,10-2,,Atlanta Falcons,41.0,14.0,24.0,492.0,222.0,270.0,1.0,15.0,181.0,150.0,31.0,2.0,17.58,11.36,1.43
14,Sun,December 3,1:01PM ET,boxscore,L,,10-3,@,Pittsburgh Steelers,20.0,21.0,20.0,390.0,273.0,117.0,2.0,19.0,311.0,112.0,199.0,1.0,-2.51,0.0,-0.74
15,Sun,December 10,8:35PM ET,boxscore,W,,11-3,,New York Jets,31.0,7.0,17.0,330.0,150.0,180.0,1.0,14.0,300.0,290.0,10.0,4.0,0.16,23.19,-0.63
16,Sat,December 16,4:06PM ET,boxscore,L,,11-4,@,Seattle Seahawks,24.0,27.0,15.0,361.0,134.0,227.0,3.0,18.0,326.0,153.0,173.0,2.0,-3.52,5.8,-3.74
17,Sun,December 24,4:15PM ET,boxscore,W,,12-4,,Carolina Panthers,52.0,9.0,28.0,409.0,230.0,179.0,,19.0,297.0,218.0,79.0,4.0,27.1,18.51,-2.61
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 6,4:05PM ET,boxscore,W,,13-4,,Miami Dolphins,27.0,0.0,20.0,267.0,127.0,140.0,1.0,10.0,204.0,164.0,40.0,4.0,-0.02,30.85,-1.34
Conf. Champ.,Sun,January 14,4:05PM ET,boxscore,L,,13-5,,Baltimore Ravens,3.0,16.0,12.0,191.0,167.0,24.0,5.0,12.0,282.0,172.0,110.0,2.0,-28.42,14.84,3.12
