Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Sam Adams,29.0,LDT,3,3,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0.0,8,5.0,3.0,2.0,0.0,
2.0,Eric Barton,25.0,RLB,3,3,1.0,1.0,0.0,1.0,1.0,2,0,0,0,0,0.0,25,18.0,7.0,0.0,0.0,
3.0,Anthony Dorsett,29.0,SS,3,3,0.0,0.0,0.0,0.0,2.0,0,0,2,0,0,0.0,23,20.0,3.0,0.0,0.0,
4.0,Rich Gannon,37.0,QB,3,3,0.0,0.0,0.0,0.0,0.0,0,3,1,-1,0,0.0,0,,,,0.0,
5.0,DeLawrence Grant,23.0,LDE,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.5,4,2.0,2.0,0.0,0.0,
6.0,Napoleon Harris,23.0,MLB,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.5,17,9.0,8.0,1.0,0.0,
7.0,Tory James,29.0,RCB,3,3,1.0,0.0,0.0,0.0,5.0,1,0,0,0,0,0.0,8,8.0,0.0,0.0,0.0,
8.0,John Parrella,33.0,RDT,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,14,8.0,6.0,5.0,0.0,
9.0,Bill Romanowski,36.0,LLB,3,3,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,20,15.0,5.0,0.0,0.0,
10.0,Charles Woodson,26.0,LCB,3,3,1.0,12.0,0.0,12.0,3.0,0,0,0,0,0,0.0,22,18.0,4.0,0.0,0.0,
11.0,Rod Woodson,37.0,FS,3,3,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0.0,22,18.0,4.0,0.0,0.0,
12.0,Regan Upshaw,27.0,DE,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,3,1.0,2.0,1.0,0.0,
13.0,Tim Brown,36.0,WR,1,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,0,,,0.0,0.0,
14.0,Mo Collins,26.0,LG,1,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0.0,0.0,,0.0,
15.0,Charlie Garner,30.0,RB,1,1,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,0,0.0,0.0,0.0,0.0,
16.0,Frank Middleton,28.0,RG,1,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,
17.0,Jerry Rice,40.0,WR,1,1,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,0,0.0,0.0,0.0,0.0,
18.0,Roderick Coleman,26.0,DT,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.5,10,8.0,2.0,3.0,0.0,
19.0,Chris Cooper,25.0,DE,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.5,9,4.0,5.0,0.0,0.0,
20.0,Zack Crockett,30.0,FB,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
21.0,Derrick Gibson,23.0,SS,3,0,,,,,0.0,0,0,0,0,0,0.0,6,4.0,2.0,0.0,,
22.0,Junior Ioane,25.0,DT,1,0,,,,,,0,0,0,0,0,0.0,1,1.0,0.0,,,
23.0,Eric Johnson,26.0,DB,1,0,,,,,0.0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
24.0,Tim Johnson,24.0,LB,2,0,,,,,0.0,1,0,0,0,0,0.0,10,8.0,2.0,1.0,,
25.0,Clarence Love,26.0,DB,1,0,,,,,0.0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
26.0,Terrance Shaw,29.0,LCB,3,0,,,,,3.0,0,0,0,0,0,0.0,10,9.0,1.0,0.0,,
27.0,Travian Smith,27.0,LB,3,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1.0,17,11.0,6.0,0.0,0.0,
28.0,Alvis Whitted,28.0,WR,2,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,2,0.0,2.0,0.0,0.0,
29.0,Marcus Williams,25.0,TE,1,0,,,,,0.0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
,Team Totals,,,3,3,3.0,13.0,0.0,12.0,17.0,5,6,11,-1,0,6.0,236,170.0,66.0,13.0,0.0,
