Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Charlie Garner,30.0,RB,3,3,35,139,0,10,42.9,18.0,4.0,46.3,11.7,29,17,132,7.8,1,3,44.8,20.0,5.7,44.0,58.6,4.6,52,5.2,271,1,1,
2.0,Jerry Porter,24.0,WR,3,3,0,0,0,0,,,,0.0,0.0,22,14,237,16.9,3,9,54.5,50.0,4.7,79.0,63.6,10.8,14,16.9,237,3,0,
3.0,Jerry Rice,40.0,WR,3,3,0,0,0,0,,,,0.0,0.0,20,14,203,14.5,2,11,65.0,48.0,4.7,67.7,70.0,10.2,14,14.5,203,2,1,
4.0,Tim Brown,36.0,WR,3,3,0,0,0,0,,,,0.0,0.0,21,13,134,10.3,0,7,52.4,14.0,4.3,44.7,61.9,6.4,13,10.3,134,0,1,
5.0,Doug Jolley,23.0,TE,3,3,0,0,0,0,,,,0.0,0.0,14,11,93,8.5,1,4,71.4,25.0,3.7,31.0,78.6,6.6,11,8.5,93,1,0,
6.0,Tyrone Wheatley,30.0,RB,3,0,5,35,0,1,40.0,24.0,7.0,11.7,1.7,1,1,7,7.0,0,1,100.0,7.0,0.3,2.3,100.0,7.0,6,7.0,42,0,0,
7.0,Rich Gannon,37.0,QB,3,3,13,41,1,3,30.8,14.0,3.2,13.7,4.3,0,0,0,,0,0,,,0.0,0.0,,,13,3.2,41,1,3,
8.0,Jon Ritchie,28.0,FB,3,0,0,0,0,0,,,,0.0,0.0,4,3,35,11.7,0,2,50.0,14.0,1.0,11.7,75.0,8.8,3,11.7,35,0,0,
9.0,Zack Crockett,30.0,FB,3,0,5,20,2,2,60.0,7.0,4.0,6.7,1.7,0,0,0,,0,0,,,0.0,0.0,,,5,4.0,20,2,0,
10.0,Marcus Knight,24.0,WR,2,0,0,0,0,0,,,,0.0,0.0,4,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,3,3,58,235,3,16,41.4,24.0,4.1,78.3,19.3,115,73,841,11.5,7,37,53.9,50.0,24.3,280.3,63.5,7.3,131,8.2,1076,10,6,
