Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Eric Barton,26.0,RLB,16,16,0,0,0,0,6,1,0,0,0,0,0.5,133.0,99.0,34.0,7.0,0,
2.0,Tyler Brayton,24.0,RDE,16,16,0,0,0,0,1,0,0,1,0,0,2.5,61.0,48.0,13.0,8.0,0,
3.0,Napoleon Harris,24.0,MLB,16,16,0,0,0,0,2,3,0,0,0,0,2.0,110.0,76.0,34.0,10.0,0,
4.0,Jerry Rice,41.0,WR,16,15,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
5.0,Charles Woodson,27.0,LCB,15,15,3,67,0,51,8,1,0,1,3,0,1.0,70.0,56.0,14.0,5.0,0,
6.0,Derrick Gibson,24.0,SS,15,14,2,16,0,11,3,1,1,0,0,0,1.0,68.0,56.0,12.0,3.0,0,
7.0,Roderick Coleman,27.0,RDT,16,12,0,0,0,0,6,2,0,1,0,0,5.5,52.0,44.0,8.0,8.0,0,
8.0,Brad Badger,28.0,LG/RG,16,11,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
9.0,Phillip Buchanon,23.0,RCB,16,10,6,176,2,83,10,2,3,2,0,0,0.0,44.0,42.0,2.0,4.0,0,
10.0,Lincoln Kennedy,32.0,RT,12,10,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
11.0,Rod Woodson,38.0,FS,10,10,2,18,0,13,3,0,0,1,0,0,0.0,51.0,41.0,10.0,1.0,0,
12.0,Chris Cooper,26.0,LDT,16,9,0,0,0,0,2,1,0,3,0,0,2.5,49.0,40.0,9.0,8.0,0,
13.0,Charlie Garner,31.0,RB,14,9,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
14.0,Barret Robbins,30.0,C,9,9,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
15.0,Rick Mirer,33.0,QB,9,8,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
16.0,Terrance Shaw,30.0,RCB,16,8,0,0,0,0,7,0,0,0,0,0,0.0,64.0,52.0,12.0,1.0,0,
17.0,Langston Walker,24.0,RT,16,8,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
18.0,Trace Armstrong,38.0,LDE,10,7,0,0,0,0,0,0,0,0,0,0,3.0,16.0,15.0,1.0,5.0,0,
19.0,Zack Crockett,31.0,FB,16,7,0,0,0,0,0,0,1,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
20.0,Rich Gannon,38.0,QB,7,7,0,0,0,0,0,0,2,0,0,0,0.0,,,,,0,
21.0,O.J. Santiago,29.0,TE,12,7,0,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
22.0,Travian Smith,28.0,LLB,10,7,0,0,0,0,0,0,0,0,0,0,1.0,69.0,56.0,13.0,8.0,0,
23.0,Anthony Dorsett,30.0,FS,14,6,0,0,0,0,2,0,1,1,7,0,0.0,49.0,41.0,8.0,0.0,0,
24.0,Dana Stubblefield,33.0,LDT,8,6,0,0,0,0,1,0,0,1,0,0,0.0,18.0,12.0,6.0,4.0,0,
25.0,Teyo Johnson,22.0,TE,16,5,0,0,0,0,0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
26.0,John Parrella,34.0,RDT,5,5,0,0,0,0,1,0,0,0,0,0,0.0,18.0,14.0,4.0,0.0,0,
27.0,Tyrone Wheatley,31.0,RB,15,5,0,0,0,0,0,0,2,0,0,0,0.0,,,,,0,
28.0,Lorenzo Bromell,28.0,DE,6,4,0,0,0,0,0,0,0,0,0,0,2.0,14.0,8.0,6.0,2.0,0,
29.0,DeLawrence Grant,24.0,DE,13,4,0,0,0,0,0,0,0,0,0,0,1.0,18.0,8.0,10.0,2.0,0,
30.0,Tim Johnson,25.0,LB,12,4,0,0,0,0,2,0,0,0,0,0,0.0,42.0,34.0,8.0,1.0,0,
31.0,Adam Treu,29.0,C,16,4,0,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
32.0,Bill Romanowski,37.0,LB,3,3,0,0,0,0,0,0,0,0,0,0,2.0,20.0,16.0,4.0,4.0,0,
33.0,Ronald Curry,24.0,WR,16,2,0,0,0,0,0,0,1,0,-12,0,0.0,20.0,19.0,1.0,0.0,0,
34.0,Eric Johnson,27.0,S,16,2,1,3,0,3,1,0,0,0,0,0,0.0,18.0,12.0,6.0,0.0,0,
35.0,Alvis Whitted,29.0,WR,16,2,0,0,0,0,0,0,0,0,0,0,0.0,7.0,4.0,3.0,0.0,0,
36.0,Nnamdi Asomugha,22.0,DB,15,1,0,0,0,0,0,0,0,1,0,0,0.0,28.0,20.0,8.0,0.0,0,
