Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Michael Crabtree,29.0,WR,16,16,0,0,0,0,0,0,2,1,11,0,0.0,0,0,0,,,0,
2.0,Bruce Irvin,29.0,LLB,16,16,0,0,0,0,1,6,0,0,0,0,7.0,57,47,10,9.0,25.0,0,
3.0,Khalil Mack,25.0,RDE,16,16,1,6,1,6,3,5,0,3,1,0,11.0,73,54,19,14.0,26.0,0,"PB,AP-1,AP DPoY-1"
4.0,Reggie Nelson,33.0,FS,16,16,5,74,0,40,12,0,0,1,0,0,0.0,65,50,15,0.0,1.0,0,PB
5.0,David Amerson,25.0,LCB,15,15,2,0,0,0,16,0,0,0,0,0,0.0,64,56,8,1.0,0.0,0,
6.0,Derek Carr,25.0,QB,15,15,0,0,0,0,0,0,5,0,-11,0,0.0,0,0,0,,,0,"PB,AP MVP-3,AP OPoY-6"
7.0,Sean Smith,29.0,RCB,15,15,2,27,0,27,11,0,0,0,0,0,0.0,40,33,7,1.0,0.0,0,
8.0,Amari Cooper,22.0,WR,16,14,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,PB
9.0,Malcolm Smith,27.0,RLB,15,14,1,0,0,0,3,2,0,1,1,0,0.0,103,86,17,3.0,2.0,0,
10.0,Jihad Ward,22.0,LDE,16,13,0,0,0,0,0,0,0,1,0,0,0.0,30,16,14,0.0,10.0,0,
11.0,Latavius Murray,26.0,RB,14,12,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,
12.0,Perry Riley,28.0,MLB,11,11,0,0,0,0,1,2,0,0,0,0,0.0,48,38,10,0.0,0.0,0,
13.0,Dan Williams,29.0,RDT,16,11,0,0,0,0,1,0,0,0,0,0,0.5,17,11,6,0.0,3.0,0,
14.0,Karl Joseph,23.0,SS,12,9,1,21,0,21,6,0,0,1,0,0,0.0,60,44,16,1.0,0.0,0,
15.0,Stacy McGee,26.0,LDT,9,9,0,0,0,0,0,2,0,0,0,0,2.5,17,14,3,3.0,3.0,0,
16.0,Denico Autry,26.0,LDE,16,7,0,0,0,0,2,0,0,2,0,0,2.5,29,21,8,6.0,4.0,0,
17.0,Jamize Olawale,27.0,RB,16,7,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0.0,0.0,0,
18.0,Cory James,23.0,MLB,16,5,0,0,0,0,0,1,0,0,0,0,0.0,48,36,12,3.0,0.0,0,
19.0,Menelik Watson,28.0,RT,10,5,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
20.0,Nate Allen,29.0,DB,14,4,2,5,0,4,3,0,0,0,0,0,0.0,33,24,9,1.0,0.0,0,
21.0,Justin Ellis,26.0,DT,16,4,0,0,0,0,0,0,0,0,0,0,0.0,21,15,6,1.0,0.0,0,
22.0,T.J. Carrie,26.0,DB,16,3,1,14,0,14,4,1,0,1,0,0,0.0,25,22,3,0.0,0.0,0,
23.0,D.J. Hayden,26.0,DB,11,2,0,0,0,0,6,1,0,0,0,0,0.0,37,32,5,2.0,0.0,0,
24.0,Ben Heeney,24.0,LB,4,2,0,0,0,0,0,0,0,0,0,0,0.0,15,13,2,0.0,1.0,0,
25.0,Andre Holmes,28.0,WR,16,2,0,0,0,0,0,0,0,1,0,0,0.0,9,7,2,0.0,0.0,0,
26.0,Darius Latham,22.0,DT,14,2,0,0,0,0,1,0,0,0,0,0,0.0,17,8,9,1.0,1.0,0,
27.0,Keith McGill,27.0,DB,16,2,0,0,0,0,1,0,0,0,0,0,0.0,22,16,6,1.0,0.0,0,
