Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,David Amerson,25.0,LCB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
2.0,T.J. Carrie,26.0,DB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,3,3,0,0,0,0,
3.0,Mario Edwards,22.0,DE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
4.0,Bruce Irvin,29.0,LLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
5.0,Karl Joseph,23.0,SS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
6.0,Khalil Mack,25.0,RDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,11,8,3,2,0,0,
7.0,Reggie Nelson,33.0,FS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0,0,0,
8.0,Perry Riley,28.0,MLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,
9.0,Malcolm Smith,27.0,RLB,1,1,0,0,0,0,2,0,0,0,0,0,0.0,3,3,0,1,0,0,
10.0,Sean Smith,29.0,RCB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0,0,0,
11.0,Dan Williams,29.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
12.0,Denico Autry,26.0,LDE,1,0,0,0,0,0,1,0,0,0,0,0,0.0,4,4,0,2,0,0,
13.0,Daren Bates,26.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
14.0,Justin Ellis,26.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
15.0,Andre Holmes,28.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
16.0,Cory James,23.0,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
17.0,Taiwan Jones,28.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
18.0,Darius Latham,22.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
19.0,Stacy McGee,26.0,LDT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
20.0,Brynden Trawick,27.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,1,0,0,
21.0,DeAndre Washington,23.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
,Team Totals,,,1,1,0,0,0,0,5,0,0,0,0,0,0.0,71,54,17,6,0,0,
