Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Josh Jacobs,22.0,RB,15,15,273,1065,12,61,50.2,28.0,3.9,71.0,18.2,45,33,238,7.2,0,9,46.7,29.0,2.2,15.9,73.3,5.3,306,4.3,1303,12,2,PB
2.0,Darren Waller,28.0,TE,16,15,0,0,0,0,,,,0.0,0.0,145,107,1196,11.2,9,68,62.8,38.0,6.7,74.8,73.8,8.2,107,11.2,1196,9,2,PB
3.0,Nelson Agholor,27.0,WR,16,13,0,0,0,0,,,,0.0,0.0,82,48,896,18.7,8,37,53.7,85.0,3.0,56.0,58.5,10.9,48,18.7,896,8,0,
4.0,Hunter Renfrow,25.0,WR,16,6,0,0,0,0,,,,0.0,0.0,77,56,656,11.7,2,32,57.1,53.0,3.5,41.0,72.7,8.5,56,11.7,656,2,2,
5.0,Devontae Booker,28.0,RB,16,1,93,423,3,21,45.2,43.0,4.5,26.4,5.8,21,17,84,4.9,0,2,33.3,17.0,1.1,5.3,81.0,4.0,110,4.6,507,3,1,
6.0,Henry Ruggs III,21.0,WR,13,12,9,49,0,3,66.7,12.0,5.4,3.8,0.7,43,26,452,17.4,2,13,53.5,72.0,2.0,34.8,60.5,10.5,35,14.3,501,2,2,
7.0,Jalen Richard,27.0,RB,13,0,22,123,1,7,54.5,20.0,5.6,9.5,1.7,23,19,138,7.3,0,5,43.5,19.0,1.5,10.6,82.6,6.0,41,6.4,261,1,1,
8.0,Bryan Edwards,22.0,WR,12,3,0,0,0,0,,,,0.0,0.0,15,11,193,17.5,1,9,66.7,34.0,0.9,16.1,73.3,12.9,11,17.5,193,1,0,
9.0,Zay Jones,25.0,WR,16,2,0,0,0,0,,,,0.0,0.0,20,14,154,11.0,1,6,55.0,37.0,0.9,9.6,70.0,7.7,14,11.0,154,1,0,
10.0,Derek Carr,29.0,QB,16,16,39,140,3,16,53.8,18.0,3.6,8.8,2.4,0,0,0,,0,0,,,0.0,0.0,,,39,3.6,140,3,11,
11.0,Foster Moreau,23.0,TE,16,2,0,0,0,0,,,,0.0,0.0,9,7,140,20.0,2,5,77.8,47.0,0.4,8.8,77.8,15.6,7,20.0,140,2,0,
12.0,Alec Ingold,24.0,FB,16,4,3,4,0,2,66.7,3.0,1.3,0.3,0.2,17,12,110,9.2,1,9,58.8,23.0,0.8,6.9,70.6,6.5,15,7.6,114,1,0,
13.0,Marcus Mariota,27.0,QB,1,0,9,88,1,8,100.0,26.0,9.8,88.0,9.0,0,0,0,,0,0,,,0.0,0.0,,,9,9.8,88,1,0,
14.0,Jason Witten,38.0,TE,16,7,0,0,0,0,,,,0.0,0.0,17,13,69,5.3,2,8,52.9,15.0,0.8,4.3,76.5,4.1,13,5.3,69,2,0,
15.0,Theo Riddick,29.0,RB,4,0,6,14,0,1,16.7,11.0,2.3,3.5,1.5,6,5,43,8.6,0,1,50.0,15.0,1.3,10.8,83.3,7.2,11,5.2,57,0,0,
16.0,Derek Carrier,30.0,TE,16,0,0,0,0,0,,,,0.0,0.0,1,1,14,14.0,0,1,100.0,14.0,0.1,0.9,100.0,14.0,1,14.0,14,0,0,
17.0,Nathan Peterman,26.0,QB,1,0,1,9,0,1,100.0,9.0,9.0,9.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,9.0,9,0,0,
18.0,Jeff Heath,29.0,FS,13,5,1,1,0,1,0.0,1.0,1.0,0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,1.0,1,0,0,
19.0,AJ Cole III,25.0,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,1,
20.0,Rico Gafford,24.0,DB,3,0,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,16,16,457,1916,20,121,50.5,43.0,4.2,119.8,28.6,523,369,4383,11.9,28,205,55.6,85.0,23.1,273.9,70.6,8.4,826,7.6,6299,48,22,
