Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Ray Agnew,33.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,4.0,1.0,1.0,0.0,
2.0,Devin Bush Sr.,27.0,SS,1,1,1.0,6.0,0.0,6.0,2,0,0,0,0,0,0.0,3,3.0,0.0,0.0,0.0,
3.0,Kevin Carter,27.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,0.0,
4.0,Todd Collins,30.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,
5.0,London Fletcher,25.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,5.0,3.0,0.0,0.0,
6.0,Mike Jones,31.0,LLB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,5,3.0,2.0,0.0,0.0,
7.0,Todd Lyght,31.0,LCB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,6,5.0,1.0,0.0,0.0,
8.0,Keith Lyle,28.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,5.0,0.0,0.0,0.0,
9.0,Dexter McCleon,27.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,5.0,0.0,1.0,0.0,
10.0,Kurt Warner,29.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
11.0,Grant Wistrom,24.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,4,4.0,0.0,2.0,0.0,
12.0,Jeff Zgonina,30.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,1.0,1.0,1.0,0.0,
13.0,Taje Allen,27.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
14.0,John Baker,23.0,P,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
15.0,Dre' Bly,23.0,DB,1,0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0.0,1,1.0,0.0,0.0,0.0,
16.0,D'Marco Farr,29.0,RDT,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
17.0,Az-Zahir Hakim,23.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
18.0,Tony Horne,24.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
19.0,Leonard Little,26.0,DE,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,2,2.0,0.0,1.0,0.0,
20.0,Sean Moran,27.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,4,3.0,1.0,2.0,,
,Team Totals,,,1,1,1.0,6.0,0.0,6.0,5,0,3,1,0,0,2.0,59,49.0,10.0,8.0,0.0,
