Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Isaac Bruce,32.0,WR,16,16,0,0,0,0,0.0,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
2.0,Jerametrius Butler,26.0,LCB,16,16,5,15,0,10,19.0,0,0,1,2,0,0.0,79.0,73.0,6.0,0.0,0,
3.0,Torry Holt,28.0,WR,16,16,0,0,0,0,0.0,0,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
4.0,Leonard Little,30.0,LDE,16,16,0,0,0,0,2.0,1,0,4,66,2,7.0,46.0,38.0,8.0,7.0,0,
5.0,Andy McCollum,34.0,C,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
6.0,Ryan Pickett,25.0,LDT,16,16,0,0,0,0,2.0,1,0,0,0,0,2.0,46.0,42.0,4.0,5.0,0,
7.0,Pisa Tinoisamoa,23.0,RLB,16,16,0,0,0,0,4.0,0,0,1,10,0,1.5,95.0,76.0,19.0,10.0,0,
8.0,Adam Archuleta,27.0,SS,16,14,0,0,0,0,3.0,1,0,1,93,1,2.0,89.0,76.0,13.0,4.0,0,
9.0,Marc Bulger,27.0,QB,14,14,0,0,0,0,0.0,0,5,0,0,0,0.0,,,,,0,
10.0,Marshall Faulk,31.0,RB,14,14,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
11.0,Bryce Fisher,27.0,RDE,16,14,0,0,0,0,1.0,2,0,0,0,0,8.5,48.0,37.0,11.0,7.0,0,
12.0,Tommy Polley,26.0,LLB,15,13,0,0,0,0,6.0,1,0,0,0,0,2.0,79.0,66.0,13.0,5.0,0,
13.0,Robert Thomas,24.0,MLB,14,11,0,0,0,0,1.0,0,0,0,0,0,0.0,56.0,41.0,15.0,3.0,0,
14.0,Travis Fisher,25.0,RCB,10,10,1,30,0,30,5.0,1,0,0,0,0,0.0,35.0,32.0,3.0,0.0,0,
15.0,Damione Lewis,26.0,RDT,16,10,0,0,0,0,2.0,1,0,0,0,0,5.0,43.0,31.0,12.0,6.0,0,
16.0,Aeneas Williams,36.0,FS,13,10,0,0,0,0,2.0,2,0,0,0,0,0.0,48.0,40.0,8.0,0.0,0,
17.0,Tom Nutten,33.0,LG,8,6,0,0,0,0,,0,0,1,0,0,0.0,,,,,0,
18.0,Brandon Chillar,22.0,LLB,16,5,0,0,0,0,0.0,0,0,0,0,0,0.0,39.0,33.0,6.0,6.0,0,
19.0,Rich Coady,28.0,FS,16,5,0,0,0,0,4.0,1,0,1,0,0,0.0,45.0,38.0,7.0,1.0,0,
20.0,Antuan Edwards,27.0,FS,6,5,0,0,0,0,4.0,0,0,0,0,0,0.0,30.0,24.0,6.0,0.0,0,
21.0,Joey Goodspeed,26.0,FB,16,5,0,0,0,0,0.0,0,1,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
22.0,Jimmy Kennedy,25.0,RDT,9,5,0,0,0,0,0.0,0,0,0,0,0,0.0,19.0,14.0,5.0,6.0,0,
23.0,Blaine Saipaia,26.0,RT,8,5,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
24.0,DeJuan Groce,24.0,DB,11,4,0,0,0,0,4.0,0,0,0,0,0,0.0,29.0,29.0,0.0,2.0,0,
25.0,Steven Jackson,21.0,RB,14,3,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
26.0,Chris Chandler,39.0,QB,5,2,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
27.0,Trev Faulk,23.0,LB,13,2,0,0,0,0,0.0,0,0,0,0,0,0.0,40.0,29.0,11.0,2.0,0,
28.0,Anthony Hargrove,21.0,DE,15,2,0,0,0,0,0.0,0,0,0,0,0,1.0,,,,,0,
29.0,Kevin Garrett,24.0,DB,14,1,0,0,0,0,4.0,0,0,0,0,0,0.0,21.0,16.0,5.0,2.0,0,
30.0,Arlen Harris,24.0,RB,14,1,0,0,0,0,0.0,0,1,0,0,0,0.0,5.0,4.0,1.0,0.0,0,
31.0,Brian Howard,23.0,DT,15,1,0,0,0,0,0.0,0,0,0,0,0,0.0,14.0,8.0,6.0,1.0,0,
32.0,Dwight Anderson,23.0,DB,12,0,0,0,0,0,0.0,0,0,0,0,0,0.0,16.0,13.0,3.0,1.0,0,
33.0,Kevin Curtis,26.0,WR,15,0,0,0,0,0,0.0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,
34.0,Erik Flowers,26.0,DE,9,0,0,0,0,0,0.0,0,1,0,0,0,1.0,13.0,10.0,3.0,1.0,0,
35.0,Mike Furrey,27.0,WR,8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0,
36.0,Tyoka Jackson,33.0,DT,14,0,0,0,0,0,2.0,0,0,0,0,0,4.0,33.0,30.0,3.0,8.0,0,
37.0,Kwamie Lassiter,35.0,DB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,9.0,8.0,1.0,0.0,0,
38.0,Dane Looker,28.0,WR,14,0,0,0,0,0,0.0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
39.0,Justin Lucas,28.0,DB,7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,8.0,5.0,3.0,0.0,0,
40.0,Jamie Martin,34.0,QB,1,0,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
41.0,Chris Massey,25.0,RB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.0,7.0,0.0,0.0,0,
42.0,Tod McBride,28.0,DB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
43.0,Shaun McDonald,23.0,WR,16,0,0,0,0,0,0.0,0,4,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
44.0,Tony Newson,25.0,LB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
45.0,Stephen Trejo,27.0,FB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
46.0,Drew Wahlroos,24.0,LB,6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,5.0,0.0,0.0,0,
47.0,Jeff Wilkins,32.0,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,9.0,7.0,2.0,0.0,0,
,Team Totals,,,16,16,6,45,0,30,65.0,11,27,17,172,3,34.0,1017.0,842.0,175.0,77.0,0,
