Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,1:04PM ET,boxscore,W,,1-0,,Arizona Cardinals,17.0,10.0,27.0,448.0,272.0,176.0,3.0,14.0,260.0,157.0,103.0,,6.1,2.95,-7.1
2,Sun,September 19,1:03PM ET,boxscore,L,,1-1,@,Atlanta Falcons,17.0,34.0,14.0,280.0,250.0,30.0,2.0,22.0,416.0,174.0,242.0,,-0.19,-18.03,1.33
3,Sun,September 26,1:02PM ET,boxscore,L,OT,1-2,,New Orleans Saints,25.0,28.0,25.0,403.0,325.0,78.0,1.0,27.0,462.0,316.0,146.0,,11.05,-9.53,-2.39
4,Sun,October 3,8:38PM ET,boxscore,W,,2-2,@,San Francisco 49ers,24.0,14.0,24.0,360.0,186.0,174.0,,26.0,332.0,274.0,58.0,2.0,16.57,-3.54,-3.66
5,Sun,October 10,4:15PM ET,boxscore,W,OT,3-2,@,Seattle Seahawks,33.0,27.0,21.0,441.0,317.0,124.0,3.0,20.0,391.0,204.0,187.0,,12.51,-9.08,3.55
6,Mon,October 18,9:09PM ET,boxscore,W,,4-2,,Tampa Bay Buccaneers,28.0,21.0,14.0,324.0,230.0,94.0,2.0,17.0,332.0,277.0,55.0,4.0,-1.5,14.15,-4.57
7,Sun,October 24,1:02PM ET,boxscore,L,,4-3,@,Miami Dolphins,14.0,31.0,20.0,372.0,269.0,103.0,1.0,19.0,323.0,206.0,117.0,,5.61,-15.6,-5.37
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 7,4:15PM ET,boxscore,L,,4-4,,New England Patriots,22.0,40.0,21.0,340.0,259.0,81.0,3.0,22.0,376.0,229.0,147.0,1.0,0.34,-9.69,-8.04
10,Sun,November 14,1:02PM ET,boxscore,W,,5-4,,Seattle Seahawks,23.0,12.0,24.0,462.0,260.0,202.0,2.0,20.0,372.0,172.0,200.0,2.0,7.68,8.54,-5.96
11,Sun,November 21,1:02PM ET,boxscore,L,,5-5,@,Buffalo Bills,17.0,37.0,19.0,270.0,235.0,35.0,4.0,16.0,294.0,175.0,119.0,1.0,-10.98,4.17,-13.72
12,Mon,November 29,9:09PM ET,boxscore,L,,5-6,@,Green Bay Packers,17.0,45.0,25.0,452.0,405.0,47.0,3.0,22.0,446.0,215.0,231.0,,-4.68,-23.73,1.18
13,Sun,December 5,1:02PM ET,boxscore,W,,6-6,,San Francisco 49ers,16.0,6.0,19.0,350.0,214.0,136.0,2.0,9.0,160.0,97.0,63.0,1.0,-0.05,14.14,-2.4
14,Sun,December 12,4:15PM ET,boxscore,L,,6-7,@,Carolina Panthers,7.0,20.0,11.0,292.0,226.0,66.0,7.0,18.0,308.0,189.0,119.0,2.0,-18.15,4.65,-2.04
15,Sun,December 19,4:05PM ET,boxscore,L,,6-8,@,Arizona Cardinals,7.0,31.0,12.0,185.0,163.0,22.0,2.0,26.0,402.0,271.0,131.0,1.0,-17.02,-6.9,-4.53
16,Mon,December 27,9:09PM ET,boxscore,W,,7-8,,Philadelphia Eagles,20.0,7.0,24.0,419.0,210.0,209.0,1.0,11.0,155.0,74.0,81.0,1.0,10.75,12.08,-9.29
17,Sun,January 2,1:02PM ET,boxscore,W,OT,8-8,,New York Jets,32.0,29.0,21.0,479.0,432.0,47.0,3.0,22.0,324.0,144.0,180.0,,4.43,6.86,-6.05
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 8,4:37PM ET,boxscore,W,,9-8,@,Seattle Seahawks,27.0,20.0,22.0,396.0,294.0,102.0,1.0,24.0,413.0,332.0,81.0,1.0,16.39,-6.17,-2.75
Division,Sat,January 15,8:22PM ET,boxscore,L,,9-9,@,Atlanta Falcons,17.0,47.0,19.0,339.0,262.0,77.0,2.0,18.0,397.0,70.0,327.0,1.0,5.37,-20.92,-11.66
