Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jacob Bell,29.0,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
2.0,Sam Bradford,23.0,QB,16,16,0,0,0,0,0,0,7,3,-2,0,0.0,0,0,0,0,0,0,AP ORoY-1
3.0,Gary Gibson,28.0,RDT,16,16,0,0,0,0,2,0,0,0,0,0,0.0,18,14,4,4,3,0,
4.0,Adam Goldberg,30.0,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
5.0,James Hall,33.0,RDE,16,16,0,0,0,0,2,6,0,0,0,0,10.5,55,49,6,8,12,0,
6.0,Steven Jackson,27.0,RB,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,PB
7.0,James Laurinaitis,24.0,MLB,16,16,1,4,0,4,5,0,0,1,0,0,3.0,114,98,16,13,7,0,
8.0,Chris Long,25.0,LDE,16,16,0,0,0,0,2,3,0,1,0,0,8.5,29,27,2,8,20,0,
9.0,Fred Robbins,33.0,LDT,16,16,0,0,0,0,6,1,0,2,1,0,6.0,28,26,2,10,11,0,
10.0,O.J. Atogwe,29.0,FS,16,15,3,53,0,34,9,2,0,0,0,0,2.0,73,64,9,5,6,0,
11.0,Bradley Fletcher,24.0,RCB,16,15,4,41,0,28,11,0,0,1,43,0,0.0,75,65,10,3,0,0,
12.0,Ron Bartell,28.0,LCB,15,13,0,0,0,0,10,1,0,0,0,0,0.0,61,55,6,2,0,0,
13.0,Craig Dahl,25.0,SS,15,13,2,23,0,23,6,1,0,1,0,0,1.0,98,87,11,6,2,0,
14.0,Na'il Diggs,32.0,LLB,12,12,0,0,0,0,2,1,0,1,3,0,0.0,36,28,8,5,1,0,
15.0,Billy Bajema,28.0,TE,13,8,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
16.0,Larry Grant,25.0,RLB,16,8,0,0,0,0,1,2,0,1,0,0,2.0,24,21,3,2,3,0,
17.0,Danny Amendola,25.0,WR,16,6,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
18.0,Chris Chamberlain,25.0,RLB,11,6,0,0,0,0,2,1,0,0,0,0,0.0,34,30,4,2,0,0,
19.0,Daniel Fells,27.0,TE,16,6,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
20.0,David Vobora,24.0,LLB,14,5,0,0,0,0,0,0,0,0,0,0,2.0,37,29,8,2,2,0,
21.0,James Butler,28.0,DB,14,4,2,13,0,16,3,1,0,1,49,0,0.0,20,18,2,1,0,0,
22.0,Kevin Dockery,26.0,DB,10,3,1,8,0,8,4,0,0,0,0,0,0.0,22,17,5,1,0,0,
23.0,Michael Hoomanawanui,22.0,TE,8,3,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
24.0,Mardy Gilyard,24.0,WR,11,2,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0,0,0,
25.0,Brit Miller,24.0,LB,9,2,0,0,0,0,0,0,0,0,0,0,0.0,9,8,1,0,0,0,
26.0,Quincy Butler,27.0,DB,6,1,0,0,0,0,4,0,0,0,0,0,0.0,12,9,3,1,1,0,
27.0,Bryan Kehl,26.0,LB,14,1,0,0,0,0,0,0,0,0,0,0,0.0,35,28,7,4,2,0,
28.0,C.J. Ah You,28.0,DE,16,0,0,0,0,0,2,1,0,0,0,0,4.0,18,12,6,4,9,0,
29.0,Josh Brown,31.0,K,16,0,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0,0,0,
30.0,Jermelle Cudjo,24.0,DT,10,0,0,0,0,0,2,0,0,0,0,0,0.5,13,9,4,0,3,0,
31.0,Dominique Curry,23.0,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
32.0,Kenneth Darby,28.0,RB,14,0,0,0,0,0,0,0,0,0,0,0,0.0,9,8,1,0,0,0,
33.0,Josh Hull,23.0,LB,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1,0,0,0,0,
34.0,Marquis Johnson,22.0,FB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
35.0,Donnie Jones,30.0,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
36.0,Justin King,23.0,DB,8,0,0,0,0,0,2,0,0,0,0,0,0.0,19,18,1,3,2,0,
37.0,Michael Lewis,30.0,DB,2,0,0,0,0,0,0,0,0,0,0,0,1.0,3,3,0,1,1,0,
38.0,Chris Massey,31.0,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
39.0,Jerome Murphy,23.0,DB,14,0,1,19,0,19,3,1,0,1,0,0,0.0,30,25,5,2,0,0,
40.0,Fendi Onobun,24.0,TE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
41.0,Clifton Ryan,26.0,DT,1,0,0,0,0,0,0,0,1,1,18,0,0.0,0,0,0,0,0,0,
42.0,Darell Scott,24.0,DT,9,0,0,0,0,0,0,0,0,0,0,0,0.0,18,14,4,0,0,0,
43.0,George Selvie,23.0,DE,16,0,0,0,0,0,0,0,0,0,0,0,1.5,21,15,6,5,5,0,
44.0,Eugene Sims,24.0,DE,9,0,0,0,0,0,1,0,0,1,0,0,0.0,8,6,2,1,1,1,
45.0,Darian Stewart,22.0,DB,13,0,0,0,0,0,2,0,0,1,0,0,1.0,17,16,1,4,5,0,
46.0,Keith Toston,23.0,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
,Team Totals,,,16,16,14,161,0,34,81,22,14,20,112,0,43.0,957,819,138,97,96,1,
