Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Steven Jackson,29.0,RB,16,16,258,1045,4,49,45.3,46.0,4.1,65.3,16.1,53,38,321,8.4,0,13,49.1,22.0,2.4,20.1,71.7,6.1,296,4.6,1366,4,0,
2.0,Chris Givens,23.0,WR,15,12,3,12,0,1,33.3,14.0,4.0,0.8,0.2,80,42,698,16.6,3,25,41.3,65.0,2.8,46.5,52.5,8.7,45,15.8,710,3,0,
3.0,Brandon Gibson,25.0,WR,16,13,0,0,0,0,,,,0.0,0.0,82,51,691,13.5,5,43,59.8,34.0,3.2,43.2,62.2,8.4,51,13.5,691,5,0,
4.0,Danny Amendola,27.0,WR,11,8,2,8,0,0,50.0,6.0,4.0,0.7,0.2,101,63,666,10.6,3,39,50.5,56.0,5.7,60.5,62.4,6.6,65,10.4,674,3,3,
5.0,Daryl Richardson,22.0,RB,16,0,98,475,0,22,42.9,53.0,4.8,29.7,6.1,36,24,163,6.8,0,7,22.2,26.0,1.5,10.2,66.7,4.5,122,5.2,638,0,3,
6.0,Lance Kendricks,24.0,TE,16,14,0,0,0,0,,,,0.0,0.0,64,42,519,12.4,4,24,48.4,80.0,2.6,32.4,65.6,8.1,42,12.4,519,4,1,
7.0,Austin Pettis,24.0,WR,14,2,0,0,0,0,,,,0.0,0.0,48,30,261,8.7,4,16,52.1,36.0,2.1,18.6,62.5,5.4,30,8.7,261,4,0,
8.0,Brian Quick,23.0,WR,15,1,0,0,0,0,,,,0.0,0.0,27,11,156,14.2,2,6,33.3,39.0,0.7,10.4,40.7,5.8,11,14.2,156,2,0,
9.0,Steve Smith,27.0,WR,9,2,0,0,0,0,,,,0.0,0.0,25,14,131,9.4,0,7,52.0,25.0,1.6,14.6,56.0,5.2,14,9.4,131,0,0,
10.0,Sam Bradford,25.0,QB,16,16,36,124,1,8,33.3,21.0,3.4,7.8,2.3,0,0,0,,0,0,,,0.0,0.0,,,36,3.4,124,1,7,
11.0,Matthew Mulligan,27.0,TE,16,9,0,0,0,0,,,,0.0,0.0,12,8,84,10.5,1,6,66.7,18.0,0.5,5.3,66.7,7.0,8,10.5,84,1,0,
12.0,Isaiah Pead,23.0,RB,15,1,10,54,0,2,60.0,19.0,5.4,3.6,0.7,4,3,16,5.3,0,0,50.0,9.0,0.2,1.1,75.0,4.0,13,5.4,70,0,2,
13.0,Mike McNeill,24.0,TE,14,1,0,0,0,0,,,,0.0,0.0,7,4,31,7.8,0,1,28.6,10.0,0.3,2.2,57.1,4.4,4,7.8,31,0,0,
14.0,Cory Harkey,22.0,TE,5,0,0,0,0,0,,,,0.0,0.0,2,1,21,21.0,0,1,50.0,21.0,0.2,4.2,50.0,10.5,1,21.0,21,0,0,
15.0,Rodney McLeod,22.0,DB,16,0,0,0,0,0,,,,0.0,0.0,1,1,21,21.0,0,1,100.0,21.0,0.1,1.3,100.0,21.0,1,21.0,21,0,0,
16.0,Kellen Clemens,29.0,QB,2,0,2,5,0,1,50.0,5.0,2.5,2.5,1.0,0,0,0,,0,0,,,0.0,0.0,,,2,2.5,5,0,1,
17.0,Robert Turner,28.0,C/LG,16,16,0,0,0,0,,,,0.0,0.0,1,0,4,,0,0,0.0,4.0,0.0,0.3,0.0,4.0,0,,4,0,0,
18.0,Brit Miller,26.0,LB,9,1,0,0,0,0,,,,0.0,0.0,4,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,1,
19.0,Johnny Hekker,22.0,P,16,0,1,-9,0,0,0.0,-9.0,-9.0,-0.6,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,-9.0,-9,0,2,
,Team Totals,,,16,16,410,1714,5,83,43.9,53.0,4.2,107.1,25.6,547,332,3783,11.4,22,189,47.3,80.0,20.8,236.4,60.7,6.9,742,7.4,5497,27,20,
