Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Aaron Donald,30.0,LDT,4,4,0,0,0,0,1,0,0,0,0,0,3.5,13,6,7,4,9,0,
2.0,Greg Gaines,25.0,RDT,4,4,0,0,0,0,2,0,0,0,0,0,0.5,12,3,9,1,1,0,
3.0,Von Miller,32.0,RDE,4,4,0,0,0,0,1,1,0,1,0,0,4.0,14,12,2,6,6,0,
4.0,Jalen Ramsey,27.0,RCB,4,4,0,0,0,0,4,0,0,0,0,0,0.0,13,11,2,0,0,0,
5.0,A'Shawn Robinson,26.0,LDE,4,4,0,0,0,0,0,0,0,0,0,0,1.0,22,12,10,1,1,0,
6.0,Nick Scott,26.0,DB,4,4,1,0,0,0,3,0,0,0,0,0,0.0,14,11,3,0,0,0,
7.0,Darious Williams,28.0,LCB,4,4,0,0,0,0,3,0,0,0,0,0,0.0,24,13,11,1,0,0,
8.0,Leonard Floyd,29.0,RLB,3,3,0,0,0,0,0,0,0,0,0,0,2.0,12,8,4,2,2,0,
9.0,Troy Reeder,27.0,LLB,4,3,0,0,0,0,1,0,0,0,0,0,0.0,16,9,7,0,1,0,
10.0,Terrell Burgess,23.0,S,2,2,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
11.0,Rob Havenstein,29.0,RT,2,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
12.0,Travin Howard,25.0,LB,3,2,1,6,0,6,3,0,0,0,0,0,0.0,10,4,6,1,0,0,
13.0,Eric Weddle,36.0,DB,3,2,0,0,0,0,0,0,0,0,0,0,0.0,18,10,8,1,0,0,
14.0,Cam Akers,22.0,RB,1,1,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0,0,0,
15.0,Brian Allen,26.0,C,1,1,0,0,0,0,0,0,1,0,3,0,0.0,0,0,0,0,0,0,
16.0,Ernest Jones,22.0,MLB,2,1,0,0,0,0,1,0,0,0,0,0,1.0,9,6,3,2,3,0,
17.0,Cooper Kupp,28.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,SB MVP
18.0,David Long,23.0,DB,3,1,1,3,1,3,1,0,0,0,0,0,0.0,12,11,1,1,0,0,
19.0,Antoine Brooks Jr.,24.0,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
20.0,Marquise Copeland,24.0,DT,1,0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,
21.0,Donte Deayon,27.0,DB,1,0,0,0,0,0,1,0,0,0,0,0,0.0,2,2,0,0,0,0,
22.0,Jake Funk,23.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
23.0,Grant Haley,25.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
24.0,Michael Hoecht,24.0,DL,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
25.0,Justin Hollins,25.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
26.0,Buddy Howell,25.0,RB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
27.0,Ogbonnia Okoronkwo,26.0,LB,3,0,0,0,0,0,1,0,0,0,0,0,0.0,5,4,1,0,1,0,
28.0,Taylor Rapp,24.0,FS,1,0,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,0,0,0,
29.0,Christian Rozeboom,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
30.0,Ben Skowronek,24.0,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
,Team Totals,,,4,4,4,9,1,6,23,1,4,1,3,0,12.0,230,145,85,20,24,0,
