Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Kyren Williams,24.0,RB,2,2,35,182,0,7,45.7,30.0,5.2,91.0,17.5,5,4,15,3.8,1,1,20.0,6.0,2.0,7.5,80.0,3.0,39,5.1,197,1,1,
2.0,Puka Nacua,23.0,WR,2,2,1,7,0,0,0.0,7.0,7.0,3.5,0.5,23,11,141,12.8,0,6,39.1,37.0,5.5,70.5,47.8,6.1,12,12.3,148,0,0,
3.0,Tyler Higbee,31.0,TE,2,2,0,0,0,0,,,,0.0,0.0,15,12,112,9.3,1,5,60.0,23.0,6.0,56.0,80.0,7.5,12,9.3,112,1,0,
4.0,Demarcus Robinson,30.0,WR,2,2,0,0,0,0,,,,0.0,0.0,9,4,97,24.3,0,4,44.4,48.0,2.0,48.5,44.4,10.8,4,24.3,97,0,0,
5.0,Cooper Kupp,31.0,WR,2,1,0,0,0,0,,,,0.0,0.0,8,6,90,15.0,0,4,62.5,30.0,3.0,45.0,75.0,11.3,6,15.0,90,0,0,
6.0,Colby Parkinson,25.0,TE,2,1,0,0,0,0,,,,0.0,0.0,4,4,22,5.5,1,1,75.0,7.0,2.0,11.0,100.0,5.5,4,5.5,22,1,0,
7.0,Tutu Atwell,25.0,WR,1,0,0,0,0,0,,,,0.0,0.0,1,1,18,18.0,0,1,100.0,18.0,1.0,18.0,100.0,18.0,1,18.0,18,0,0,
8.0,Davis Allen,23.0,TE,1,0,0,0,0,0,,,,0.0,0.0,2,1,13,13.0,1,1,50.0,13.0,1.0,13.0,50.0,6.5,1,13.0,13,1,0,
9.0,Hunter Long,26.0,TE,1,0,0,0,0,0,,,,0.0,0.0,2,1,13,13.0,0,1,50.0,13.0,1.0,13.0,50.0,6.5,1,13.0,13,0,0,
10.0,Jordan Whittington,24.0,WR,1,0,0,0,0,0,,,,0.0,0.0,1,1,12,12.0,0,1,100.0,12.0,1.0,12.0,100.0,12.0,1,12.0,12,0,0,
11.0,Ronnie Rivers,25.0,RB,1,0,3,8,0,0,33.3,5.0,2.7,8.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,2.7,8,0,0,
12.0,Matthew Stafford,36.0,QB,2,2,4,4,0,0,0.0,5.0,1.0,2.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,4,1.0,4,0,2,
,Team Totals,,,2,2,43,201,0,7,39.5,30.0,4.7,100.5,21.5,70,45,533,11.8,4,25,50.0,48.0,22.5,266.5,64.3,7.6,88,8.3,734,4,3,
