Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Sam Adams,28.0,LDT,2,2,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,2,0.0,2.0,0.0,0.0,
2.0,Peter Boulware,27.0,LLB/RDE,2,2,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1.0,5,3.0,2.0,0.0,0.0,
3.0,Rob Burnett,34.0,LDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,7,3.0,4.0,1.0,0.0,
4.0,Corey Harris,32.0,SS,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,10.0,0.0,0.0,0.0,
5.0,Brad Jackson,26.0,LLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,3.0,2.0,0.0,0.0,
6.0,Ray Lewis,26.0,MLB,2,2,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0.0,17,10.0,7.0,0.0,0.0,
7.0,Chris McAlister,24.0,RCB,2,2,1.0,18.0,0.0,18.0,3,0,0,0,0,0,0.0,7,5.0,2.0,0.0,0.0,
8.0,Jamie Sharper,27.0,RLB,2,2,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1.0,16,15.0,1.0,4.0,0.0,
9.0,Tony Siragusa,34.0,RDT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,0.0,
10.0,Duane Starks,27.0,LCB,2,2,1.0,26.0,0.0,26.0,1,0,0,0,0,0,0.0,11,9.0,2.0,0.0,0.0,
11.0,Rod Woodson,36.0,FS,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,12,8.0,4.0,0.0,0.0,
12.0,Terry Allen,33.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
13.0,Obafemi Ayanbadejo,26.0,FB,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
14.0,Gary Baxter,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
15.0,Kelly Gregg,25.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,4,3.0,1.0,1.0,,
16.0,Dale Hellestrae,39.0,LS,2,0,,,,,0,0,2,0,0,0,0.0,1,1.0,0.0,0.0,,
17.0,Carnell Lake,34.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,5,3.0,2.0,0.0,,
18.0,Jermaine Lewis,27.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
19.0,Anthony Mitchell,27.0,DB,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,5,3.0,2.0,1.0,0.0,
20.0,Alvin Porter,24.0,DB,2,0,,,,,0,1,0,0,0,0,0.0,4,3.0,1.0,0.0,,
21.0,Kyle Richardson,28.0,P,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
22.0,Adalius Thomas,24.0,DE,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,4,1.0,3.0,0.0,0.0,
23.0,Larry Webster,32.0,DT,2,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,6,5.0,1.0,3.0,0.0,
,Team Totals,,,2,2,2.0,44.0,0.0,26.0,8,6,4,2,0,0,5.0,130,93.0,37.0,10.0,0.0,
