Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Kelly Gregg,29.0,RDT,16,16,0,0,0,0,2.0,0,0,0,0,0,2.5,61.0,36.0,25.0,3.0,0,
2.0,Todd Heap,25.0,TE,16,16,0,0,0,0,0.0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
3.0,Ma'ake Kemoeatu,26.0,LDT,16,16,0,0,0,0,0.0,0,0,1,0,0,1.0,40.0,30.0,10.0,3.0,0,
4.0,Derrick Mason,31.0,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
5.0,Jonathan Ogden,31.0,LT,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
6.0,Samari Rolle,29.0,RCB,16,16,1,11,0,11,11.0,2,0,0,0,0,0.0,41.0,39.0,2.0,1.0,0,
7.0,Terrell Suggs,23.0,RDE,16,16,2,38,0,38,5.0,4,0,1,0,0,8.0,69.0,46.0,23.0,6.0,0,
8.0,Adalius Thomas,28.0,LLB,16,16,2,48,1,28,5.0,4,0,4,44,2,9.0,86.0,71.0,15.0,8.0,0,
9.0,Jamal Lewis,26.0,RB,15,15,0,0,0,0,0.0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
10.0,Tommy Polley,27.0,MLB/RLB,16,15,0,0,0,0,3.0,0,0,1,2,0,4.0,97.0,73.0,24.0,5.0,0,
11.0,Chris McAlister,28.0,LCB,14,13,1,0,0,0,14.0,1,0,0,0,0,0.0,49.0,47.0,2.0,1.0,0,
12.0,Jarret Johnson,24.0,LDE,16,12,0,0,0,0,3.0,1,0,0,0,0,1.5,38.0,26.0,12.0,6.0,0,
13.0,Will Demps,26.0,FS,11,11,0,0,0,0,2.0,0,0,2,22,0,0.0,52.0,48.0,4.0,0.0,0,
14.0,Mark Clayton,23.0,WR,14,10,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
15.0,Ed Reed,27.0,SS,10,10,1,23,0,23,9.0,0,0,0,0,0,0.0,37.0,33.0,4.0,0.0,0,
16.0,Bart Scott,25.0,RLB,16,10,0,0,0,0,1.0,2,0,2,11,0,4.0,94.0,64.0,30.0,8.0,0,
17.0,Kyle Boller,24.0,QB,9,9,0,0,0,0,0.0,0,8,4,0,0,0.0,0.0,0.0,0.0,0.0,0,
18.0,Anthony Weaver,25.0,LDE,10,8,0,0,0,0,0.0,0,0,1,0,0,2.0,33.0,28.0,5.0,8.0,0,
19.0,Anthony Wright,29.0,QB,9,7,0,0,0,0,0.0,0,5,2,-8,0,0.0,0.0,0.0,0.0,0.0,0,
20.0,Ray Lewis,30.0,MLB,6,6,1,0,0,0,2.0,0,0,1,0,0,1.0,46.0,38.0,8.0,1.0,0,
21.0,Ovie Mughelli,25.0,FB,13,5,0,0,0,0,0.0,0,1,0,0,0,0.0,10.0,8.0,2.0,0.0,0,
22.0,Darnell Dinkins,28.0,TE,16,4,0,0,0,0,0.0,0,0,1,0,0,0.0,10.0,9.0,1.0,0.0,0,
23.0,Justin Green,23.0,FB,12,4,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
24.0,Deion Sanders,38.0,DB,16,4,2,57,0,33,5.0,0,1,0,0,0,0.0,30.0,27.0,3.0,1.0,0,
25.0,Daniel Wilcox,28.0,TE,13,3,0,0,0,0,0.0,0,0,1,0,0,0.0,14.0,12.0,2.0,0.0,0,
26.0,Chad Williams,26.0,DB,16,3,1,14,0,14,4.0,2,0,0,0,0,1.5,48.0,43.0,5.0,4.0,0,
27.0,Dale Carter,36.0,DB,15,2,0,0,0,0,1.0,1,0,0,0,0,0.0,26.0,23.0,3.0,0.0,0,
28.0,Dwan Edwards,24.0,DE,12,1,0,0,0,0,0.0,1,0,0,0,0,0.0,24.0,17.0,7.0,0.0,0,
29.0,Aubrayo Franklin,25.0,DT,15,1,0,0,0,0,1.0,0,0,0,0,0,1.0,20.0,18.0,2.0,1.0,0,
30.0,Clarence Moore,23.0,WR,4,1,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
31.0,Chester Taylor,26.0,RB,15,1,0,0,0,0,0.0,0,3,0,0,0,0.0,9.0,9.0,0.0,0.0,0,
32.0,Peter Boulware,31.0,LB,15,0,0,0,0,0,1.0,0,0,0,0,0,2.5,9.0,5.0,4.0,2.0,0,
33.0,Devard Darling,23.0,WR,10,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
34.0,Roderick Green,23.0,LB,16,0,0,0,0,0,0.0,0,0,1,0,0,2.0,11.0,7.0,4.0,2.0,0,
35.0,Dennis Haley,23.0,LB,4,0,0,0,0,0,1.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
36.0,Matt Katula,23.0,LS,16,0,0,0,0,0,0.0,0,1,0,-10,0,0.0,8.0,7.0,1.0,0.0,0,
37.0,Jim Nelson,30.0,LB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
38.0,Zach Norton,24.0,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
39.0,Evan Oglesby,24.0,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
40.0,Mike Smith,24.0,LB,6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
41.0,Musa Smith,23.0,RB,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
42.0,Matt Stover,37.0,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
43.0,Adam Terry,23.0,T,7,0,0,0,0,0,,0,0,1,0,0,0.0,,,,,0,
44.0,B.J. Ward,24.0,DB,15,0,0,0,0,0,0.0,1,0,1,11,0,0.0,15.0,11.0,4.0,1.0,0,
45.0,Zac Woodfin,22.0,LB,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
46.0,Dave Zastudil,27.0,P,16,0,0,0,0,0,0.0,0,1,1,-2,0,0.0,1.0,1.0,0.0,0.0,0,
,Team Totals,,,16,16,11,191,1,38,70.0,19,28,28,70,2,40.0,1001.0,799.0,202.0,61.0,0,
