Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jason Brown,24.0,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
2.0,Kelly Gregg,31.0,NT,16,16,0,0,0,0,3,0,0,1,4,0,3.0,84.0,56.0,28.0,8.0,5.0,0,
3.0,Jarret Johnson,26.0,LOLB,16,16,0,0,0,0,2,2,0,0,0,0,2.0,58.0,42.0,16.0,8.0,9.0,0,
4.0,Dawan Landry,25.0,SS,16,16,0,0,0,0,6,0,0,0,0,0,1.0,83.0,68.0,15.0,3.0,2.0,0,
5.0,Derrick Mason,33.0,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
6.0,Haloti Ngata,23.0,RDE,16,16,0,0,0,0,1,1,0,0,0,0,3.0,63.0,44.0,19.0,6.0,10.0,0,
7.0,Ed Reed,29.0,FS,16,16,7,130,0,32,13,0,2,1,6,0,0.0,39.0,29.0,10.0,3.0,0.0,0,"PB,AP-1"
8.0,Bart Scott,27.0,RILB,16,16,0,0,0,0,5,0,0,0,0,0,1.0,93.0,62.0,31.0,8.0,7.0,0,
9.0,Terrell Suggs,25.0,ROLB,16,16,0,0,0,0,6,1,0,0,0,0,5.0,78.0,51.0,27.0,13.0,15.0,0,
10.0,Mike Flynn,33.0,C,15,15,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
11.0,Willis McGahee,26.0,RB,15,15,0,0,0,0,0,0,4,1,-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0,PB
12.0,Ray Lewis,32.0,LILB,14,14,2,35,1,35,10,2,0,1,0,0,2.0,121.0,83.0,38.0,1.0,2.0,0,PB
13.0,Dwan Edwards,26.0,LDE,16,13,1,1,0,1,2,0,0,0,0,0,1.0,41.0,30.0,11.0,2.0,3.0,0,
14.0,Corey Ivy,30.0,RCB/LCB,16,13,1,22,0,22,12,1,0,1,0,0,3.0,57.0,51.0,6.0,4.0,4.0,0,
15.0,Le'Ron McClain,23.0,FB,16,11,0,0,0,0,0,0,1,1,0,0,0.0,2.0,2.0,0.0,0.0,0.0,0,
16.0,Quinn Sypniewski,25.0,TE,15,9,0,0,0,0,0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,
17.0,Kyle Boller,26.0,QB,12,8,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
18.0,Chris McAlister,30.0,LCB,8,8,1,0,0,0,9,0,0,0,0,0,0.0,19.0,17.0,2.0,0.0,0.0,0,
19.0,Steve McNair,34.0,QB,6,6,0,0,0,0,0,0,8,0,-3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
20.0,Chris Chester,24.0,RG,16,5,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,
21.0,Samari Rolle,31.0,RCB,6,5,1,0,0,0,4,0,0,0,0,0,0.0,22.0,21.0,1.0,1.0,0.0,0,
22.0,Derrick Martin,22.0,DB,16,3,2,3,0,3,7,0,0,1,0,0,0.0,40.0,32.0,8.0,0.0,0.0,0,
23.0,Willie Gaston,25.0,DB,4,2,0,0,0,0,1,0,0,0,0,0,0.0,8.0,8.0,0.0,0.0,0.0,0,
24.0,Nick Greisen,28.0,LB,14,2,0,0,0,0,0,0,0,1,0,0,0.0,30.0,24.0,6.0,4.0,0.0,0,
25.0,Trevor Pryce,32.0,DE,5,2,0,0,0,0,1,0,0,0,0,0,2.0,15.0,9.0,6.0,5.0,2.0,0,
26.0,Troy Smith,23.0,QB,4,2,0,0,0,0,0,0,3,1,-3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
27.0,Daniel Wilcox,30.0,TE,5,2,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0.0,0,
28.0,Justin Bannan,28.0,DT,15,1,0,0,0,0,0,1,0,0,0,0,2.0,30.0,21.0,9.0,5.0,1.0,0,
29.0,Devard Darling,25.0,WR,16,1,0,0,0,0,0,0,0,1,0,0,0.0,2.0,2.0,0.0,0.0,0.0,0,
30.0,David Pittman,24.0,DB,7,1,2,21,0,29,3,0,1,0,0,0,0.0,10.0,9.0,1.0,0.0,0.0,0,
31.0,Musa Smith,25.0,RB,16,1,0,0,0,0,0,0,1,0,0,0,0.0,4.0,2.0,2.0,0.0,0.0,0,
32.0,Mike Anderson,34.0,RB,8,0,0,0,0,0,0,0,2,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,0,
33.0,Antwan Barnes,23.0,LB,14,0,0,0,0,0,0,1,0,0,0,0,2.0,10.0,10.0,0.0,3.0,6.0,0,
34.0,Prescott Burgess,23.0,LB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0.0,0,
35.0,Yamon Figurs,24.0,WR,14,0,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,
36.0,Amon Gordon,26.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0.0,0,
37.0,Justin Green,25.0,FB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,13.0,12.0,1.0,0.0,0.0,0,
38.0,Dennis Haley,25.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,
39.0,Edgar Jones,23.0,DE,4,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,2.0,1.0,0.0,1.0,0,
40.0,Matt Katula,25.0,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0.0,0,
41.0,Sam Koch,25.0,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0.0,0,
42.0,Robert McCune,28.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0.0,0,
43.0,Ronnie Prude,25.0,DB,15,0,0,0,0,0,3,0,0,0,0,0,0.0,13.0,12.0,1.0,1.0,0.0,0,
44.0,Cory Ross,25.0,RB,6,0,0,0,0,0,0,0,2,1,0,0,0.0,,,,,,0,
45.0,Gerome Sapp,26.0,DB,9,0,0,0,0,0,1,0,0,0,0,0,2.0,16.0,15.0,1.0,3.0,3.0,0,
46.0,Gary Stills,33.0,DE,16,0,0,0,0,0,0,1,0,0,0,0,1.0,15.0,15.0,0.0,1.0,1.0,0,
47.0,Matt Willis,23.0,WR,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,
48.0,Jamaine Winborne,27.0,DB,16,0,0,0,0,0,3,0,0,0,0,0,0.0,18.0,14.0,4.0,0.0,0.0,0,
,Team Totals,,,16,16,17,212,1,35,92,10,35,15,-6,0,31.0,1013.0,765.0,248.0,79.0,71.0,0,
