Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Dannell Ellerbe,27.0,RILB,4,4,1,2,0,2,2,0,0,0,0,0,0.0,32,25,7,2.0,2.0,0,
2.0,Corey Graham,27.0,LCB,4,4,2,39,1,39,7,0,0,0,0,0,0.5,32,20,12,0.0,2.0,0,
3.0,Ma'ake Kemoeatu,33.0,NT,4,4,0,0,0,0,0,0,0,0,0,0,0.0,10,5,5,0.0,0.0,0,
4.0,Ray Lewis,37.0,RILB,4,4,0,0,0,0,1,0,0,0,0,0,0.0,51,29,22,2.0,0.0,0,
5.0,Haloti Ngata,28.0,LDE,4,4,0,0,0,0,1,0,0,0,0,0,0.0,13,10,3,0.0,5.0,0,
6.0,Bernard Pollard,28.0,SS,4,4,0,0,0,0,4,1,0,0,0,0,0.0,17,11,6,0.0,0.0,0,
7.0,Ed Reed,34.0,FS,4,4,1,6,0,6,3,0,0,0,0,0,0.0,15,14,1,0.0,0.0,0,
8.0,Terrell Suggs,30.0,ROLB,4,4,0,0,0,0,1,1,0,0,0,0,2.0,21,13,8,1.0,4.0,0,
9.0,Cary Williams,28.0,RCB,4,4,2,41,0,41,6,0,0,0,0,0,0.0,27,21,6,0.0,0.0,0,
10.0,Chykie Brown,26.0,DB,3,2,0,0,0,0,2,0,0,0,0,0,0.0,10,7,3,0.0,0.0,0,
11.0,Arthur Jones,26.0,RDE,4,2,0,0,0,0,0,0,0,2,0,0,1.0,9,5,4,1.0,2.0,0,
12.0,Paul Kruger,26.0,LB,4,2,0,0,0,0,1,1,0,1,0,0,4.5,14,9,5,3.0,9.0,0,
13.0,Ray Rice,25.0,RB,2,2,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,,,0,
14.0,Courtney Upshaw,23.0,ROLB,3,2,0,0,0,0,0,1,0,0,0,0,0.0,9,7,2,1.0,0.0,0,
15.0,Joe Flacco,27.0,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,SB MVP
16.0,Jacoby Jones,28.0,WR,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,,,0,
17.0,Anthony Allen,24.0,RB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
18.0,Brendon Ayanbadejo,36.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
19.0,Josh Bynes,23.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
20.0,Terrence Cody,24.0,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,0.0,0,
21.0,Sean Considine,30.0,DB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0.0,0.0,0,
22.0,James Ihedigbo,29.0,DB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
23.0,Sam Koch,30.0,P,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
24.0,Vonta Leach,31.0,FB,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
25.0,Albert McClellan,26.0,LOLB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
26.0,Pernell McPhee,24.0,RDE,2,0,0,0,0,0,0,1,0,1,0,0,1.0,4,2,2,0.0,0.0,0,
27.0,Bernard Pierce,21.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,,,0,
28.0,David Reed,25.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
29.0,Jimmy Smith,24.0,DB,3,0,0,0,0,0,2,0,0,0,0,0,0.0,4,4,0,0.0,0.0,0,
30.0,DeAngelo Tyson,23.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0.0,0.0,0,
,Team Totals,,,4,4,6,88,1,41,30,5,6,5,0,0,9.0,295,202,93,10.0,24.0,0,
