Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Mike Wallace,30.0,WR,16,16,5,31,0,2,60.0,13.0,6.2,1.9,0.3,116,72,1017,14.1,4,43,49.1,95.0,4.5,63.6,62.1,8.8,77,13.6,1048,4,1,
2.0,Terrance West,25.0,RB,16,13,193,774,5,38,41.5,41.0,4.0,48.4,12.1,45,34,236,6.9,1,11,53.3,17.0,2.1,14.8,75.6,5.2,227,4.4,1010,6,2,
3.0,Steve Smith Sr.,37.0,WR,14,14,0,0,0,0,,,,0.0,0.0,101,70,799,11.4,5,39,55.4,52.0,5.0,57.1,69.3,7.9,70,11.4,799,5,0,
4.0,Dennis Pitta,31.0,TE,16,12,0,0,0,0,,,,0.0,0.0,121,86,729,8.5,2,37,47.9,30.0,5.4,45.6,71.1,6.0,86,8.5,729,2,1,AP CPoY-3
5.0,Kenneth Dixon,22.0,RB,12,0,88,382,2,30,53.4,20.0,4.3,31.8,7.3,41,30,162,5.4,1,7,34.1,16.0,2.5,13.5,73.2,4.0,118,4.6,544,3,1,
6.0,Breshad Perriman,23.0,WR,16,1,1,2,0,0,0.0,2.0,2.0,0.1,0.1,66,33,499,15.1,3,19,36.4,53.0,2.1,31.2,50.0,7.6,34,14.7,501,3,0,
7.0,Kamar Aiken,27.0,WR,16,6,0,0,0,0,,,,0.0,0.0,50,29,328,11.3,1,18,42.0,29.0,1.8,20.5,58.0,6.6,29,11.3,328,1,0,
8.0,Kyle Juszczyk,25.0,RB,16,7,5,22,1,3,60.0,10.0,4.4,1.4,0.3,49,37,266,7.2,0,12,38.8,40.0,2.3,16.6,75.5,5.4,42,6.9,288,1,0,PB
9.0,Justin Forsett,31.0,RB,3,3,31,98,0,3,35.5,11.0,3.2,32.7,10.3,14,11,36,3.3,0,2,42.9,10.0,3.7,12.0,78.6,2.6,42,3.2,134,0,0,
10.0,Darren Waller,24.0,WR,12,3,0,0,0,0,,,,0.0,0.0,17,10,85,8.5,2,7,41.2,15.0,0.8,7.1,58.8,5.0,10,8.5,85,2,0,
11.0,Michael Campanaro,25.0,WR,3,0,3,72,0,3,100.0,39.0,24.0,24.0,1.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,3,24.0,72,0,0,
12.0,Crockett Gillmore,25.0,TE,7,5,0,0,0,0,,,,0.0,0.0,14,8,71,8.9,1,5,50.0,22.0,1.1,10.1,57.1,5.1,8,8.9,71,1,0,
13.0,Chris Moore,23.0,WR,15,0,3,19,0,1,66.7,10.0,6.3,1.3,0.2,16,7,46,6.6,0,2,31.3,13.0,0.5,3.1,43.8,2.9,10,6.5,65,0,1,
14.0,Joe Flacco,31.0,QB,16,16,21,58,2,6,33.3,16.0,2.8,3.6,1.3,0,0,0,,0,0,,,0.0,0.0,,,21,2.8,58,2,5,
15.0,Javorius Allen,25.0,RB,8,0,9,34,0,0,55.6,7.0,3.8,4.3,1.1,4,3,15,5.0,0,2,50.0,8.0,0.4,1.9,75.0,3.8,12,4.1,49,0,0,
16.0,Nick Boyle,23.0,TE,6,0,0,0,0,0,,,,0.0,0.0,6,6,44,7.3,0,1,66.7,20.0,1.0,7.3,100.0,7.3,6,7.3,44,0,0,
17.0,Lorenzo Taliaferro,25.0,RB,3,0,1,0,0,0,0.0,,0.0,0.0,0.3,3,3,10,3.3,0,0,33.3,8.0,1.0,3.3,100.0,3.3,4,2.5,10,0,0,
18.0,Anthony Levine,29.0,DB,16,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
19.0,Ryan Mallett,28.0,QB,4,0,5,-6,0,0,0.0,-1.0,-1.2,-1.5,1.3,0,0,0,,0,0,,,0.0,0.0,,,5,-1.2,-6,0,0,
20.0,Sam Koch,34.0,P,16,0,2,-23,0,0,0.0,,-11.5,-1.4,0.1,0,0,0,,0,0,,,0.0,0.0,,,2,-11.5,-23,0,0,
,Team Totals,,,16,16,367,1463,10,86,43.9,41.0,4.0,91.4,22.9,665,439,4343,9.9,20,205,45.9,95.0,27.4,271.4,66.0,6.5,806,7.2,5806,30,11,
