Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Marquise Brown,23.0,WR,2,1,2,19,0,1,100.0,15.0,9.5,9.5,1.0,16,11,196,17.8,0,7,68.8,30.0,5.5,98.0,68.8,12.3,13,16.5,215,0,0,
2.0,Lamar Jackson,23.0,QB,2,2,25,170,1,7,36.0,48.0,6.8,85.0,12.5,0,0,0,,0,0,,,0.0,0.0,,,25,6.8,170,1,1,
3.0,J.K. Dobbins,22.0,RB,2,1,19,85,1,7,47.4,13.0,4.5,42.5,9.5,6,4,45,11.3,0,3,50.0,31.0,2.0,22.5,66.7,7.5,23,5.7,130,1,0,
4.0,Gus Edwards,25.0,RB,2,1,18,80,0,8,55.6,12.0,4.4,40.0,9.0,0,0,0,,0,0,,,0.0,0.0,,,18,4.4,80,0,1,
5.0,Mark Andrews,25.0,TE,2,1,0,0,0,0,,,,0.0,0.0,17,8,69,8.6,0,3,35.3,17.0,4.0,34.5,47.1,4.1,8,8.6,69,0,0,
6.0,Patrick Ricard,26.0,FB,2,2,0,0,0,0,,,,0.0,0.0,5,4,37,9.3,0,2,60.0,11.0,2.0,18.5,80.0,7.4,4,9.3,37,0,0,
7.0,Willie Snead,28.0,WR,2,1,0,0,0,0,,,,0.0,0.0,7,7,34,4.9,0,0,57.1,9.0,3.5,17.0,100.0,4.9,7,4.9,34,0,0,
8.0,Tyler Huntley,22.0,QB,1,0,3,32,0,1,33.3,19.0,10.7,32.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,10.7,32,0,1,
9.0,Miles Boykin,24.0,WR,2,2,0,0,0,0,,,,0.0,0.0,5,3,20,6.7,0,0,20.0,11.0,1.5,10.0,60.0,4.0,3,6.7,20,0,0,
10.0,Dez Bryant,32.0,WR,2,0,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
11.0,Justice Hill,23.0,RB,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,2,2,67,386,2,24,46.3,48.0,5.8,193.0,33.5,59,37,401,10.8,0,15,47.5,31.0,18.5,200.5,62.7,6.8,104,7.6,787,2,3,
