Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 5,8:20PM ET,boxscore,L,,0-1,@,Kansas City Chiefs,20.0,27.0,25.0,452.0,267.0,185.0,1.0,21.0,353.0,281.0,72.0,1.0,9.42,-11.81,-2.11
2,Sun,September 15,1:00PM ET,boxscore,L,,0-2,,Las Vegas Raiders,23.0,26.0,21.0,383.0,232.0,151.0,1.0,18.0,260.0,233.0,27.0,1.0,6.12,0.5,-6.24
3,Sun,September 22,4:25PM ET,boxscore,W,,1-2,@,Dallas Cowboys,28.0,25.0,24.0,456.0,182.0,274.0,,26.0,412.0,361.0,51.0,1.0,20.98,-8.34,-5.94
4,Sun,September 29,8:20PM ET,boxscore,W,,2-2,,Buffalo Bills,35.0,10.0,22.0,427.0,156.0,271.0,1.0,12.0,236.0,155.0,81.0,1.0,19.69,6.92,-2.37
5,Sun,October 6,1:00PM ET,boxscore,W,OT,3-2,@,Cincinnati Bengals,41.0,38.0,30.0,520.0,345.0,175.0,1.0,23.0,442.0,371.0,71.0,1.0,24.97,-19.24,-2.47
6,Sun,October 13,1:00PM ET,boxscore,W,,4-2,,Washington Commanders,30.0,23.0,28.0,484.0,308.0,176.0,1.0,18.0,305.0,253.0,52.0,,20.33,-9.5,-3.41
7,Mon,October 21,8:15PM ET,boxscore,W,,5-2,@,Tampa Bay Buccaneers,41.0,31.0,22.0,508.0,264.0,244.0,1.0,28.0,481.0,356.0,125.0,2.0,23.15,-13.75,0.41
8,Sun,October 27,1:00PM ET,boxscore,L,,5-3,@,Cleveland Browns,24.0,29.0,22.0,387.0,263.0,124.0,,22.0,401.0,321.0,80.0,1.0,9.18,-9.15,-3.48
9,Sun,November 3,1:00PM ET,boxscore,W,,6-3,,Denver Broncos,41.0,10.0,25.0,396.0,269.0,127.0,,20.0,319.0,197.0,122.0,1.0,23.6,7.44,-2.92
10,Thu,November 7,8:15PM ET,boxscore,W,,7-3,,Cincinnati Bengals,35.0,34.0,20.0,389.0,290.0,99.0,,27.0,470.0,421.0,49.0,1.0,18.95,-18.28,4.77
11,Sun,November 17,1:00PM ET,boxscore,L,,7-4,@,Pittsburgh Steelers,16.0,18.0,16.0,329.0,205.0,124.0,3.0,18.0,303.0,181.0,122.0,1.0,-6.69,14.52,-10.67
12,Mon,November 25,8:15PM ET,boxscore,W,,8-4,@,Los Angeles Chargers,30.0,23.0,19.0,389.0,177.0,212.0,,19.0,285.0,202.0,83.0,,17.12,-8.34,-1.62
13,Sun,December 1,4:25PM ET,boxscore,L,,8-5,,Philadelphia Eagles,19.0,24.0,24.0,372.0,206.0,166.0,,17.0,252.0,112.0,140.0,,4.59,-3.39,-8.57
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 15,1:00PM ET,boxscore,W,,9-5,@,New York Giants,35.0,14.0,25.0,445.0,275.0,170.0,1.0,19.0,236.0,181.0,55.0,1.0,25.89,-2.16,2.1
16,Sat,December 21,4:30PM ET,boxscore,W,,10-5,,Pittsburgh Steelers,34.0,17.0,25.0,418.0,198.0,220.0,1.0,19.0,315.0,198.0,117.0,2.0,12.85,7.26,-5.6
17,Wed,December 25,4:30PM ET,boxscore,W,,11-5,@,Houston Texans,31.0,2.0,25.0,432.0,181.0,251.0,,10.0,211.0,153.0,58.0,1.0,21.65,13.7,-6.24
18,Sat,January 4,4:30PM ET,boxscore,W,,12-5,,Cleveland Browns,35.0,10.0,20.0,437.0,217.0,220.0,,13.0,230.0,174.0,56.0,2.0,14.19,17.79,-4.39
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 11,8:00PM ET,boxscore,W,,13-5,,Pittsburgh Steelers,28.0,14.0,29.0,464.0,165.0,299.0,,11.0,280.0,251.0,29.0,,26.45,-2.8,-5.97
Division,Sun,January 19,6:30PM ET,boxscore,L,,13-6,@,Buffalo Bills,25.0,27.0,23.0,416.0,240.0,176.0,3.0,20.0,273.0,126.0,147.0,,8.37,-10.81,-3.18
