Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Rogers Beckett,24.0,FS,16,16,1,8,0,8,5,2,0,1,1,0,0.0,100,79,21,1,0,
2.0,Curtis Conway,30.0,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
3.0,Doug Flutie,39.0,QB,16,16,0,0,0,0,0,0,7,5,-8,0,0.0,0,0,0,0,0,
4.0,DeMingo Graham,28.0,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
5.0,Kendyl Jacox,26.0,C,16,16,0,0,0,0,0,0,1,2,-18,0,0.0,0,0,0,0,0,
6.0,Raylee Johnson,31.0,RDE,16,16,0,0,0,0,1,2,0,2,46,1,9.5,38,28,10,11,0,
7.0,Ryan McNeil,31.0,RCB,16,16,8,55,0,33,16,0,0,0,0,0,0.0,76,64,12,2,0,PB
8.0,John Parrella,32.0,RDT,16,16,0,0,0,0,1,0,0,1,0,0,2.0,67,61,6,11,0,
9.0,Raleigh Roundtree,26.0,LG,16,16,0,0,0,0,0,0,0,1,2,0,0.0,0,0,0,0,0,
10.0,Junior Seau,32.0,RLB,16,16,1,2,0,2,6,1,0,0,0,0,1.0,95,84,11,9,0,PB
11.0,LaDainian Tomlinson,22.0,RB,16,16,0,0,0,0,0,0,8,0,0,0,0.0,0,0,0,0,0,AP ORoY-2
12.0,Gerald Dixon,32.0,LLB,16,15,1,6,0,6,3,0,0,0,0,0,2.0,62,47,15,5,0,
13.0,Rodney Harrison,29.0,SS,14,14,2,51,0,22,13,2,0,1,0,0,3.5,108,91,17,8,0,PB
14.0,Orlando Ruff,25.0,MLB,16,14,0,0,0,0,4,1,0,1,0,0,1.0,77,62,15,6,0,
15.0,Marcellus Wiley,27.0,LDE,14,14,0,0,0,0,2,5,0,0,0,0,13.0,48,38,10,8,0,"PB,AP-2"
16.0,Leonardo Carson,24.0,LDT,16,13,0,0,0,0,3,0,0,2,0,0,3.0,33,24,9,7,0,
17.0,Fred McCrary,29.0,FB,16,12,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,
18.0,Tay Cody,24.0,LCB,14,11,2,3,0,3,5,0,0,0,0,0,0.0,63,57,6,1,0,
19.0,Jeff Graham,32.0,WR,14,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
20.0,Steve Heiden,25.0,TE,16,10,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
21.0,Alex Molden,28.0,DB,6,3,1,0,0,0,5,0,0,0,0,0,0.0,19,18,1,1,0,
22.0,Jason Perry,25.0,DB,14,3,2,37,1,37,5,1,0,1,7,0,0.0,28,21,7,0,0,
23.0,Jamal Williams,25.0,DE,3,3,0,0,0,0,0,0,0,1,0,0,0.0,2,2,0,0,0,
24.0,Tim Dwight,26.0,WR,10,2,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
25.0,Albert Fontenot,31.0,DE,16,2,1,0,0,0,1,0,0,0,0,0,1.0,7,4,3,1,0,
26.0,Davis Sanchez,27.0,DB,12,2,0,0,0,0,1,0,0,0,0,0,0.0,19,19,0,1,0,
27.0,Lloyd Harrison,24.0,DB,12,1,0,0,0,0,1,0,0,0,0,0,1.0,19,17,2,1,0,
28.0,Scott Turner,29.0,DB,4,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,
29.0,David Binn,29.0,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,
30.0,Drew Brees,22.0,QB,1,0,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,
31.0,Robert Carswell,23.0,DB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,17,14,3,0,0,
32.0,Adrian Dingle,24.0,DE,14,0,0,0,0,0,1,0,0,0,0,0,1.0,11,10,1,3,0,
33.0,Terrell Fletcher,28.0,RB,13,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,
34.0,Derrick Harris,29.0,RB,16,0,0,0,0,0,0,1,0,1,6,1,0.0,13,11,2,0,0,
35.0,John Holecek,29.0,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,13,12,1,1,0,
36.0,Deon Humphrey,25.0,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,14,9,5,0,0,
