Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,LaDainian Tomlinson,22.0,RB,16,16,339,1236,10,68,43.7,54.0,3.6,77.3,21.2,74,59,367,6.2,0,12,47.3,27.0,3.7,22.9,79.7,5.0,398,4.0,1603,10,8,AP ORoY-2
2.0,Curtis Conway,30.0,WR,16,16,7,116,1,3,57.1,67.0,16.6,7.3,0.4,126,71,1125,15.8,6,52,52.4,72.0,4.4,70.3,56.3,8.9,78,15.9,1241,7,1,
3.0,Jeff Graham,32.0,WR,14,11,0,0,0,0,,,,0.0,0.0,110,52,811,15.6,5,41,45.5,61.0,3.7,57.9,47.3,7.4,52,15.6,811,5,1,
4.0,Tim Dwight,26.0,WR,10,2,2,24,1,1,100.0,16.0,12.0,2.4,0.2,50,25,406,16.2,0,22,44.0,78.0,2.5,40.6,50.0,8.1,27,15.9,430,1,1,
5.0,Freddie Jones,27.0,TE,14,9,0,0,0,0,,,,0.0,0.0,60,35,388,11.1,4,23,45.0,34.0,2.5,27.7,58.3,6.5,35,11.1,388,4,0,
6.0,Terrell Fletcher,28.0,RB,13,0,29,107,0,7,44.8,16.0,3.7,8.2,2.2,29,23,184,8.0,0,10,44.8,27.0,1.8,14.2,79.3,6.3,52,5.6,291,0,1,
7.0,Trevor Gaylor,24.0,WR,7,3,0,0,0,0,,,,0.0,0.0,34,14,217,15.5,0,12,41.2,31.0,2.0,31.0,41.2,6.4,14,15.5,217,0,0,
8.0,Doug Flutie,39.0,QB,16,16,53,192,1,13,35.8,16.0,3.6,12.0,3.3,0,0,0,,0,0,,,0.0,0.0,,,53,3.6,192,1,7,
9.0,Fred McCrary,29.0,FB,16,12,2,3,0,1,50.0,2.0,1.5,0.2,0.1,23,13,71,5.5,0,2,43.5,12.0,0.8,4.4,56.5,3.1,15,4.9,74,0,0,
10.0,Steve Heiden,25.0,TE,16,10,0,0,0,0,,,,0.0,0.0,13,8,55,6.9,1,4,46.2,16.0,0.5,3.4,61.5,4.2,8,6.9,55,1,0,
11.0,Reggie Jones,30.0,WR,9,0,0,0,0,0,,,,0.0,0.0,9,5,29,5.8,0,0,0.0,11.0,0.6,3.2,55.6,3.2,5,5.8,29,0,2,
12.0,Pat Batteaux,23.0,WR,5,0,0,0,0,0,,,,0.0,0.0,8,3,25,8.3,0,1,25.0,17.0,0.6,5.0,37.5,3.1,3,8.3,25,0,0,
13.0,Drew Brees,22.0,QB,1,0,2,18,0,1,100.0,13.0,9.0,18.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,9.0,18,0,2,
14.0,Derrick Harris,29.0,RB,16,0,0,0,0,0,,,,0.0,0.0,3,1,7,7.0,0,0,0.0,7.0,0.1,0.4,33.3,2.3,1,7.0,7,0,0,
15.0,Nate Turner,23.0,WR,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
16.0,Ronney Jenkins,24.0,RB,16,0,1,-1,0,0,0.0,-1.0,-1.0,-0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,1,
,Team Totals,,,16,16,435,1695,13,94,43.4,67.0,3.9,105.9,27.2,540,309,3685,11.9,16,179,45.4,78.0,19.3,230.3,57.2,6.8,744,7.2,5380,29,24,
