Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,Sfty,Awards
1.0,Luis Castillo,26.0,RDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,
2.0,Jacques Cesaire,29.0,LDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,
3.0,Stephen Cooper,30.0,LILB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,7,2,0,
4.0,Antonio Cromartie,25.0,RCB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,
5.0,Kevin Ellison,22.0,SS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,
6.0,Nick Hardwick,28.0,C,1,1,0,0,0,0,0,0,1,0,-10,0,0.0,2,2,0,0,
7.0,Quentin Jammer,30.0,LCB,1,1,1,24,0,24,2,0,0,0,0,0,0.0,5,5,0,0,
8.0,Shawne Merriman,25.0,ROLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,
9.0,Shaun Phillips,28.0,LOLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,6,0,0,
10.0,Philip Rivers,28.0,QB,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,
11.0,Ian Scott,28.0,NT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,
12.0,Brandon Siler,24.0,RILB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,
13.0,Eric Weddle,24.0,FS,1,1,0,0,0,0,0,0,0,0,0,0,1.0,8,8,0,0,
14.0,Alfonso Boone,33.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,
15.0,Kevin Burnett,27.0,RILB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,
16.0,Antoine Cason,23.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,
17.0,Larry English,23.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,
18.0,Antonio Garay,30.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,
19.0,Steve Gregory,26.0,SS,1,0,0,0,0,0,2,0,0,0,0,0,0.0,2,2,0,0,
20.0,Brandon Manumaleuna,29.0,TE,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,
21.0,Paul Oliver,25.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,
22.0,Darren Sproles,26.0,RB,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,
,Team Totals,,,1,1,1,24,0,24,4,0,3,3,-10,0,1.0,66,51,15,0,
