Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Marcus Gilchrist,25.0,SS,16,16,2,43,0,26,5,1,0,1,0,0,1.0,77,59,18,3.0,1.0,0,
2.0,Nick Hardwick,32.0,C,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,,,0,
3.0,Corey Liuget,23.0,RDE,16,16,0,0,0,0,2,1,0,0,0,0,5.5,42,32,10,7.0,13.0,0,
4.0,Kendall Reyes,24.0,LDE,16,16,0,0,0,0,2,0,0,0,0,0,5.0,34,25,9,5.0,7.0,0,
5.0,Philip Rivers,32.0,QB,16,16,0,0,0,0,0,0,3,1,-6,0,0.0,0,0,0,0.0,0.0,0,"PB,AP CPoY-1"
6.0,Eric Weddle,28.0,FS,16,16,2,21,0,21,9,1,0,2,27,0,1.0,115,88,27,5.0,2.0,0,"PB,AP-2"
7.0,Antonio Gates,33.0,TE,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
8.0,Keenan Allen,21.0,WR,15,14,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0.0,0.0,0,AP ORoY-2
9.0,Ryan Mathews,26.0,RB,16,14,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,0,
10.0,Manti Te'o,22.0,LILB,13,13,0,0,0,0,4,0,0,0,0,0,0.0,61,41,20,6.0,0.0,0,
11.0,Shareece Wright,26.0,RCB,13,13,1,41,0,41,9,0,0,0,0,0,0.0,56,54,2,1.0,0.0,0,
12.0,Donald Butler,25.0,RILB,13,12,1,30,0,30,4,0,0,1,0,0,0.5,84,71,13,4.0,1.0,0,
13.0,Derek Cox,27.0,LCB,16,11,1,2,0,2,7,0,0,0,0,0,0.0,38,34,4,0.0,0.0,0,
14.0,Ladarius Green,23.0,WR,16,10,0,0,0,0,0,0,0,1,0,0,0.0,10,10,0,0.0,0.0,0,
15.0,Cam Thomas,27.0,NT,16,10,1,0,0,0,2,0,0,0,0,0,0.0,23,17,6,4.0,0.0,0,
16.0,Jarret Johnson,32.0,ROLB,11,9,0,0,0,0,3,0,0,0,0,0,3.0,33,22,11,4.0,5.0,0,
17.0,Richard Marshall,29.0,LCB,16,6,0,0,0,0,6,0,0,1,0,0,0.0,71,57,14,0.0,0.0,0,
18.0,John Phillips,26.0,TE,15,6,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0.0,0.0,0,
19.0,Reggie Walker,27.0,LB,16,6,0,0,0,0,1,1,0,0,0,0,3.0,36,30,6,6.0,5.0,0,
20.0,Tourek Williams,22.0,ROLB,13,6,0,0,0,0,0,1,0,0,0,0,1.0,11,9,2,0.0,0.0,0,
21.0,Larry English,27.0,LOLB,9,5,0,0,0,0,1,0,0,0,0,0,2.5,18,12,6,2.0,4.0,0,
22.0,Dwight Freeney,33.0,DE,4,4,0,0,0,0,0,0,0,0,0,0,0.5,2,1,1,0.0,5.0,0,
23.0,Johnny Patrick,25.0,DB,13,4,1,0,0,0,2,1,0,0,0,0,1.5,38,36,2,2.0,4.0,0,
24.0,Andrew Gachkar,25.0,LB,16,3,0,0,0,0,0,1,0,0,0,0,0.0,33,24,9,1.0,0.0,0,
25.0,Thomas Keiser,24.0,LB,12,3,1,6,0,6,2,0,0,0,0,0,4.5,21,17,4,4.0,8.0,0,
26.0,Eddie Royal,27.0,WR,15,3,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0.0,0.0,0,
27.0,Jahleel Addae,23.0,DB,16,2,0,0,0,0,3,0,0,0,0,0,1.0,38,34,4,2.0,1.0,0,
28.0,Bront Bird,24.0,LB,16,2,0,0,0,0,0,0,0,0,0,0,0.0,29,17,12,0.0,0.0,0,
29.0,Sean Lissemore,26.0,NT,15,2,1,0,1,0,1,0,0,0,0,0,2.0,24,18,6,3.0,3.0,0,
30.0,Danny Woodhead,28.0,RB,16,2,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
31.0,Melvin Ingram,24.0,LB,4,1,0,0,0,0,0,1,0,0,0,0,1.0,8,4,4,1.0,1.0,0,
32.0,Seyi Ajirotutu,26.0,WR,14,0,0,0,0,0,0,1,0,0,0,0,0.0,15,15,0,0.0,0.0,0,
33.0,Crezdon Butler,26.0,DB,12,0,0,0,0,0,0,1,0,0,0,0,0.0,4,3,1,0.0,0.0,0,
34.0,Kwame Geathers,23.0,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0.0,0.0,0,
35.0,Lawrence Guy,23.0,DE,10,0,0,0,0,0,3,0,0,0,0,0,0.0,16,9,7,1.0,1.0,0,
36.0,Nick Novak,32.0,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0.0,0.0,0,
37.0,Mike Scifres,33.0,P,16,0,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0.0,0.0,0,
38.0,Darrell Stuckey,26.0,DB,16,0,0,0,0,0,1,0,0,1,2,0,0.0,21,16,5,0.0,0.0,0,
39.0,Fozzy Whittaker,24.0,RB,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
40.0,Mike Windt,27.0,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
41.0,Jarius Wynn,27.0,DE,5,0,0,0,0,0,0,0,0,0,0,0,1.0,2,2,0,1.0,2.0,0,
,Team Totals,,,16,16,11,143,1,41,67,10,14,10,23,0,34.0,979,772,207,62.0,63.0,0,
