Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jahleel Addae,28.0,SS,2,2,0,0,0,0,0,0,0,0,0,0,0.0,19,9,10,1.0,0.0,0,
2.0,Joey Bosa,23.0,LDE,2,2,0,0,0,0,0,0,0,0,0,0,1.0,3,2,1,1.0,2.0,0,
3.0,Michael Davis,23.0,LCB,2,2,0,0,0,0,2,0,0,0,0,0,0.0,7,5,2,0.0,0.0,0,
4.0,Casey Hayward,29.0,RCB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,8,7,1,0.0,0.0,0,
5.0,Melvin Ingram,29.0,RDE,2,2,0,0,0,0,1,1,0,1,0,0,2.0,9,8,1,3.0,3.0,0,
6.0,Derwin James,22.0,FS,2,2,0,0,0,0,0,0,0,0,0,0,0.0,14,10,4,3.0,1.0,0,
7.0,Rayshawn Jenkins,24.0,DB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,13,8,5,0.0,0.0,0,
8.0,Justin Jones,22.0,DT,2,2,0,0,0,0,0,0,0,0,0,0,1.0,6,3,3,1.0,2.0,0,
9.0,Desmond King,24.0,DB,2,2,0,0,0,0,0,0,1,0,0,0,1.0,12,8,4,1.0,2.0,0,
10.0,Adrian Phillips,26.0,DB,2,2,1,0,0,0,3,0,0,1,0,0,0.0,12,5,7,1.0,0.0,0,
11.0,Virgil Green,30.0,TE,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
12.0,Brandon Mebane,33.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0.0,0.0,0,
13.0,Damion Square,29.0,RDE/LDE,2,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,0.0,0,
14.0,Geremy Davis,26.0,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
15.0,Nick Dzubnar,27.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,0.0,0,
16.0,Kyle Emanuel,27.0,RLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,7,2,5,0.0,0.0,0,
17.0,T.Y. McGill,26.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1.0,0.0,0,
18.0,Uchenna Nwosu,22.0,LB,2,0,0,0,0,0,0,1,0,0,0,0,1.0,7,5,2,1.0,0.0,0,
19.0,Darius Philon,24.0,LDT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,1.0,0.0,0,
20.0,Hayes Pullard,26.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0.0,0.0,0,
21.0,Jeff Richards,27.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
22.0,Isaac Rochell,23.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,1.0,4,2,2,1.0,1.0,0,
23.0,Kyle Wilson,23.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
,Team Totals,,,2,2,1,0,0,0,7,2,2,2,0,0,7.0,144,92,52,15.0,11.0,0,
