Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Keenan Allen,26.0,WR,2,1,0,0,0,0,,,,0.0,0.0,12,6,112,18.7,1,4,41.7,43.0,3.0,56.0,50.0,9.3,6,18.7,112,1,0,
2.0,Mike Williams,24.0,WR,2,2,0,0,0,0,,,,0.0,0.0,16,7,110,15.7,0,6,43.8,28.0,3.5,55.0,43.8,6.9,7,15.7,110,0,0,
3.0,Tyrell Williams,26.0,WR,2,1,0,0,0,0,,,,0.0,0.0,11,7,103,14.7,0,4,45.5,29.0,3.5,51.5,63.6,9.4,7,14.7,103,0,0,
4.0,Antonio Gates,38.0,TE,2,1,0,0,0,0,,,,0.0,0.0,12,9,76,8.4,1,6,50.0,14.0,4.5,38.0,75.0,6.3,9,8.4,76,1,0,
5.0,Melvin Gordon,25.0,RB,2,2,26,55,2,4,34.6,14.0,2.1,27.5,13.0,3,2,14,7.0,0,1,33.3,11.0,1.0,7.0,66.7,4.7,28,2.5,69,2,0,
6.0,Austin Ekeler,23.0,RB,2,0,11,29,0,0,36.4,7.0,2.6,14.5,5.5,9,7,33,4.7,0,1,44.4,9.0,3.5,16.5,77.8,3.7,18,3.4,62,0,0,
7.0,Justin Jackson,22.0,RB,2,0,3,9,0,0,33.3,4.0,3.0,4.5,1.5,4,3,22,7.3,0,1,25.0,20.0,1.5,11.0,75.0,5.5,6,5.2,31,0,0,
8.0,Philip Rivers,37.0,QB,1,1,3,15,0,1,66.7,9.0,5.0,15.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,5.0,15,0,0,
9.0,Travis Benjamin,29.0,WR,2,0,0,0,0,0,,,,0.0,0.0,5,3,11,3.7,0,0,40.0,8.0,1.5,5.5,60.0,2.2,3,3.7,11,0,0,
10.0,Virgil Green,30.0,TE,2,2,0,0,0,0,,,,0.0,0.0,2,2,9,4.5,1,1,100.0,8.0,1.0,4.5,100.0,4.5,2,4.5,9,1,1,
11.0,Derek Watt,26.0,FB,1,0,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,0,0,0.0,1.0,1.0,1.0,100.0,1.0,1,1.0,1,0,0,
12.0,Hunter Henry,24.0,TE,1,1,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,2,2,43,108,2,5,37.2,14.0,2.5,54.0,21.5,76,47,491,10.4,3,24,43.4,43.0,23.5,245.5,61.8,6.5,90,6.7,599,5,1,
