Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Matt Hasselbeck,28.0,QB,16,16,0,0,0,0,0.0,0,4,0,-7,0,0.0,0,0,0,0,0,PB
2.0,Darrell Jackson,25.0,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,
3.0,Chike Okeafor,27.0,RDE,16,16,1,18,0,18,2.0,2,0,0,0,0,8.0,48,34,14,7,0,
4.0,Marcus Trufant,23.0,RCB/LCB,16,16,2,21,0,15,20.0,0,0,1,31,0,0.0,83,74,9,2,0,
5.0,Shaun Alexander,26.0,RB,16,15,0,0,0,0,0.0,0,4,2,0,0,0.0,0,0,0,0,0,PB
6.0,Koren Robinson,23.0,WR,15,15,0,0,0,0,0.0,0,1,1,0,1,0.0,1,1,0,0,0,
7.0,Chad Brown,33.0,RLB,14,14,1,-1,0,-1,3.0,1,0,2,0,0,7.0,86,74,12,13,0,
8.0,Randall Godfrey,30.0,MLB,15,14,1,7,0,7,4.0,1,0,1,55,1,0.0,59,45,14,3,0,
9.0,Ken Hamlin,22.0,FS,16,14,1,2,0,2,8.0,2,0,1,0,0,0.0,98,78,20,0,0,
10.0,Reggie Tongue,30.0,SS,14,14,4,11,0,10,8.0,2,0,1,0,0,2.0,71,57,14,1,0,
11.0,Anthony Simmons,27.0,LLB,13,13,3,38,0,33,8.0,1,0,1,4,0,3.0,100,80,20,6,0,
12.0,Cedric Woodard,26.0,LDT,16,13,0,0,0,0,0.0,0,0,0,0,0,0.0,57,41,16,2,0,
13.0,John Randle,36.0,RDT,16,9,0,0,0,0,0.0,0,0,1,0,0,5.5,17,12,5,6,0,
14.0,Mack Strong,32.0,FB,16,9,0,0,0,0,0.0,0,1,0,0,0,0.0,3,3,0,0,0,
15.0,Shawn Springs,28.0,LCB,12,8,1,8,0,8,11.0,0,0,0,0,0,1.5,43,37,6,3,0,
16.0,Antonio Cochran,27.0,LDE,15,7,0,0,0,0,0.0,0,0,1,0,0,1.0,29,23,6,1,0,
17.0,Bobby Engram,30.0,WR,16,7,0,0,0,0,0.0,0,5,1,0,0,0.0,0,0,0,0,0,
18.0,Ken Lucas,24.0,RCB,14,7,1,27,0,27,12.0,1,1,1,24,0,0.0,62,52,10,1,0,
19.0,Brandon Mitchell,28.0,LDE,14,6,0,0,0,0,2.0,1,0,0,0,0,3.0,24,20,4,2,0,
20.0,Rashad Moore,24.0,RDT,14,6,0,0,0,0,0.0,0,0,1,0,0,1.0,30,20,10,1,0,
21.0,D.D. Lewis,24.0,LLB,15,5,0,0,0,0,2.0,0,0,0,0,0,0.0,66,47,19,3,0,
22.0,Norman Hand,31.0,DT,6,4,0,0,0,0,1.0,0,0,0,0,0,1.0,10,4,6,1,0,
23.0,Damien Robinson,30.0,DB,15,4,1,26,0,26,4.0,0,1,1,3,0,0.0,35,31,4,0,0,
24.0,Lamar King,28.0,DE,9,3,0,0,0,0,1.0,0,0,0,0,0,3.0,16,12,4,6,0,
25.0,Alex Bannister,24.0,WR,16,2,0,0,0,0,0.0,0,0,0,0,0,0.0,19,18,1,0,0,PB
26.0,Matt Hill,25.0,T,13,2,0,0,0,0,,0,0,1,0,0,0.0,0,0,0,0,0,
27.0,Orlando Huff,25.0,LB,11,2,0,0,0,0,0.0,0,0,1,0,1,1.0,24,20,4,2,1,
28.0,Maurice Morris,24.0,RB,16,1,0,0,0,0,0.0,0,2,1,0,0,0.0,4,3,1,0,0,
29.0,Kris Richard,25.0,DB,15,1,0,0,0,0,0.0,0,1,0,0,0,1.0,16,14,2,1,0,
30.0,Solomon Bates,21.0,LB,7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3,3,0,0,0,
31.0,Rocky Bernard,24.0,DT,12,0,0,0,0,0,1.0,0,0,0,0,0,2.0,16,11,5,4,0,
32.0,Josh Brown,24.0,K,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4,3,1,0,0,
33.0,Kerry Carter,23.0,RB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6,6,0,0,0,
34.0,Jean-Phillipe Darche,28.0,LS,16,0,0,0,0,0,0.0,1,0,0,0,0,0.0,5,5,0,0,0,
35.0,Trent Dilfer,31.0,QB,5,0,0,0,0,0,0.0,0,2,0,0,0,0.0,0,0,0,0,0,
36.0,Doug Evans,33.0,DB,2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,1,0,0,0,
37.0,Heath Evans,25.0,FB,14,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,2,0,0,0,
38.0,Isaiah Kacyvenski,26.0,LB,14,0,0,0,0,0,0.0,0,0,0,0,0,0.0,22,17,5,0,0,
39.0,Anton Palepoi,25.0,DE,7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5,3,2,0,0,
40.0,Tracy White,22.0,LB,11,0,0,0,0,0,0.0,0,0,0,0,0,0.0,9,8,1,0,0,
41.0,Willie Williams,33.0,DB,15,0,0,0,0,0,2.0,0,0,1,0,0,0.0,18,14,4,0,0,
,Team Totals,,,16,16,16,157,0,33,89.0,12,23,20,110,3,40.0,1092,873,219,65,1,
