Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Rocky Bernard,25.0,DT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,6,3.0,3.0,1.0,0.0,
2.0,Michael Boulware,23.0,DB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,6.0,2.0,0.0,0.0,
3.0,Chad Brown,34.0,RLB,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,11,6.0,5.0,0.0,0.0,
4.0,Ken Hamlin,23.0,FS,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,6.0,1.0,0.0,0.0,
5.0,Isaiah Kacyvenski,27.0,LLB/RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,7.0,1.0,0.0,0.0,
6.0,Niko Koutouvides,23.0,LB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,7.0,1.0,0.0,0.0,
7.0,Ken Lucas,25.0,RCB,1,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,
8.0,Brandon Mitchell,29.0,DE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
9.0,Chike Okeafor,28.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0,1,0.0,1.0,0.0,0.0,
10.0,Marcus Trufant,24.0,LCB,1,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,7,4.0,3.0,0.0,0.0,
11.0,Cedric Woodard,27.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,1,1.0,0.0,0.0,0.0,
12.0,Jordan Babineaux,22.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
13.0,Solomon Bates,22.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,1.0,,
14.0,Terreal Bierria,24.0,SS,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
15.0,Antonio Cochran,28.0,RDE,1,0,,,,,0,0,0,0,0,0,0.0,4,2.0,2.0,0.0,,
16.0,Orlando Huff,26.0,MLB,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
17.0,Marquand Manuel,25.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
18.0,Rashad Moore,25.0,RDT,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
19.0,Kris Richard,26.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
20.0,Koren Robinson,24.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.0,0,,,,0.0,
21.0,Craig Terrill,24.0,DT,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,2,1.0,1.0,0.0,0.0,
22.0,Jason Willis,23.0,WR,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
,Team Totals,,,1,1,1.0,0.0,0.0,0.0,4,1,2,1,0,0,5.0,86,64.0,22.0,2.0,0.0,
