Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Darrell Jackson,28.0,WR,13,13,0,0,0,0,,,,0.0,0.0,112,63,956,15.2,10,44,46.4,72.0,4.8,73.5,56.3,8.5,63,15.2,956,10,1,
2.0,Shaun Alexander,29.0,RB,10,10,252,896,7,54,40.9,33.0,3.6,89.6,25.2,16,12,48,4.0,0,4,31.3,14.0,1.2,4.8,75.0,3.0,264,3.6,944,7,6,
3.0,Deion Branch,27.0,WR,14,13,4,30,0,1,50.0,19.0,7.5,2.1,0.3,101,53,725,13.7,4,40,45.5,38.0,3.8,51.8,52.5,7.2,57,13.2,755,4,0,
4.0,Maurice Morris,27.0,RB,16,8,161,604,0,34,36.6,29.0,3.8,37.8,10.1,20,11,46,4.2,0,2,30.0,27.0,0.7,2.9,55.0,2.3,172,3.8,650,0,1,
5.0,D.J. Hackett,25.0,WR,14,5,0,0,0,0,,,,0.0,0.0,66,45,610,13.6,4,33,65.2,47.0,3.2,43.6,68.2,9.2,45,13.6,610,4,0,
6.0,Mack Strong,35.0,FB,16,10,33,149,1,12,39.4,17.0,4.5,9.3,2.1,44,29,159,5.5,0,4,31.8,13.0,1.8,9.9,65.9,3.6,62,5.0,308,1,2,PB
7.0,Bobby Engram,33.0,WR,7,6,1,4,0,0,0.0,4.0,4.0,0.6,0.1,36,24,290,12.1,1,15,58.3,25.0,3.4,41.4,66.7,8.1,25,11.8,294,1,0,
8.0,Jerramy Stevens,27.0,TE,11,6,0,0,0,0,,,,0.0,0.0,48,22,231,10.5,4,12,45.8,26.0,2.0,21.0,45.8,4.8,22,10.5,231,4,1,
9.0,Nate Burleson,25.0,WR,16,7,0,0,0,0,,,,0.0,0.0,37,18,192,10.7,2,9,40.5,36.0,1.1,12.0,48.6,5.2,18,10.7,192,2,2,
10.0,Seneca Wallace,26.0,QB,8,4,12,122,0,6,50.0,37.0,10.2,15.3,1.5,0,0,0,,0,0,,,0.0,0.0,,,12,10.2,122,0,5,
11.0,Matt Hasselbeck,31.0,QB,12,12,18,110,0,8,55.6,19.0,6.1,9.2,1.5,0,0,0,,0,0,,,0.0,0.0,,,18,6.1,110,0,3,
12.0,Itula Mili,33.0,TE,10,2,0,0,0,0,,,,0.0,0.0,18,10,69,6.9,0,4,33.3,15.0,1.0,6.9,55.6,3.8,10,6.9,69,0,0,
13.0,Will Heller,25.0,TE,16,0,0,0,0,0,,,,0.0,0.0,5,4,32,8.0,1,2,60.0,12.0,0.3,2.0,80.0,6.4,4,8.0,32,1,0,
14.0,Josh Parry,28.0,RB,8,0,0,0,0,0,,,,0.0,0.0,2,1,11,11.0,0,1,50.0,11.0,0.1,1.4,50.0,5.5,1,11.0,11,0,0,
15.0,Marquis Weeks,26.0,RB,10,0,3,8,0,0,0.0,3.0,2.7,0.8,0.3,0,0,0,,0,0,,,0.0,0.0,,,3,2.7,8,0,0,
,Team Totals,,,16,16,484,1923,8,115,39.9,37.0,4.0,120.2,30.3,505,292,3369,11.5,26,170,46.3,72.0,18.3,210.6,57.8,6.7,776,6.8,5292,34,21,
