Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Rocky Bernard,28.0,RDT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,1.0,0.0,
2.0,Deon Grant,28.0,SS,2,2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,10,8.0,2.0,0.0,0.0,0.0,
3.0,Matt Hasselbeck,32.0,QB,2,2,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.0,0,,,,,0.0,
4.0,LeRoy Hill,25.0,LLB,2,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,2.0,24,21.0,3.0,2.0,2.0,0.0,
5.0,Brandon Mebane,22.0,LDT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,4.0,2.0,1.0,0.0,0.0,
6.0,Julian Peterson,29.0,RLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,16,10.0,6.0,2.0,4.0,0.0,
7.0,Brian Russell,29.0,FS,2,2,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0.0,12,9.0,3.0,0.0,0.0,0.0,
8.0,Darryl Tapp,23.0,RDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,6.0,2.0,0.0,0.0,0.0,
9.0,Lofa Tatupu,25.0,MLB,2,2,0.0,0.0,0.0,0.0,1,0,0,1,12,0,0.0,19,11.0,8.0,2.0,0.0,0.0,
10.0,Marcus Trufant,27.0,LCB,2,2,1.0,78.0,1.0,78.0,3,0,0,0,0,0,0.0,9,7.0,2.0,0.0,0.0,0.0,
11.0,Jordan Babineaux,25.0,DB,2,1,1.0,57.0,1.0,57.0,1,0,0,1,0,0,0.0,9,6.0,3.0,0.0,0.0,0.0,
12.0,Kelly Jennings,25.0,RCB,2,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,0.0,
13.0,Patrick Kerney,31.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,3.0,4.0,1.0,4.0,0.0,
14.0,Marcus Pollard,35.0,TE,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,,0.0,
15.0,Chris Spencer,25.0,C,1,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
16.0,Kevin Bentley,28.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,,
17.0,Josh Brown,28.0,K,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,
18.0,Howard Green,28.0,DT,2,0,,,,,0,0,0,0,0,0,0.0,3,1.0,2.0,0.0,1.0,,
19.0,Will Herring,24.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,2,0.0,2.0,0.0,0.0,,
20.0,Lance Laury,25.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,0.0,,
21.0,Ben Obomanu,24.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,
22.0,Josh Scobey,28.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,
23.0,Craig Terrill,27.0,DT,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,5,4.0,1.0,2.0,1.0,0.0,
24.0,Josh Wilson,22.0,DB,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,1.0,2.0,0.0,0.0,0.0,
,Team Totals,,,2,2,2.0,135.0,2.0,78.0,11,2,3,4,12,0,4.0,149,106.0,43.0,10.0,13.0,0.0,
