Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jordan Babineaux,27.0,FS,16,16,2,18,0,18,6,1,0,0,0,0,1.5,104,75,29,3.0,3.0,0,
2.0,John Carlson,25.0,TE,16,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
3.0,Deon Grant,30.0,SS,16,16,3,7,0,7,8,1,0,1,0,0,0.0,78,60,18,2.0,1.0,0,
4.0,T.J. Houshmandzadeh,32.0,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
5.0,Max Unger,23.0,RG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
6.0,Colin Cole,29.0,RDT,16,15,0,0,0,0,2,0,0,1,2,0,0.0,48,29,19,1.0,0.0,0,
7.0,Brandon Mebane,24.0,LDT,15,15,0,0,0,0,0,0,0,0,0,0,1.5,49,41,8,8.0,6.0,0,
8.0,Matt Hasselbeck,34.0,QB,14,14,0,0,0,0,0,0,11,5,-17,0,0.0,0,0,0,0.0,0.0,0,
9.0,Julius Jones,28.0,RB,14,14,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,
10.0,Patrick Kerney,33.0,LDE,15,14,0,0,0,0,0,2,0,0,0,0,5.0,34,23,11,6.0,9.0,0,
11.0,Rob Sims,26.0,LG,14,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
12.0,Chris Spencer,27.0,C,14,14,0,0,0,0,0,0,1,0,-2,0,0.0,0,0,0,0.0,0.0,0,
13.0,Nate Burleson,28.0,WR,13,12,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0.0,0.0,0,
14.0,Aaron Curry,23.0,RLB,14,12,0,0,0,0,6,2,0,0,0,0,2.0,61,54,7,6.0,8.0,0,
15.0,Josh Wilson,24.0,RCB,12,12,2,126,2,65,13,0,0,1,43,0,1.0,45,41,4,2.0,4.0,0,
16.0,Justin Griffith,29.0,FB,13,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
17.0,David Hawthorne,24.0,MLB,16,11,3,9,0,5,5,2,0,1,36,0,4.0,117,94,23,10.0,5.0,0,
18.0,LeRoy Hill,27.0,LLB,11,11,0,0,0,0,0,0,0,0,0,0,1.0,46,37,9,4.0,1.0,0,
19.0,Lawrence Jackson,24.0,RDE,16,10,0,0,0,0,2,2,0,0,0,0,4.5,32,28,4,4.0,13.0,0,
