Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,D.K. Metcalf,22.0,WR,2,2,0,0,0,0,,,,0.0,0.0,14,11,219,19.9,1,7,78.6,53.0,5.5,109.5,78.6,15.6,11,19.9,219,1,0,
2.0,Tyler Lockett,27.0,WR,2,2,0,0,0,0,,,,0.0,0.0,18,13,198,15.2,1,11,72.2,31.0,6.5,99.0,72.2,11.0,13,15.2,198,1,0,
3.0,Russell Wilson,31.0,QB,2,2,16,109,0,7,43.8,22.0,6.8,54.5,8.0,0,0,0,,0,0,,,0.0,0.0,,,16,6.8,109,0,1,
4.0,Jacob Hollister,26.0,TE,2,2,0,0,0,0,,,,0.0,0.0,10,7,63,9.0,0,2,40.0,19.0,3.5,31.5,70.0,6.3,7,9.0,63,0,0,
5.0,David Moore,24.0,WR,2,1,1,6,0,0,100.0,6.0,6.0,3.0,0.5,4,2,57,28.5,0,2,50.0,38.0,1.0,28.5,50.0,14.3,3,21.0,63,0,0,
6.0,Marshawn Lynch,33.0,RB,2,1,18,33,3,3,27.8,8.0,1.8,16.5,9.0,3,2,25,12.5,0,1,66.7,20.0,1.0,12.5,66.7,8.3,20,2.9,58,3,0,
7.0,Travis Homer,21.0,RB,2,1,14,25,0,2,28.6,12.0,1.8,12.5,7.0,4,3,32,10.7,0,2,50.0,16.0,1.5,16.0,75.0,8.0,17,3.4,57,0,1,
8.0,Luke Willson,29.0,TE,1,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,1,1,8,8.0,0,0,100.0,8.0,1.0,8.0,100.0,8.0,2,4.5,9,0,0,
9.0,Malik Turner,23.0,WR,1,1,0,0,0,0,,,,0.0,0.0,3,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,2,2,50,174,3,12,34.0,22.0,3.5,87.0,25.0,57,39,602,15.4,2,25,61.4,53.0,19.5,301.0,68.4,10.6,89,8.7,776,5,2,
