Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Andre Carter,23.0,LDE,16,16,0,0,0,0,4,3,0,1,3,0,12.5,54.0,45.0,9.0,14.0,0,
2.0,Jeff Garcia,32.0,QB,16,16,0,0,0,0,0,0,2,2,-3,0,0.0,0.0,0.0,0.0,0.0,0,PB
3.0,Garrison Hearst,31.0,RB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,,,,,0,
4.0,Jeremy Newberry,26.0,C,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
5.0,Chike Okeafor,26.0,RDE,16,16,0,0,0,0,4,2,0,0,0,0,6.0,43.0,32.0,11.0,6.0,0,
6.0,Tony Parrish,27.0,SS,16,16,7,204,0,60,17,1,0,2,10,0,0.0,72.0,63.0,9.0,2.0,0,
7.0,Julian Peterson,24.0,LLB,16,16,1,2,0,2,7,2,0,1,3,0,2.0,96.0,78.0,18.0,5.0,0,"PB,AP-2"
8.0,Derek Smith,27.0,MLB,16,16,0,0,0,0,6,1,0,1,0,0,1.0,113.0,84.0,29.0,8.0,0,
9.0,Jason Webster,25.0,RCB,16,16,1,37,1,37,11,0,0,0,0,0,0.0,85.0,71.0,14.0,4.0,0,
10.0,Bryant Young,30.0,LDT,16,16,0,0,0,0,0,0,0,0,0,0,2.0,36.0,28.0,8.0,7.0,0,PB
11.0,Ahmed Plummer,26.0,LCB,15,15,1,0,0,0,18,1,0,0,0,0,0.0,63.0,52.0,11.0,1.0,0,
12.0,Dana Stubblefield,32.0,RDT,15,15,0,0,0,0,1,1,0,1,0,0,3.0,38.0,29.0,9.0,7.0,0,
13.0,Tai Streets,25.0,WR,16,14,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
