Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Zack Bronson,28.0,FS,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,15,12.0,3.0,0.0,0.0,
2.0,Andre Carter,23.0,LDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,3.0,3.0,1.0,0.0,
3.0,Tony Parrish,27.0,SS,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,13,13.0,0.0,0.0,0.0,
4.0,Julian Peterson,24.0,LLB,2,2,1.0,0.0,0.0,0.0,4,2,0,0,0,0,2.0,20,16.0,4.0,1.0,0.0,
5.0,Ahmed Plummer,26.0,LCB,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,8,7.0,1.0,0.0,0.0,
6.0,Mike Rumph,23.0,DB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,13,10.0,3.0,0.0,0.0,
7.0,Derek Smith,27.0,MLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,24,17.0,7.0,1.0,0.0,
8.0,Jeff Ulbrich,25.0,RLB,2,2,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0.0,15,10.0,5.0,1.0,0.0,
9.0,Bryant Young,30.0,LDT,2,2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,6,6.0,0.0,1.0,0.0,
10.0,Derrick Deese,32.0,LT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
11.0,Jeff Garcia,32.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,3,1,0,0,0.0,0,0.0,0.0,0.0,0.0,
12.0,Chike Okeafor,26.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,3,2.0,1.0,0.0,0.0,
13.0,Dana Stubblefield,32.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,
14.0,Jeff Chandler,23.0,K,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,0.0,
15.0,John Engelberger,26.0,DE,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,4,3.0,1.0,1.0,0.0,
16.0,Jim Flanigan,31.0,DT,2,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
17.0,Duane Hawthorne,26.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
18.0,Ronnie Heard,26.0,FS,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
19.0,Rashad Holman,24.0,DB,2,0,1.0,13.0,0.0,23.0,3,0,0,0,0,0,0.0,3,0.0,3.0,0.0,0.0,
20.0,John Keith,25.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,5,2.0,3.0,1.0,,
21.0,Terry Killens,28.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,1.0,,
22.0,Brandon Moore,23.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
23.0,Paul Smith,24.0,RB,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,0.0,2.0,0.0,0.0,
24.0,Quincy Stewart,24.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
25.0,Vinny Sutherland,24.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
26.0,Matt Willig,33.0,T,1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,,,,0.0,
27.0,Cedrick Wilson,24.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
,Team Totals,,,2,2,2.0,13.0,0.0,23.0,12,3,5,3,0,0,3.0,156,118.0,38.0,8.0,0.0,
