Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:15PM ET,boxscore,L,,0-1,@,Arizona Cardinals,27.0,34.0,19.0,393.0,286.0,107.0,2.0,23.0,367.0,283.0,84.0,1.0,0.25,-7.82,1.58
2,Sun,September 17,4:06PM ET,boxscore,W,,1-1,,St. Louis Rams,20.0,13.0,14.0,360.0,233.0,127.0,1.0,17.0,265.0,147.0,118.0,1.0,4.1,8.76,-5.21
3,Sun,September 24,4:15PM ET,boxscore,L,,1-2,,Philadelphia Eagles,24.0,38.0,23.0,392.0,269.0,123.0,2.0,16.0,416.0,266.0,150.0,1.0,-6.23,-13.08,1.97
4,Sun,October 1,1:00PM ET,boxscore,L,,1-3,@,Kansas City Chiefs,0.0,41.0,10.0,165.0,76.0,89.0,4.0,23.0,333.0,208.0,125.0,,-21.08,-14.39,-5.17
5,Sun,October 8,4:05PM ET,boxscore,W,,2-3,,Oakland Raiders,34.0,20.0,18.0,330.0,165.0,165.0,1.0,18.0,370.0,216.0,154.0,5.0,3.75,9.35,0.78
6,Sun,October 15,4:15PM ET,boxscore,L,,2-4,,San Diego Chargers,19.0,48.0,15.0,274.0,182.0,92.0,2.0,30.0,421.0,334.0,87.0,,-3.62,-32.85,6.23
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 29,1:03PM ET,boxscore,L,,2-5,@,Chicago Bears,10.0,41.0,12.0,248.0,121.0,127.0,5.0,24.0,402.0,257.0,145.0,,-12.76,-14.41,-7.68
9,Sun,November 5,4:05PM ET,boxscore,W,,3-5,,Minnesota Vikings,9.0,3.0,8.0,133.0,91.0,42.0,1.0,17.0,238.0,103.0,135.0,3.0,-15.78,16.06,4.57
10,Sun,November 12,1:03PM ET,boxscore,W,,4-5,@,Detroit Lions,19.0,13.0,17.0,315.0,117.0,198.0,1.0,16.0,251.0,180.0,71.0,4.0,1.04,9.73,-6.37
11,Sun,November 19,4:05PM ET,boxscore,W,,5-5,,Seattle Seahawks,20.0,14.0,18.0,416.0,154.0,262.0,1.0,15.0,303.0,233.0,70.0,5.0,2.84,10.47,-7.31
12,Sun,November 26,1:02PM ET,boxscore,L,,5-6,@,St. Louis Rams,17.0,20.0,20.0,319.0,148.0,171.0,3.0,23.0,349.0,209.0,140.0,1.0,8.91,-8.57,-3.34
13,Sun,December 3,1:04PM ET,boxscore,L,,5-7,@,New Orleans Saints,10.0,34.0,10.0,202.0,145.0,57.0,3.0,23.0,375.0,185.0,190.0,,-13.31,-13.8,4.9
14,Sun,December 10,4:06PM ET,boxscore,L,,5-8,,Green Bay Packers,19.0,30.0,13.0,340.0,194.0,146.0,3.0,19.0,420.0,281.0,139.0,,-5.76,-7.52,1.46
15,Thu,December 14,8:13PM ET,boxscore,W,,6-8,@,Seattle Seahawks,24.0,14.0,15.0,390.0,162.0,228.0,,22.0,300.0,210.0,90.0,2.0,6.08,4.1,1.12
16,Sun,December 24,4:05PM ET,boxscore,L,,6-9,,Arizona Cardinals,20.0,26.0,14.0,223.0,174.0,49.0,2.0,21.0,372.0,249.0,123.0,1.0,-5.25,-11.45,9.23
17,Sun,December 31,4:16PM ET,boxscore,W,OT,7-9,@,Denver Broncos,26.0,23.0,17.0,360.0,171.0,189.0,1.0,19.0,325.0,210.0,115.0,3.0,-14.1,14.1,5.72
