Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Carlos Hyde,27.0,RB,16,16,240,938,8,48,43.8,61.0,3.9,58.6,15.0,88,59,350,5.9,0,18,38.6,18.0,3.7,21.9,67.0,4.0,299,4.3,1288,8,2,
2.0,Marquise Goodwin,27.0,WR,16,16,4,44,0,3,100.0,18.0,11.0,2.8,0.3,105,56,962,17.2,2,46,50.5,83.0,3.5,60.1,53.3,9.2,60,16.8,1006,2,0,
3.0,Matt Breida,22.0,RB,16,0,105,465,2,23,45.7,33.0,4.4,29.1,6.6,36,21,180,8.6,1,9,38.9,32.0,1.3,11.3,58.3,5.0,126,5.1,645,3,1,
4.0,George Kittle,24.0,TE,15,7,0,0,0,0,,,,0.0,0.0,63,43,515,12.0,2,24,47.6,44.0,2.9,34.3,68.3,8.2,43,12.0,515,2,0,
5.0,Pierre Garcon,31.0,WR,8,8,0,0,0,0,,,,0.0,0.0,67,40,500,12.5,0,26,49.3,59.0,5.0,62.5,59.7,7.5,40,12.5,500,0,0,
6.0,Trent Taylor,23.0,WR,15,1,0,0,0,0,,,,0.0,0.0,60,43,430,10.0,2,27,51.7,33.0,2.9,28.7,71.7,7.2,43,10.0,430,2,1,
7.0,Kyle Juszczyk,26.0,FB,14,10,7,31,0,4,57.1,12.0,4.4,2.2,0.5,42,33,315,9.5,1,13,57.1,44.0,2.4,22.5,78.6,7.5,40,8.7,346,1,2,PB
8.0,Garrett Celek,29.0,TE,16,13,0,0,0,0,,,,0.0,0.0,33,21,336,16.0,4,15,54.5,61.0,1.3,21.0,63.6,10.2,21,16.0,336,4,0,
9.0,Aldrick Robinson,29.0,WR,16,1,0,0,0,0,,,,0.0,0.0,48,19,260,13.7,2,12,33.3,45.0,1.2,16.3,39.6,5.4,19,13.7,260,2,0,
10.0,Kendrick Bourne,22.0,WR,11,0,0,0,0,0,,,,0.0,0.0,34,16,257,16.1,0,12,41.2,54.0,1.5,23.4,47.1,7.6,16,16.1,257,0,0,
11.0,C.J. Beathard,24.0,QB,7,5,26,136,3,11,65.4,16.0,5.2,19.4,3.7,0,0,0,,0,0,,,0.0,0.0,,,26,5.2,136,3,3,
12.0,Louis Murphy,30.0,WR,7,7,0,0,0,0,,,,0.0,0.0,17,8,121,15.1,1,6,41.2,40.0,1.1,17.3,47.1,7.1,8,15.1,121,1,0,
13.0,Raheem Mostert,25.0,RB,11,0,6,30,0,1,50.0,16.0,5.0,2.7,0.5,0,0,0,,0,0,,,0.0,0.0,,,6,5.0,30,0,1,
14.0,Cole Hikutini,23.0,TE,4,0,0,0,0,0,,,,0.0,0.0,3,2,15,7.5,0,2,66.7,10.0,0.5,3.8,66.7,5.0,2,7.5,15,0,0,
15.0,Brian Hoyer,32.0,QB,6,6,5,7,1,2,40.0,9.0,1.4,1.2,0.8,0,0,0,,0,0,,,0.0,0.0,,,5,1.4,7,1,3,
16.0,Jimmy Garoppolo,26.0,QB,6,5,15,11,1,4,26.7,8.0,0.7,1.8,2.5,1,1,-6,-6.0,0,0,0.0,-6.0,0.2,-1.0,100.0,-6.0,16,0.3,5,1,1,
17.0,Logan Paulsen,30.0,TE,14,1,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,16,16,408,1662,15,96,45.8,61.0,4.1,103.9,25.5,599,362,4235,11.7,15,210,46.1,83.0,22.6,264.7,60.4,7.1,770,7.7,5897,30,14,
