Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Arik Armstead,26.0,RDE/LDE,3,3,0,0,0,0,0,1,0,0,0,0,2.0,8,7,1,1,4,0,
2.0,Nick Bosa,22.0,LDE,3,3,0,0,0,0,2,1,0,0,0,0,4.0,15,11,4,3,5,0,
3.0,DeForest Buckner,25.0,RDT,3,3,0,0,0,0,0,1,0,1,0,0,2.5,12,9,3,2,4,0,
4.0,Dre Greenlaw,22.0,RLB,3,3,0,0,0,0,0,1,0,0,0,0,0.0,14,10,4,0,0,0,
5.0,Richard Sherman,31.0,LCB,3,3,2,16,0,13,2,1,0,0,0,0,0.0,9,6,3,0,0,0,
6.0,Jaquiski Tartt,27.0,SS,3,3,0,0,0,0,0,0,0,0,0,0,1.0,14,11,3,1,1,0,
7.0,Jimmie Ward,28.0,FS,3,3,0,0,0,0,0,1,0,0,0,0,0.0,19,14,5,0,0,0,
8.0,Fred Warner,23.0,MLB,3,3,1,3,0,3,2,0,0,0,0,0,0.0,20,11,9,1,0,0,
9.0,Sheldon Day,25.0,DT,2,2,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,1,0,0,
10.0,Emmanuel Moseley,23.0,RCB,3,2,1,9,0,9,4,0,0,0,0,0,0.0,14,14,0,1,0,0,
11.0,Kwon Alexander,25.0,LLB,2,1,0,0,0,0,1,0,0,0,0,0,0.0,3,3,0,1,0,0,
12.0,Matt Breida,24.0,RB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
13.0,K'Waun Williams,28.0,DB,3,1,0,0,0,0,0,1,0,0,0,0,1.0,15,13,2,1,0,0,
14.0,Ahkello Witherspoon,24.0,RCB,3,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
15.0,Dee Ford,28.0,LB,3,0,0,0,0,0,0,0,0,0,0,0,1.0,4,3,1,2,3,0,
16.0,Richie James,24.0,WR,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
17.0,Elijah Lee,23.0,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
18.0,Earl Mitchell,32.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.5,2,1,1,0,1,0,
19.0,Tarvarius Moore,23.0,DB,2,0,1,7,0,7,2,0,0,0,0,0,0.0,2,2,0,0,0,0,
20.0,Raheem Mostert,27.0,RB,1,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
21.0,Mark Nzeocha,29.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
22.0,D.J. Reed,23.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
23.0,Solomon Thomas,24.0,DE,2,0,0,0,0,0,0,0,0,0,0,0,1.0,4,4,0,2,1,0,
24.0,Anthony Zettel,27.0,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
,Team Totals,,,3,3,5,35,0,13,13,7,2,3,0,0,13.0,171,128,43,16,19,0,
