Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Arik Armstead,28.0,LDT/LDE,17,17,0,0,0,0,0,0,0,0,0,0,6.0,63,29,34,7,11,0,
2.0,Nick Bosa,24.0,RDE/LDE,17,17,0,0,0,0,1,4,0,0,0,0,15.5,52,40,12,21,32,0,PB
3.0,Daniel Brunskill,27.0,RG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
4.0,D.J. Jones,26.0,RDT,17,17,0,0,0,0,1,2,0,0,0,0,2.0,56,40,16,10,3,0,
5.0,Alex Mack,36.0,C,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,PB
6.0,Brandon Aiyuk,23.0,WR,17,16,0,0,0,0,0,0,2,2,-4,0,0.0,0,0,0,0,0,0,
7.0,Kyle Juszczyk,30.0,FB,17,16,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,PB
8.0,Jimmie Ward,30.0,FS,16,16,2,27,1,27,6,0,0,0,0,0,0.0,77,51,26,1,0,0,
9.0,Fred Warner,25.0,MLB,16,16,0,0,0,0,4,1,0,3,0,0,0.5,137,79,58,7,3,0,
10.0,Jimmy Garoppolo,30.0,QB,15,15,0,0,0,0,0,0,8,3,12,0,0.0,0,0,0,0,0,0,
11.0,Deebo Samuel,25.0,WR,16,15,0,0,0,0,0,0,4,1,0,0,0.0,1,1,0,0,0,0,"PB,AP-1"
12.0,Trent Williams,33.0,LT,15,15,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,"PB,AP-1"
13.0,George Kittle,28.0,TE,14,14,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0,0,0,PB
14.0,Josh Norman,34.0,RCB,15,14,1,40,0,40,5,7,0,0,0,0,0.0,49,36,13,3,0,0,
15.0,Jaquiski Tartt,29.0,SS,14,14,0,0,0,0,1,0,0,0,0,0,0.0,66,42,24,5,1,0,
16.0,Azeez Al-Shaair,24.0,LLB,13,13,1,24,0,24,5,1,0,2,12,0,2.0,102,58,44,9,2,0,
17.0,Samson Ebukam,26.0,LDE/RDE,17,11,0,0,0,0,1,1,0,0,0,0,4.5,38,21,17,5,11,0,
18.0,Emmanuel Moseley,25.0,LCB,11,11,1,0,0,0,11,0,0,1,0,0,0.0,42,33,9,2,0,0,
