Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Christian McCaffrey,27.0,RB,3,3,59,268,4,15,62.7,39.0,4.5,89.3,19.7,25,19,152,8.0,1,5,40.0,28.0,6.3,50.7,76.0,6.1,78,5.4,420,5,1,
2.0,Deebo Samuel,27.0,WR,3,3,6,15,0,1,50.0,9.0,2.5,5.0,2.0,22,13,146,11.2,0,6,45.5,26.0,4.3,48.7,59.1,6.6,19,8.5,161,0,0,
3.0,Brandon Aiyuk,25.0,WR,3,3,0,0,0,0,,,,0.0,0.0,20,9,149,16.6,1,9,45.0,51.0,3.0,49.7,45.0,7.5,9,16.6,149,1,0,
4.0,George Kittle,30.0,TE,3,3,0,0,0,0,,,,0.0,0.0,13,8,112,14.0,1,4,46.2,32.0,2.7,37.3,61.5,8.6,8,14.0,112,1,0,
5.0,Jauan Jennings,26.0,WR,3,0,1,-1,0,0,0.0,-1.0,-1.0,-0.3,0.3,13,10,111,11.1,1,8,69.2,23.0,3.3,37.0,76.9,8.5,11,10.0,110,1,0,
6.0,Brock Purdy,24.0,QB,3,3,14,74,0,5,50.0,21.0,5.3,24.7,4.7,0,0,0,,0,0,,,0.0,0.0,,,14,5.3,74,0,0,
7.0,Kyle Juszczyk,32.0,FB,2,2,2,5,0,1,100.0,3.0,2.5,2.5,1.0,5,4,64,16.0,0,4,80.0,23.0,2.0,32.0,80.0,12.8,6,11.5,69,0,0,
8.0,Chris Conley,31.0,WR,2,0,0,0,0,0,,,,0.0,0.0,2,2,35,17.5,0,2,100.0,18.0,1.0,17.5,100.0,17.5,2,17.5,35,0,0,
9.0,Ray-Ray McCloud,27.0,WR,2,0,0,0,0,0,,,,0.0,0.0,3,2,26,13.0,0,1,66.7,19.0,1.0,13.0,66.7,8.7,2,13.0,26,0,0,
10.0,Elijah Mitchell,25.0,RB,2,0,6,15,1,1,33.3,7.0,2.5,7.5,3.0,0,0,0,,0,0,,,0.0,0.0,,,6,2.5,15,1,0,
,Team Totals,,,3,3,88,376,5,23,58.0,39.0,4.3,125.3,29.3,103,67,795,11.9,4,39,50.5,51.0,22.3,265.0,65.0,7.7,155,7.6,1171,9,1,
