Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Ronde Barber,27.0,RCB,3,3,2.0,117.0,1.0,92.0,10,2,0,0,0,0,1.0,11,9.0,2.0,0.0,0.0,
2.0,Derrick Brooks,29.0,RLB,3,3,2.0,44.0,1.0,44.0,3,0,0,1,0,0,0.5,17,13.0,4.0,2.0,0.0,
3.0,Chartric Darby,27.0,LDT,3,3,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,7,2.0,5.0,0.0,0.0,
4.0,Dexter Jackson,25.0,FS,3,3,2.0,34.0,0.0,24.0,2,0,0,0,0,0,0.0,5,4.0,1.0,0.0,0.0,SB MVP
5.0,Brian Kelly,26.0,LCB,3,3,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,16,13.0,3.0,0.0,0.0,
6.0,John Lynch,31.0,SS,3,3,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,10,9.0,1.0,0.0,0.0,
7.0,Shelton Quarles,31.0,MLB,3,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,22,17.0,5.0,4.0,0.0,
8.0,Simeon Rice,28.0,RDE,3,3,0.0,0.0,0.0,0.0,0,3,0,1,6,0,4.0,9,9.0,0.0,0.0,0.0,
9.0,Warren Sapp,30.0,RDT,3,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.5,5,3.0,2.0,0.0,0.0,
10.0,Greg Spires,28.0,LDE,3,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0,10,9.0,1.0,3.0,0.0,
11.0,Alshermond Singleton,27.0,LLB,3,2,0.0,0.0,0.0,0.0,2,1,0,0,0,0,1.0,10,10.0,0.0,0.0,0.0,
12.0,Brad Johnson,34.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
13.0,Michael Pittman,27.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0.0,0,,,0.0,0.0,
14.0,Dwight Smith,24.0,DB,3,1,3.0,100.0,2.0,50.0,3,0,0,1,0,0,0.0,12,12.0,0.0,0.0,0.0,
15.0,Darian Barnes,22.0,FB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
16.0,Ryan Benjamin,25.0,C,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
17.0,Jack Golden,25.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
18.0,Martin Gramatica,27.0,K,1,0,0.0,0.0,0.0,0.0,0,0,0,1,-4,0,0.0,0,0.0,0.0,,0.0,
19.0,John Howell,24.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,,
20.0,Corey Ivy,25.0,DB,3,0,,,,,0,1,0,0,0,0,0.0,6,6.0,0.0,0.0,,
21.0,Jermaine Phillips,23.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
22.0,Aaron Stecker,27.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
23.0,Tom Tupa,36.0,P,1,0,0.0,0.0,0.0,0.0,0,0,1,0,-8,0,0.0,0,,,,0.0,
24.0,Nate Webster,25.0,LB,2,0,,,,,1,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
25.0,Ellis Wyms,23.0,DE,3,0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1.0,7,6.0,1.0,0.0,0.0,
26.0,Todd Yoder,24.0,TE,3,0,,,,,0,0,0,0,0,0,0.0,7,6.0,1.0,0.0,,
,Team Totals,,,3,3,9.0,295.0,4.0,92.0,28,7,3,6,-6,0,11.0,167,141.0,26.0,9.0,0.0,
