Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Ronde Barber,29.0,RCB,16,16,3,23,0,23,13.0,2,0,2,27,2,3.0,99.0,84.0,15.0,8.0,0,"PB,AP-1"
2.0,Derrick Brooks,31.0,RLB,16,16,1,3,0,3,6.0,2,0,0,0,0,3.0,137.0,109.0,28.0,4.0,0,"PB,AP-1"
3.0,Chartric Darby,29.0,RDT,16,16,0,0,0,0,0.0,1,0,1,0,0,0.0,50.0,40.0,10.0,4.0,0,
4.0,Brian Kelly,28.0,LCB,16,16,4,101,0,75,22.0,0,0,1,32,0,0.0,58.0,51.0,7.0,2.0,0,
5.0,Simeon Rice,30.0,RDE,16,16,0,0,0,0,5.0,1,0,0,0,0,12.0,46.0,39.0,7.0,12.0,0,
6.0,Dwight Smith,26.0,SS,16,16,3,13,0,13,13.0,3,0,0,0,0,0.0,86.0,75.0,11.0,3.0,0,
7.0,Greg Spires,30.0,LDE,16,16,0,0,0,0,3.0,3,0,2,0,0,8.0,61.0,47.0,14.0,9.0,0,
8.0,Shelton Quarles,33.0,MLB,15,15,0,0,0,0,3.0,0,0,0,0,0,3.5,104.0,71.0,33.0,3.0,0,
9.0,Michael Clayton,22.0,WR,16,13,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
10.0,Ian Gold,26.0,LLB,16,13,1,31,0,31,3.0,0,0,0,0,0,0.5,71.0,54.0,17.0,4.0,0,
11.0,Michael Pittman,29.0,RB,13,13,0,0,0,0,0.0,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
12.0,Mike Alstott,31.0,FB,14,11,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
13.0,Brian Griese,29.0,QB,11,10,0,0,0,0,0.0,0,6,2,-7,0,0.0,0.0,0.0,0.0,0.0,0,AP CPoY-7
14.0,Jermaine Phillips,25.0,FS,9,9,1,0,0,0,4.0,0,0,0,0,0,1.0,46.0,34.0,12.0,4.0,0,
15.0,Sean Mahan,24.0,C,16,8,0,0,0,0,,0,1,0,0,0,0.0,,,,,0,
16.0,Anthony McFarland,27.0,LDT,8,8,0,0,0,0,0.0,1,0,1,0,0,3.0,12.0,10.0,2.0,5.0,0,
17.0,John Wade,29.0,C,8,8,0,0,0,0,0.0,0,1,0,-2,0,0.0,0.0,0.0,0.0,0.0,0,
18.0,Joey Galloway,33.0,WR,10,7,0,0,0,0,0.0,0,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
19.0,John Howell,26.0,FS,16,6,0,0,0,0,1.0,0,0,0,0,0,0.0,34.0,30.0,4.0,0.0,0,
20.0,Chidi Ahanotu,34.0,RDT,8,5,0,0,0,0,0.0,0,0,0,0,0,3.5,16.0,11.0,5.0,3.0,0,
21.0,Jameel Cook,25.0,FB,12,5,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,5.0,0.0,0.0,0,
22.0,Todd Steussie,34.0,RT,16,5,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
23.0,Tim Brown,38.0,WR,15,4,0,0,0,0,0.0,0,2,0,0,0,0.0,,,,,0,
24.0,Brad Johnson,36.0,QB,4,4,0,0,0,0,0.0,0,2,0,0,0,0.0,,,,,0,
25.0,Mario Edwards,29.0,DB,15,3,0,0,0,0,4.0,0,0,1,0,0,0.0,27.0,22.0,5.0,0.0,0,
26.0,Charles Lee,27.0,WR,7,3,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
27.0,Dewayne White,25.0,DE,16,3,0,0,0,0,3.0,0,0,1,0,0,6.0,39.0,32.0,7.0,6.0,0,
28.0,Will Heller,23.0,TE,10,2,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
29.0,Bill Schroeder,33.0,WR,7,2,0,0,0,0,0.0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
30.0,Chris Simms,24.0,QB,5,2,0,0,0,0,0.0,0,3,1,0,0,0.0,,,,,0,
31.0,Jeff Gooch,30.0,LB,16,1,0,0,0,0,0.0,0,0,0,0,0,0.5,48.0,37.0,11.0,3.0,0,
32.0,Dexter Jackson,27.0,DB,6,1,0,0,0,0,0.0,1,0,0,0,0,0.0,20.0,18.0,2.0,1.0,0,
33.0,Will Allen,22.0,DB,16,0,1,0,0,0,2.0,1,0,0,0,0,0.0,16.0,14.0,2.0,0.0,0,
34.0,Josh Bidwell,28.0,P,16,0,0,0,0,0,0.0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
35.0,Jon Bradley,23.0,DT,6,0,0,0,0,0,0.0,0,0,0,0,0,1.0,11.0,10.0,1.0,0.0,0,
36.0,Keith Burns,32.0,LB,16,0,0,0,0,0,0.0,1,0,0,0,0,0.0,12.0,8.0,4.0,0.0,0,
37.0,Greg Comella,29.0,FB,7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
38.0,Marquis Cooper,22.0,LB,14,0,0,0,0,0,0.0,0,0,0,0,0,0.0,9.0,9.0,0.0,0.0,0,
39.0,Torrie Cox,24.0,DB,10,0,1,55,1,55,1.0,0,0,1,0,0,0.0,16.0,14.0,2.0,1.0,0,
40.0,Damian Gregory,27.0,DT,6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,1.0,0,
41.0,Corey Ivy,27.0,DB,16,0,0,11,0,11,0.0,0,0,1,0,0,0.0,15.0,13.0,2.0,0.0,0,
42.0,Dave Moore,35.0,TE,15,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
43.0,Ryan Nece,25.0,LB,16,0,1,2,0,2,1.0,0,0,1,0,0,0.0,12.0,10.0,2.0,0.0,0,
44.0,Josh Savage,24.0,DE,6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
45.0,Ian Smart,24.0,RB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
46.0,Corey Smith,25.0,DE,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
47.0,Ellis Wyms,25.0,DE,6,0,0,0,0,0,1.0,0,0,0,0,0,0.0,11.0,7.0,4.0,1.0,0,
,Team Totals,,,16,16,16,239,1,75,85.0,16,32,22,50,2,45.0,1074.0,866.0,208.0,74.0,0,
