Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Joey Galloway,34.0,WR,1,1,0,0,0,0,,,,0.0,0.0,11,7,69,9.9,0,4,54.5,24.0,7.0,69.0,63.6,6.3,7,9.9,69,0,0,
2.0,Cadillac Williams,23.0,RB,1,1,18,49,0,2,38.9,7.0,2.7,49.0,18.0,3,3,10,3.3,0,0,66.7,6.0,3.0,10.0,100.0,3.3,21,2.8,59,0,1,
3.0,Ike Hilliard,29.0,WR,1,0,0,0,0,0,,,,0.0,0.0,4,4,38,9.5,0,3,75.0,19.0,4.0,38.0,100.0,9.5,4,9.5,38,0,0,
4.0,Michael Pittman,30.0,RB,1,0,0,0,0,0,,,,0.0,0.0,7,3,30,10.0,0,1,28.6,22.0,3.0,30.0,42.9,4.3,3,10.0,30,0,1,
5.0,Anthony Becht,28.0,TE,1,1,0,0,0,0,,,,0.0,0.0,3,3,26,8.7,0,2,66.7,14.0,3.0,26.0,100.0,8.7,3,8.7,26,0,0,
6.0,Mike Alstott,32.0,FB,1,0,4,15,0,1,50.0,8.0,3.8,15.0,4.0,2,1,7,7.0,0,0,50.0,7.0,1.0,7.0,50.0,3.5,5,4.4,22,0,0,
7.0,Alex Smith,23.0,TE,1,1,0,0,0,0,,,,0.0,0.0,4,3,14,4.7,0,1,25.0,11.0,3.0,14.0,75.0,3.5,3,4.7,14,0,0,
8.0,Chris Simms,25.0,QB,1,1,3,11,1,2,66.7,6.0,3.7,11.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,3.7,11,1,0,
9.0,Edell Shepherd,25.0,WR,1,0,0,0,0,0,,,,0.0,0.0,3,1,4,4.0,0,0,0.0,4.0,1.0,4.0,33.3,1.3,1,4.0,4,0,0,
10.0,Jameel Cook,26.0,FB,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,1,1,25,75,1,5,44.0,8.0,3.0,75.0,25.0,38,25,198,7.9,0,11,44.7,24.0,25.0,198.0,65.8,5.2,50,5.5,273,1,2,
