Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Will Allen,24.0,FS,16,16,0,0,0,0,1.0,0,0,0,0,0,0.0,77,56,21,3,2,0,
2.0,Ronde Barber,31.0,RCB,16,16,3,103,2,66,16.0,2,0,0,0,0,0.0,100,85,15,5,1,0,"PB,AP-2"
3.0,Anthony Becht,29.0,TE,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,
4.0,Derrick Brooks,33.0,RLB,16,16,3,51,1,21,4.0,0,0,0,0,0,0.0,121,96,25,4,0,0,PB
5.0,Anthony Davis,26.0,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,
6.0,Chris Hovan,28.0,LDT,16,16,0,0,0,0,0.0,0,0,1,0,0,2.0,52,40,12,9,7,0,
7.0,Jermaine Phillips,27.0,SS,16,16,2,45,0,29,9.0,5,0,1,17,0,1.0,108,88,20,4,4,0,
8.0,Greg Spires,32.0,LDE,16,16,0,0,0,0,3.0,0,0,0,0,0,5.0,51,33,18,6,10,0,
9.0,Mike Alstott,33.0,FB,16,15,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,
10.0,Joey Galloway,35.0,WR,16,14,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,
11.0,Cadillac Williams,24.0,RB,14,14,0,0,0,0,0.0,0,3,0,0,0,0.0,0,0,0,0,0,0,
12.0,Jeremy Trueblood,23.0,RT,15,13,0,0,0,0,,0,0,1,0,0,0.0,0,0,0,0,0,0,
13.0,Shelton Quarles,35.0,MLB,12,12,0,0,0,0,2.0,2,0,0,0,0,2.5,106,68,38,7,6,0,
14.0,Juran Bolden,32.0,LCB,16,11,1,27,0,27,11.0,0,0,1,0,0,1.0,63,53,10,1,1,0,
15.0,Bruce Gradkowski,23.0,QB,13,11,0,0,0,0,0.0,0,11,3,-2,0,0.0,0,0,0,0,0,0,
