Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,LeGarrette Blount,25.0,RB,14,14,184,781,5,32,46.2,54.0,4.2,55.8,13.1,25,15,148,9.9,0,6,40.0,35.0,1.1,10.6,60.0,5.9,199,4.7,929,5,5,
2.0,Mike Williams,24.0,WR,16,15,1,3,0,0,0.0,3.0,3.0,0.2,0.1,124,65,771,11.9,3,42,44.4,42.0,4.1,48.2,52.4,6.2,66,11.7,774,3,2,
3.0,Kellen Winslow,28.0,TE,16,15,0,0,0,0,,,,0.0,0.0,123,75,763,10.2,2,40,50.4,37.0,4.7,47.7,61.0,6.2,75,10.2,763,2,2,
4.0,Preston Parker,24.0,WR,16,0,1,-3,0,0,0.0,-3.0,-3.0,-0.2,0.1,65,40,554,13.9,3,26,49.2,51.0,2.5,34.6,61.5,8.5,41,13.4,551,3,8,
5.0,Arrelious Benn,23.0,WR,14,14,6,-7,0,0,16.7,9.0,-1.2,-0.5,0.4,51,30,441,14.7,3,15,39.2,65.0,2.1,31.5,58.8,8.6,36,12.1,434,3,0,
6.0,Kregg Lumpkin,27.0,RB,16,0,31,105,0,5,38.7,19.0,3.4,6.6,1.9,53,41,291,7.1,0,13,41.5,16.0,2.6,18.2,77.4,5.5,72,5.5,396,0,0,
7.0,Dezmon Briscoe,22.0,WR,16,2,0,0,0,0,,,,0.0,0.0,51,35,387,11.1,6,20,64.7,46.0,2.2,24.2,68.6,7.6,35,11.1,387,6,0,
8.0,Earnest Graham,31.0,RB,7,2,37,206,0,5,45.9,34.0,5.6,29.4,5.3,31,26,163,6.3,0,8,54.8,19.0,3.7,23.3,83.9,5.3,63,5.9,369,0,1,
9.0,Josh Freeman,23.0,QB,15,15,55,238,4,25,54.5,25.0,4.3,15.9,3.7,1,0,-4,,0,0,0.0,-4.0,0.0,-0.3,0.0,-4.0,55,4.3,234,4,9,
10.0,Mossis Madu,24.0,RB,9,0,15,55,0,3,46.7,15.0,3.7,6.1,1.7,12,10,72,7.2,0,1,58.3,15.0,1.1,8.0,83.3,6.0,25,5.1,127,0,0,
11.0,Luke Stocker,23.0,FB,14,9,0,0,0,0,,,,0.0,0.0,17,12,92,7.7,0,5,41.2,24.0,0.9,6.6,70.6,5.4,12,7.7,92,0,0,
12.0,Josh Johnson,25.0,QB,9,1,11,67,0,3,63.6,14.0,6.1,7.4,1.2,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,11,6.1,67,0,1,
13.0,Erik Lorig,25.0,FB,16,7,0,0,0,0,,,,0.0,0.0,9,6,53,8.8,0,2,44.4,22.0,0.4,3.3,66.7,5.9,6,8.8,53,0,0,
14.0,Sammie Stroughter,25.0,WR,6,0,0,0,0,0,,,,0.0,0.0,7,4,52,13.0,0,2,42.9,29.0,0.7,8.7,57.1,7.4,4,13.0,52,0,1,
15.0,Zack Pianalto,22.0,TE,13,0,0,0,0,0,,,,0.0,0.0,5,4,40,10.0,0,2,80.0,15.0,0.3,3.1,80.0,8.0,4,10.0,40,0,0,
16.0,Allen Bradford,23.0,RB,1,0,5,13,0,0,0.0,4.0,2.6,13.0,5.0,0,0,0,,0,0,,,0.0,0.0,,,5,2.6,13,0,0,
17.0,Micheal Spurlock,28.0,WR,12,0,0,0,0,0,,,,0.0,0.0,6,2,13,6.5,0,0,0.0,7.0,0.2,1.1,33.3,2.2,2,6.5,13,0,0,
18.0,Donald Penn,28.0,LT,16,16,0,0,0,0,,,,0.0,0.0,1,0,2,,0,0,0.0,2.0,0.0,0.1,0.0,2.0,0,,2,0,0,
19.0,Collin Franklin,23.0,WR,2,0,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,16,16,346,1458,9,73,46.0,54.0,4.2,91.1,21.6,585,365,3838,10.5,17,182,47.2,65.0,22.8,239.9,62.4,6.6,711,7.4,5296,26,29,
